review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Indah,indah,indah,Danau Emtofe,Papua
"Dari danau emfote  kita bisa liat pulau-pulau kecil di kejauhan. Vika bilang pengen naik perahu ke sana, tapi keburu sore. Next time pasti kita coba! * * * RAJAWIN * * * dan google rajawin""",danau emfote pulau pulau kejauhan vika bilang pengin perahu keburu sore next time coba rajawin rajawin,danau emfote pulau pulau jauh vika bilang pengin perahu keburu sore next time coba rajawin rajawin,Danau Emtofe,Papua
Whislist habis lebaran,whislist habis lebaran,whislist habis lebaran,Danau Emtofe,Papua
"Saya pernah bikin prunas di daerah sentani sana, indah banget di sana...",bikin prunas daerah sentani indah banget,bikin prunas daerah sentani indah banget,Danau Emtofe,Papua
"Danau emfote (love). Masih di kws jayapura hanya medannya agak terjal ditempuh dengan kenderaan roda 2 atau roda 4 (FWD). Pemandangan menakjubkan, situasi sepi.",danau emfote love kws jayapura medannya terjal ditempuh kenderaan roda roda fwd pemandangan menakjubkan situasi sepi,danau emfote love kws jayapura medan terjal tempuh kenderaan roda roda fwd pandang takjub situasi sepi,Danau Emtofe,Papua
Papua memang keren,papua keren,papua keren,Danau Emtofe,Papua
Danau untuk merasakan keheningan alam yang diliputi banyak cinta,danau merasakan keheningan alam diliputi cinta,danau rasa hening alam liput cinta,Danau Emtofe,Papua
"Perjalannya kereenn, view nya kerennn, danau nya juga keren. Cuma sayang tidak di kembangkan.",perjalannya keren view keren danau keren sayang kembangkan,jalan keren view keren danau keren sayang kembang,Danau Emtofe,Papua
Perjalanan kurang lebih 2jam dari kota jayapura. Tempatnya cukup panas tapi karna memang savanah so it was ok. Perjalanan ke sana sangat ok semuanya sudah mulus.,perjalanan jam kota jayapura tempatnya panas savanah sok was ok perjalanan ok mulus,jalan jam kota jayapura tempat panas savanah sok was ok jalan ok mulus,Danau Emtofe,Papua
Toko Sekolah Kedinasan Penerbangan Tigi Timur Deiyai Papua,toko sekolah kedinasan penerbangan tigi timur deiyai papua,toko sekolah dinas terbang tigi timur deiyai papua,Danau Emtofe,Papua
"Danau Emfote atau lebih dikenal dengan sebutan Danau Love, merupakan danau yang berada di atas datarang tinggi.
Danau ini sempat ramai di kunjungi pada masanya. Namun sekarang sudah sepih pengunjung, namun keindahannya tidak rusak atau berubah lekang oleh waktu.
Akses ke lokasi sekitar 2 jam perjalanan dari kota jayapura. Oia diatas bukit ini tidak ada penjual makanan atau minuman ya, jadi bawa persiapan bekal yang banyak😅",danau emfote dikenal sebutan danau love danau datarang tinggi danau ramai kunjungi masanya sepih pengunjung keindahannya rusak berubah lekang waktu akses lokasi jam perjalanan kota jayapura oia diatas bukit penjual makanan minuman bawa persiapan bekal,danau emfote kenal sebut danau love danau datarang tinggi danau ramai kunjung masa sepih unjung indah rusak ubah lekang waktu akses lokasi jam jalan kota jayapura oia atas bukit jual makan minum bawa siap bekal,Danau Emtofe,Papua
Bagus,bagus,bagus,Danau Emtofe,Papua
"Lokasi di Atabar, Distrik Ebungfa, Kabupaten Jayapura, Papua

MARI JAGA KEBERSIHAN DAN KEASRIAN KAWASAN &
TOLONG JANGAN BUANG SAMPAH SEMBARANGAN",lokasi atabar distrik ebungfa kabupaten jayapura papua mari jaga kebersihan keasrian kawasan tolong buang sampah sembarangan,lokasi atabar distrik ebungfa kabupaten jayapura papua mari jaga bersih asri kawasan tolong buang sampah sembarang,Danau Emtofe,Papua
Akses jelek,akses jelek,akses jelek,Danau Emtofe,Papua
My home village,my home village,my home village,Danau Emtofe,Papua
Sangat indah,indah,indah,Danau Emtofe,Papua
Menikmati Sunset yg bgt indah bersama orng tersayanh..,menikmati sunset banget indah tersayanh,nikmat sunset banget indah tersayanh,Danau Emtofe,Papua
Lokasinya wisatanya sangat jauh namun terbayar dengan keindahannya,lokasinya wisatanya terbayar keindahannya,lokasi wisata bayar indah,Danau Emtofe,Papua
pemandangan yang ada kurang sebanding dengan effort menuju ke lokasi (ada beberapa spot jalan menuju lokasi yang rusak parah),pemandangan sebanding effort lokasi spot jalan lokasi rusak parah,pandang banding effort lokasi spot jalan lokasi rusak parah,Danau Emtofe,Papua
keren,keren,keren,Danau Emtofe,Papua
Love,love,love,Danau Emtofe,Papua
Ada penghuninya  buaya putih 🦭🦭🦭🦭🦭🦭🦭🦭,penghuninya buaya putih,hun buaya putih,Danau Emtofe,Papua
"Pernah nyasar sampai kesini, tapi bagus sekali disini",nyasar kesini bagus,nyasar kesini bagus,Danau Emtofe,Papua
"Surga tersembunyi yang indah. Dilalui dgn  jalan yg sempit & berkelok. Sejauh mata memandang terhampar pemandangan yg indah dgn padang savana yg luas dilengkapi dgn 'danau 💗"" & danau Sentani yg menawan & romantis.
💗 Papua..",surga tersembunyi indah jalan sempit berkelok memandang terhampar pemandangan indah padang savana luas dilengkapi danau danau sentani menawan romantis papua,surga sembunyi indah jalan sempit kelok pandang hampar pandang indah padang savana luas lengkap danau danau sentani tawan romantis papua,Danau Emtofe,Papua
"Perjalanan sekitar 3.5 jam dari kota Jayapura. Jalan yang dilalui setelah dekat lokasi, melewati area perumahan penduduk, dan setelah memasuki gerbang penjagaan Danau Imfote (nama asli Danau Love) jalannya berupa tanah, jadi ya pastinya licin sangat dikala hujan.

Tulisannya tiket masuk mobil 50ribu, motor 20ribu. Tapi pas kami datang tidak ada yang jaga. Tempatnya sepiiiii and so peaceful... cocok untuk ngobrol2 relax dengan teman dan keluarga.

Semua perlengkapan wajib bawa sendiri yaa, karena di sini tidak ada yang berjualan makanan/minuman/benda apapun, dan juga tidak ada toilet umum.",perjalanan jam kota jayapura jalan lokasi melewati area perumahan penduduk memasuki gerbang penjagaan danau imfote nama asli danau love jalannya tanah pastinya licin dikala hujan tulisannya tiket mobil ribu motor ribu pas jaga tempatnya sepiiiii and sok peaceful cocok mengobrol relax teman keluarga perlengkapan wajib bawa berjualan makanan minuman benda apapun toilet umum,jalan jam kota jayapura jalan lokasi lewat area rumah duduk pasuk gerbang jaga danau imfote nama asli danau love jalan tanah pasti licin kala hujan tulis tiket mobil ribu motor ribu pas jaga tempat sepiiiii and sok peaceful cocok obrol relax teman keluarga lengkap wajib bawa jual makan minum benda apa toilet umum,Danau Emtofe,Papua
Tuhan menyertai kami dgn berkat-berkatNya,tuhan menyertai berkat berkatnya,tuhan serta berkat berkat,Danau Emtofe,Papua
