review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Desa yg terkena dampak stunami.kini sudah mulai pulih.,desa terkena dampak stunami pulih,desa kena dampak stunami pulih,Kunjir,Lampung
Tempat yg cocok untuk bersantai bersama keluarga..,cocok bersantai keluarga,cocok santa keluarga,Kunjir,Lampung
"Pemandangannya lumayan, bisa lihat hamparan laut luas
Tapi sayang dan sedih kalo bandingin jaman dahulu sebelum kena bencana...",pemandangannya lumayan hamparan laut luas sayang sedih kalo bandingkan jaman bencana,pandang lumayan hampar laut luas sayang sedih kalo banding jaman bencana,Kunjir,Lampung
Keren,keren,keren,Kunjir,Lampung
Tempatnya nyaman asri langsung menghadap kelaut banyak gazebo untuk santai cocok untuk keluarga atau sama pasangan.,tempatnya nyaman asri menghadap kelaut gazebo santai cocok keluarga pasangan,tempat nyaman asri hadap laut gazebo santai cocok keluarga pasang,Kunjir,Lampung
"Yang mau mampir kesini apalagi dr luar daerah mau mampir ke pesisir pantai ini mau berteduh, saya saran kan harus bawa uang karna ini daerah wisata bukan gratisan harus bayar..
Tolong pengelola buat plang atau Baner untuk tarif wisata nya untuk
Atau juga sewa gazebo dll, biar jlz' dan pengunjung puas",mampir kesini daerah mampir pesisir pantai berteduh saran bawa uang daerah wisata gratisan bayar tolong pengelola plang baner tarif wisata sewa gazebo dll biar jlz pengunjung puas,mampir kesini daerah mampir pesisir pantai teduh saran bawa uang daerah wisata gratis bayar tolong kelola plang baner tarif wisata sewa gazebo dll biar jlz unjung puas,Kunjir,Lampung
"Spot mancing di pinggir pantai &  ikannya banyak, tidak terlalu panas. Ada warung warga, dan penduduk yg ramah. Cocoklah wisata transit jika melintas di jalur lampung selatan.",spot mancing pinggir pantai ikannya panas warung warga penduduk ramah cocoklah wisata transit melintas jalur lampung selatan,spot mancing pinggir pantai ikan panas warung warga duduk ramah cocok wisata transit lintas jalur lampung selatan,Kunjir,Lampung
Pesona Kunjir Oke,pesona kunjir oke,pesona kunjir oke,Kunjir,Lampung
"Bisa makan bakso pinggir pantai di gazebo, ada ayunan anak dan dewasa",makan bakso pinggir pantai gazebo ayunan anak dewasa,makan bakso pinggir pantai gazebo ayun anak dewasa,Kunjir,Lampung
Pondok pesantren Miftahul Huda Al Haq,pondok pesantren miftahul huda al haq,pondok pesantren miftahul huda al haq,Kunjir,Lampung
Puas,puas,puas,Kunjir,Lampung
"Lokasi wisata di pantai ini menarik untuk dikunjungi, konon lokasi ini pernah terkena dampak kenaikan air laut karena dampak dari meningkatnya aktifitas anak gunung krakatau, sehingga daera pesisir ini dibangun tembok di sepanjang pantai oleh pemkab Lampung Selatan #lampung #wisata #wisatapantai #lampungselatan",lokasi wisata pantai menarik dikunjungi konon lokasi terkena dampak kenaikan air laut dampak meningkatnya aktifitas anak gunung krakatau daera pesisir dibangun tembok pantai pemkab lampung selatan lampung wisata wisatapantai lampungselatan,lokasi wisata pantai tarik kunjung konon lokasi kena dampak naik air laut dampak tingkat aktifitas anak gunung krakatau daera pesisir bangun tembok pantai pemkab lampung selatan lampung wisata wisatapantai lampungselatan,Kunjir,Lampung
Tempatnya baru di renovasi setelah tsunami 2018 lalu. Semoga bisa bangkit lagi,tempatnya renovasi tsunami semoga bangkit,tempat renovasi tsunami moga bangkit,Kunjir,Lampung
mantap. . cuma waktu kesana mendung,mantap waktu kesana mendung,mantap waktu kesana mendung,Kunjir,Lampung
"Pemandangannya pantainya cantik, ada gubuk / saung dipesisir pantainya, bisa melihat dengan jelas hamparan laut dari pinggir jalan. Cuma saat datang kesini jalanannya ancur, berdebu padahal selepas kunjir ke arah gayam (memutari gunung rajabasa dari arah kalianda) aspalnya baik mulus dan pemandangan lereng pegunungan sejuk dipandang mata.",pemandangannya pantainya cantik gubuk saung dipesisir pantainya hamparan laut pinggir jalan kesini jalanannya hancur berdebu selepas kunjir arah gayam memutari gunung rajabasa arah kalianda aspalnya mulus pemandangan lereng pegunungan sejuk dipandang,pandang pantai cantik gubuk saung pesisir pantai hampar laut pinggir jalan kesini jalan hancur debu lepas kunjir arah gayam putar gunung rajabasa arah kalianda aspal mulus pandang lereng gunung sejuk pandang,Kunjir,Lampung
Tempat nya nyaman untuk anak - anak yang bermandian di sana air nya juga bersih dan indah untuk berfoto..,nyaman anak anak bermandian air bersih indah berfoto,nyaman anak anak mandi air bersih indah foto,Kunjir,Lampung
Warna air laut di sini tidak biru seperti kebanyakan laut di tempat lain. Tapi hijau bening. Coba buktikan dech,warna air laut biru kebanyakan laut hijau bening coba buktikan,warna air laut biru banyak laut hijau bening coba bukti,Kunjir,Lampung
Lumayan,lumayan,lumayan,Kunjir,Lampung
Nyaman tenang,nyaman tenang,nyaman tenang,Kunjir,Lampung
Sangat membantu,membantu,bantu,Kunjir,Lampung
"Tempat nya sangat indah, orang nya pun ramah²",indah ramah,indah ramah,Kunjir,Lampung
Pantai yg indah dan nyaman 👍👍👍,pantai indah nyaman,pantai indah nyaman,Kunjir,Lampung
