review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Tempat nya bagus, banyak spot foto, kangen karna udh ldr sama mbak pacar",bagus spot foto kangen ldr mbak pacar,bagus spot foto kangen ldr mbak pacar,Pulau Kumayan Kota,Bengkulu
"Menurut saya, untuk fasilitas itu bagus dan lengkap cuman saya rasa perlu dilakukan perbaikan  karena saya lihat kemaren waktu saya berkunjung kesana banyak kayu kayu sudah banyak yang rapuh dan membahayakan pengunjung..nah jika wisata ini di perbaiki mungkin bakalan ramai pengunjungnya karena dari tiket masuk  12k perorangan sudh sangat wor id dengen banyak fasiltas yang ada tapi yaa perlu perhatian lagi dengen perbaikan fasilitas dan jauh untuk membeli makanan.",fasilitas bagus lengkap cuman perbaikan kemarin waktu berkunjung kesana kayu kayu rapuh membahayakan pengunjung wisata perbaiki ramai pengunjungnya tiket kak perorangan wor id dengen fasiltas perhatian dengen perbaikan fasilitas membeli makanan,fasilitas bagus lengkap cuman baik kemarin waktu kunjung kesana kayu kayu rapuh bahaya unjung wisata baik ramai unjung tiket kak orang wor id dengen fasiltas perhati dengen baik fasilitas beli makan,Pulau Kumayan Kota,Bengkulu
Wisata yg membuat pengunjung kecewa😞,wisata pengunjung kecewa,wisata unjung kecewa,Pulau Kumayan Kota,Bengkulu
"Cukup sekian dan tidak terima...
Penjaga sangat tidak kooperatif, tidak bertanggung jawab dengan ucapannya..",sekian terima penjaga kooperatif bertanggung ucapannya,sekian terima jaga kooperatif tanggung ucap,Pulau Kumayan Kota,Bengkulu
"dak kan pernah lgi mijak kaki ke sini, hri kamis lh ktmu pnjgo ny(yg tinggal di rumah pas di pintu masuk) lh ngobrol nnyo2 kalu ndak camping cak mno, jawab ny bayar perorang tetap 10 rbu, mobil 5 rbu, anak2 gratis, paling tmbhan untuk keamanan aj seikhlasnyo, klu ndak mancing tmbah 10 rbul, karno lh mrso cocok paillh mlm minggu 2 mobil kek kwn ujn2 posisi ny. Smpai stu lh ktmu pnjgo ny lah oke, barang lah di turunin lh siap bentang tenda, datang lh bapk2 yang lain sorang tbo2 ngomng dak boleh camping di sini, ngobrol2 dk tau ny mintk biaya keamanan biaso ny minimal 1,5 jt untuk yang jago satu mlm, yg jago 4 orang, yg bpak pnjgo ny lh lain lg omngn ny dk smo kek awal sblum yg sorang ko datang. Jujur bae kami klu sgtu dk saggup, orang lh terlanjur datang jg, singkat crto bdbat lah ujung2 ny ngmng bingung nentukan hargo ny klu yg camping cmn dkit skitar 6 orang dewasa 5ank2 , singkat crto dk jadi camping dk sanggup dngn hargo 1,5juta..gilo hargo ny dk ngotak wajar aj dk ad kemajuan",indak mijak kaki kamis ketemu pnjgo tinggal rumah pas pintu mengobrol nnyo indak camping cak mno bayar perorang rbu mobil rbu anak gratis tmbhan keamanan seikhlasnyo indak mancing rbul karno mrso cocok paillh malam minggu mobil kayak kwn ujn posisi ketemu pnjgo oke barang turunin bentang tenda bapk sorang tbo mengomong indak camping mengobrol dk tau biaya keamanan biaso minimal juta jago malam jago bpak pnjgo omngn dk smo kayak sorang jujur bae dk saggup terlanjur singkat crto bdbat ujung mengomong bingung nentukan hargo camping cuman dkit dewasa anak singkat crto dk camping dk sanggup dngn hargo juta gilo hargo dk ngotak wajar dk kemajuan,indak mijak kaki kamis ketemu pnjgo tinggal rumah pas pintu obrol nnyo indak camping cak mno bayar orang rbu mobil rbu anak gratis tmbhan aman seikhlasnyo indak mancing rbul karno mrso cocok paillh malam minggu mobil kayak kwn ujn posisi ketemu pnjgo oke barang turunin bentang tenda bapk sorang tbo omong indak camping obrol dk tau biaya aman biaso minimal juta jago malam jago bpak pnjgo omngn dk smo kayak sorang jujur bae dk saggup lanjur singkat crto bdbat ujung omong bingung nentukan hargo camping cuman dkit dewasa anak singkat crto dk camping dk sanggup dngn hargo juta gilo hargo dk ngotak wajar dk maju,Pulau Kumayan Kota,Bengkulu
Liburan yang nyaman suasana nya adem,liburan nyaman suasana adem,libur nyaman suasana adem,Pulau Kumayan Kota,Bengkulu
Bagus dan alami,bagus alami,bagus alami,Pulau Kumayan Kota,Bengkulu
Bagus tapi fasilitas nya ada yang rusak,bagus fasilitas rusak,bagus fasilitas rusak,Pulau Kumayan Kota,Bengkulu
Sesuai Harga,sesuai harga,sesuai harga,Pulau Kumayan Kota,Bengkulu
Mantap...bisa wisata sekalian mancing,mantap wisata mancing,mantap wisata mancing,Pulau Kumayan Kota,Bengkulu
"Tempat yang nyaman untuk traveling bareng keluarga, teman, di waktu weekend...
Bisa banget, nih buat temen-temen untuk jadi referensi wisata bareng keluarga",nyaman traveling bareng keluarga teman waktu weekend banget teman teman referensi wisata bareng keluarga,nyaman traveling bareng keluarga teman waktu weekend banget teman teman referensi wisata bareng keluarga,Pulau Kumayan Kota,Bengkulu
"Tempat masih natural, ada track buat melihat rawa, ramai di akhir pekan... Banyak boot untuk berfoto bersama keluarga.. Lokasi dipinggir kota bengkulu.. Cocok untuk yg ingin berekreasi bersama keluarga",natural track rawa ramai pekan boot berfoto keluarga lokasi dipinggir kota bengkulu cocok berekreasi keluarga,natural track rawa ramai pekan boot foto keluarga lokasi pinggir kota bengkulu cocok rekreasi keluarga,Pulau Kumayan Kota,Bengkulu
"Wisata keluarga, cuma sayang sudah kurang terawat, jembatan sudah pada hancur, spot poto juga tidak banyak, jalan masuk masih kerikil, tiket masuk perorng 10, sudah free pondok",wisata keluarga sayang terawat jembatan hancur spot poto jalan kerikil tiket perorng free pondok,wisata keluarga sayang awat jembatan hancur spot poto jalan kerikil tiket perorng free pondok,Pulau Kumayan Kota,Bengkulu
"selama kesini bagus² aja sih, cuman udah ada jembatan yg rusak sama kyk kurang terawat aja, semoga dibagusin lagi biar makin ramai
untuk tiket masuknya 10k/org, parkir kendaraan 2k/motor 5k/mobil(maybe)",kesini bagus cuman jembatan rusak kayak terawat semoga dibagusin biar ramai tiket masuknya kak parkir kendaraan kak motor kak mobil maybe,kesini bagus cuman jembatan rusak kayak awat moga dibagusin biar ramai tiket masuk kak parkir kendara kak motor kak mobil maybe,Pulau Kumayan Kota,Bengkulu
Cukup bagus cmn kurang terawat,bagus cuman terawat,bagus cuman awat,Pulau Kumayan Kota,Bengkulu
Karena tempatnya bagus adem sejuk dan dingin enak untuk hingga,tempatnya bagus adem sejuk dingin,tempat bagus adem sejuk dingin,Pulau Kumayan Kota,Bengkulu
"Tempat nya dingin, pemandangan nya bagus, banyak tempat untuk poto, kantin disana juga ada jadi g bakalan takut kelaparan biaya masuk per orang 10 ribu di tambah parkir 2 ribu per motor",dingin pemandangan bagus poto kantin disana takut kelaparan biaya ribu parkir ribu motor,dingin pandang bagus poto kantin sana takut lapar biaya ribu parkir ribu motor,Pulau Kumayan Kota,Bengkulu
Bagus dan masih asri,bagus asri,bagus asri,Pulau Kumayan Kota,Bengkulu
"Tempat wisata outdoor yg cocok bagi keluarga, rawa2 namun tidak ada nyamuk dan lumayan bersih.",wisata outdoor cocok keluarga rawa nyamuk lumayan bersih,wisata outdoor cocok keluarga rawa nyamuk lumayan bersih,Pulau Kumayan Kota,Bengkulu
"Banyak lumpur,tidak sesuai yang difoto,kayu mulai pada layu,sampah berserakan dimana mana,kurang bagus,mohon di tingkat kan lagi",lumpur sesuai difoto kayu layu sampah berserakan dimana bagus tingkat,lumpur sesuai foto kayu layu sampah sera mana bagus tingkat,Pulau Kumayan Kota,Bengkulu
"Harganya naik. Fasilitasnya kurang. Apalagi musim kemarau. 😮‍💨😮‍💨😮‍💨, nggak dijaga dengan baik .banyak bahan dari kayu. Sudah mau roboh. Tidak aman untuk pengunjung wisata. Padahal awal tahun lalu saya kesana bersama keluarga. Tapi akhir tahun ini jauh berbeda. Tidak masalah kalau mau naikan harga tapi baguskan juga fasilitas didalamnya.",harganya fasilitasnya musim kemarau dijaga bahan kayu roboh aman pengunjung wisata tahun kesana keluarga tahun berbeda naikan harga baguskan fasilitas didalamnya,harga fasilitas musim kemarau jaga bahan kayu roboh aman unjung wisata tahun kesana keluarga tahun beda naik harga bagus fasilitas dalam,Pulau Kumayan Kota,Bengkulu
"Pembayaran masuk 20ribu tambah parkir 2ribu,masuk wc 2ribu, tempat nya kurang bagus, safety nya nggak ada, tempat nya masih kayak kurang ter urus, baru masuk udah badmood nggak lama trus pulang 🙏🏻😊",pembayaran ribu parkir ribu wc ribu bagus safety kayak ter urus badmood pulang,bayar ribu parkir ribu wc ribu bagus safety kayak ter urus badmood pulang,Pulau Kumayan Kota,Bengkulu
"Tempat wisata dan outbond untuk keluarga dan instansi. HTM 10rb, kalau kemarau danaunya kering. Beberapa papan di jembatan sudah mulai lepas karena lapuk. Banyak spot foto seperti rumah kayu, bulan sabit dll.",wisata outbond keluarga instansi htm ribu kemarau danaunya kering papan jembatan lepas lapuk spot foto rumah kayu sabit dll,wisata outbond keluarga instansi htm ribu kemarau danau kering papan jembatan lepas lapuk spot foto rumah kayu sabit dll,Pulau Kumayan Kota,Bengkulu
Ya begitulah tidak ramai,ramai,ramai,Pulau Kumayan Kota,Bengkulu
Bintang 3 dulu belum pernah kesan,kesan,kesan,Pulau Kumayan Kota,Bengkulu
Terimakasih 🙏,terimakasih,terimakasih,Pulau Kumayan Kota,Bengkulu
"Udah bayar tiket masuk 10 per orang, parkir 5 ribu..trus setiap wahana permainan bayar lagi 10 ribu dan tempat kayak tidak terurus",bayar tiket parkir ribu wahana permainan bayar ribu kayak terurus,bayar tiket parkir ribu wahana main bayar ribu kayak urus,Pulau Kumayan Kota,Bengkulu
"Wisata nya bagus, cuma bingung mau buang sampai dimana.
Karna minim nya tempat sampah",wisata bagus bingung buang dimana minim sampah,wisata bagus bingung buang mana minim sampah,Pulau Kumayan Kota,Bengkulu
Tempat yg bagus untuk bersantai dan mengobrol! Tapi beberapa tempat butuh perbaikan!,bagus bersantai mengobrol butuh perbaikan,bagus santa obrol butuh baik,Pulau Kumayan Kota,Bengkulu
"Taman rekreasi ini cocok buat mengisi hari libur,ada kolam pancingnya juga.taman wisata alam.",taman rekreasi cocok mengisi libur kolam pancingnya taman wisata alam,taman rekreasi cocok isi libur kolam pancing taman wisata alam,Pulau Kumayan Kota,Bengkulu
"tempatnya bagus, nyaman, pokoknya sangat menyenangkan bisa langsung berkunjung ke sini. lokasinya juga gak jauh dari rumah, dan kini juga sudah banyak sekali peningkatan pembangunan pulau kumayan nih,,, sukses terus ya",tempatnya bagus nyaman pokoknya menyenangkan berkunjung lokasinya rumah peningkatan pembangunan pulau kumayan sukses,tempat bagus nyaman pokok senang kunjung lokasi rumah tingkat bangun pulau kumayan sukses,Pulau Kumayan Kota,Bengkulu
"Tempatnya bagus, tapi tidak recomen bagi yg bawa anak, soalnya berisik suka ada karoke, ada 3 tempat karoke yg seperti tanding2an bikin polusi suara... Mana lagunya tidak mendidik... Pengelola tolong dong.. itu karoke ditiadakan jika tidak lama lama akan sepi..",tempatnya bagus recomen bawa anak berisik suka karoke karoke tanding an bikin polusi suara lagunya mendidik pengelola tolong karoke ditiadakan sepi,tempat bagus recomen bawa anak berisik suka karoke karoke tanding an bikin polusi suara lagu didik kelola tolong karoke tiada sepi,Pulau Kumayan Kota,Bengkulu
"pergi ke sini untuk mancing,harga 20 ribu,udh 4 kali ke sini untuk mancing,harga 20 rbu dapet ikan cuma sekali wktu pertama kali dtg itupun 1,mohon di perbaiki untuk fasilitas papan nya,udh rapuh,bibit ikan gabusnya coba di tebar,sayang 20k ga dpet apa'",pergi mancing harga ribu mancing harga rbu ikan waktu itupun perbaiki fasilitas papan rapuh bibit ikan gabusnya coba tebar sayang kak dpet,pergi mancing harga ribu mancing harga rbu ikan waktu itu baik fasilitas papan rapuh bibit ikan gabus coba tebar sayang kak dpet,Pulau Kumayan Kota,Bengkulu
"Cocok untuk wisata keluarga, apalagi bersama balita. Anak2 aman untuk bermain karna tempatnya luas dan sejuk. Wahananya yg disediakan juga bergama mulai dari ayunan sampai flyingfox. Untuk parkiran juga luas.
Kami juga sempat melihat burung bangau yg sedang mencari makan diarea rawa sekitar lokasi. Anak sangat senang bermain disini.",cocok wisata keluarga balita anak aman bermain tempatnya luas sejuk wahananya disediakan bergama ayunan flyingfox parkiran luas burung bangau mencari makan diarea rawa lokasi anak senang bermain,cocok wisata keluarga balita anak aman main tempat luas sejuk wahana sedia gama ayun flyingfox parkir luas burung bangau cari makan area rawa lokasi anak senang main,Pulau Kumayan Kota,Bengkulu
Sejuk disini. Cocok banget yang suka piknik,sejuk cocok banget suka piknik,sejuk cocok banget suka piknik,Pulau Kumayan Kota,Bengkulu
Saya warga sekitar kl malam hari sangat terganggu dengan suara musik yg sangat keras dari tempat ini hampir setiap malam. Mohon menjadi perhatian pihak pengelola.,warga malam terganggu suara musik keras malam perhatian pengelola,warga malam ganggu suara musik keras malam perhati kelola,Pulau Kumayan Kota,Bengkulu
Rekomendasi banget pokok nya untuk healing,rekomendasi banget pokok healing,rekomendasi banget pokok healing,Pulau Kumayan Kota,Bengkulu
Lumayan untuk menghabiskan waktu weekend,lumayan menghabiskan waktu weekend,lumayan habis waktu weekend,Pulau Kumayan Kota,Bengkulu
wisata alam yang indsh dan alami,wisata alam indsh alami,wisata alam indsh alami,Pulau Kumayan Kota,Bengkulu
Sangat cocok untuk mencari kebagiaan dan ketenangan jiwa,cocok mencari kebagiaan ketenangan jiwa,cocok cari kebagiaan tenang jiwa,Pulau Kumayan Kota,Bengkulu
"Tempat nya  bagus,Tapi lebih bagus lagi di rapihkan lagi sisah2 kayu yang menumpuk biar keliatan lebih rapih 👍",bagus bagus rapihkan sisah kayu menumpuk biar rapi,bagus bagus rapihkan sisah kayu tumpuk biar rapi,Pulau Kumayan Kota,Bengkulu
"Sekarang di pulau lumayan ada wahana permainan baru loh, silakan berkunjung",pulau lumayan wahana permainan silakan berkunjung,pulau lumayan wahana main sila kunjung,Pulau Kumayan Kota,Bengkulu
"lumayan adem, karena tanaman bakau nya..
semoga tetap dalam pelestarian agar terus berkembang jadi tempat wisata yg lebih baik (y)",lumayan adem tanaman bakau semoga pelestarian berkembang wisata,lumayan adem tanam bakau moga lestari kembang wisata,Pulau Kumayan Kota,Bengkulu
Taman wisata air dan wahana lainnya di no kota Bengkulu,taman wisata air wahana no kota bengkulu,taman wisata air wahana no kota bengkulu,Pulau Kumayan Kota,Bengkulu
biaso bae,biaso bae,biaso bae,Pulau Kumayan Kota,Bengkulu
Chill,chill,chill,Pulau Kumayan Kota,Bengkulu
Bagus,bagus,bagus,Pulau Kumayan Kota,Bengkulu
Lumayan buat refreshing,lumayan refreshing,lumayan refreshing,Pulau Kumayan Kota,Bengkulu
Lumayan bagus untuk wisata akhir pekan,lumayan bagus wisata pekan,lumayan bagus wisata pekan,Pulau Kumayan Kota,Bengkulu
Lain waktu kesini lagi☺️,waktu kesini,waktu kesini,Pulau Kumayan Kota,Bengkulu
"Tempat rekreasi buat keluarga, cocok buat anak², aksesnya mudah, biaya masuk juga terjangkau, masih termasuk di dalam kota walu sedikit jauh sih dari tengah kota.",rekreasi keluarga cocok anak aksesnya mudah biaya terjangkau kota walu tengah kota,rekreasi keluarga cocok anak akses mudah biaya jangkau kota walu tengah kota,Pulau Kumayan Kota,Bengkulu
