review,review_text,rating,author,date,nama desa wisata
luar biasa tempat yang sangat damai dan asri,"Luar Biasa, tempat yang sangat damai dan asri.",5,Boas Sababang,2026-03-16T21:05:14.411Z,Pulesari
desa wisata pulesari bener bener tempat yang asik buat refreshing bareng keluarga atau kantor area outbound nya luas banget terutama kegiatan susur sungai yang jadi favorit karena seru dan aman buat anak anak udaranya masih sejuk dan asri karena banyak pohon salak di sekelilingnya fasilitas pendukung seperti toilet musala dan tempat makan juga sudah sangat memadai dan bersih cocok banget buat yang cari suasana pedesaan yang tenang tapi tetap seru,"Desa Wisata Pulesari bener-bener tempat yang asik buat refreshing bareng keluarga atau kantor. Area outbound-nya luas banget, terutama kegiatan susur sungai yang jadi favorit karena seru dan aman buat anak-anak. Udaranya masih sejuk dan asri karena banyak pohon salak di sekelilingnya. Fasilitas pendukung seperti toilet, musala, dan tempat makan juga sudah sangat memadai dan bersih. Cocok banget buat yang cari suasana pedesaan yang tenang tapi tetap seru!",5,Indra Pangestu,2026-02-19T07:11:29.269Z,Pulesari
tempatnya sejuk untuk kegiatan keakraban sayangnya hampir seharian dari sore sampe besok siangnya waktu pulang listriknya mati karena cuaca kurang bagus dan sepertinya kabel terkena runtuhan pohon,"tempatnya sejuk untuk kegiatan keakraban, sayangnya hampir seharian dari sore sampe besok siangnya waktu pulang listriknya mati karena cuaca kurang bagus dan sepertinya kabel terkena runtuhan pohon.",4,Hersa Melindha,2026-02-01T15:10:20.181Z,Pulesari
tempatnya asik banget asri hawanya sejuk tempat outbond asik di kali yang airnya seger dan bersih banget tapi sayangnya ternyata ada tambahan biaya tempat untuk di luar paket outbond yang ga diinfo sebelumnya,"Tempatnya asik banget, asri, hawanya sejuk, tempat outbond asik di kali yang airnya seger dan bersih banget. Tapi sayangnya ternyata ada tambahan biaya tempat untuk di luar paket outbond yang ga diinfo sebelumnya.",4,Elisabet Setiyana,2026-01-15T14:09:12.782Z,Pulesari
tempat outbond yg lengkap dan terbagi dalam banyak pos yg memungkinkan banyak pengguna memanfaatkan lokasi ini secara bersamaan dalam satu waktu pilihan paketnya juga beragam menyesuaikan budget dan kebutuhan sip,Tempat outbond yg lengkap dan terbagi dalam banyak pos yg memungkinkan banyak pengguna memanfaatkan lokasi ini secara bersamaan dalam satu waktu. Pilihan paketnya juga beragam menyesuaikan budget dan kebutuhan. Sip.,5,Slamet Riyanto,2026-01-14T01:44:03.259Z,Pulesari
desa wisata pulesari asri edukatif ramah keluarga desa wisata pulesari adalah destinasi yang cocok banget kalau kamu ingin merasakan suasana pedesaan khas jogja di lereng gunung merapi tempatnya asri udara sejuk dan pemandangan sawah serta kebun salak yang terbentang membuat pengalaman liburan jadi nyaman dan bersahabat,"🌿 Desa Wisata Pulesari – Asri, Edukatif & Ramah Keluarga
Desa Wisata Pulesari adalah destinasi yang cocok banget kalau kamu ingin merasakan suasana pedesaan khas Jogja di lereng Gunung Merapi. Tempatnya asri, udara sejuk, dan pemandangan sawah serta kebun salak yang terbentang membuat pengalaman liburan jadi nyaman dan bersahabat.",5,Watashi wa Dayat,2026-01-12T00:15:29.115Z,Pulesari
tempatnya sejuk dan asri di bagian pendopo bersih dan pendamping di permainan untuk pendopo lumayan asik tapi agak judes yang perlu di perhatikan yaitu toilet toilet agak jauh dari tempat pendopo dan juga yang perlu diperhatikan lagi pendampuong di sungai judes bgt gabisa diajak bercanda kaya cuman nganterin doang kaku bgt itu aj sih mines nya,"tempatnya sejuk dan asri, di bagian pendopo bersih dan pendamping di permainan untuk pendopo lumayan asik tapi agak judes, yang perlu di perhatikan yaitu toilet, toilet agak jauh dari tempat pendopo dan juga yang perlu diperhatikan lagi pendampuong di sungai judes bgt gabisa diajak bercanda kaya cuman nganterin doang kaku bgt itu aj sih mines nya",3,Ilyas Skibidi,2026-01-05T04:57:40.914Z,Pulesari
bagus buat outbound jalannnya juga mudah di akses ramah ramah,"bagus buat outbound jalannnya juga mudah di akses, ramah ramah!",5,Salvia sava Kaiana,2026-01-03T12:02:24.837Z,Pulesari
asyik untuk oitbond edukatif dan spot masih sangat alami tolong fasilitatornya lebih gercep lagi,"Asyik untuk oitbond, edukatif dan spot masih sangat alami. Tolong fasilitatornya lebih gercep lagi.",4,khanif kurniati,2025-12-25T08:31:15.681Z,Pulesari
pas aku otbon sama satu kelas aku di situ seruuuuu banget aku sampek gak mau pulangggg,Pas aku otbon sama satu kelas aku di situ seruuuuu banget aku sampek gak mau pulangggg,5,Hera Okta,2025-11-27T10:26:05.793Z,Pulesari
arena outbound nya seru ada dua versi outbound untuk area sungai timur arusnya tidak terlalu deras sedangkan area sungai barat arusnya cukup deras dan tantangannya lebih seru pemandu nya ramah dan mau menjawab pertanyaan kita makanan yang disuguhkan juga enak,"Arena outbound nya seru ada dua versi outbound. Untuk area sungai timur arusnya tidak terlalu deras, sedangkan area sungai barat arusnya cukup deras dan tantangannya lebih seru.
Pemandu nya ramah dan mau menjawab pertanyaan kita. Makanan yang disuguhkan juga enak.",5,Dian Fitri,2025-11-26T07:39:42.122Z,Pulesari
pemandu sungai sangat kaku gabisa diajak bercanda cuman nganter liat aja harusnya ikut memeriahkan atau apa gitu nyesel banget malah seru fungame ice breakingnya sama bapabapka gendut gatau namanya,"Pemandu sungai sangat kaku, gabisa diajak bercanda,cuman nganter liat aja harusnya ikut memeriahkan atau apa gitu nyesel banget, malah seru fungame ice breakingnya sama bapabapka gendut gatau namanya😭",1,Amarilis,2025-11-23T04:58:52.580Z,Pulesari
tempat dimana kamu bisa ketemu orang orang baik yang hospitality nya mantepp poll,tempat dimana kamu bisa ketemu orang-orang baik yang hospitality nya mantepp poll,5,yisatheresia,2025-11-20T16:52:03.169Z,Pulesari
pemandu asungai kurang ramah cuma mengantar saja tidak bisa memeriahkan,"Pemandu asungai kurang ramah, cuma mengantar saja tidak bisa memeriahkan",1,Aji Muhammad,2025-11-20T15:13:33.856Z,Pulesari
tempat yang asyik dan cukup luas untuk berkegiatan seperti perkemahan pramuka gathering atau outbound seru semoga makin berjaya maju dan sejahtera,"Tempat yang asyik dan cukup luas untuk berkegiatan seperti perkemahan Pramuka, Gathering, atau Outbound seru. Semoga makin berjaya, maju, dan sejahtera.",5,M Yusup,2025-11-19T11:30:50.084Z,Pulesari
desa wisata pulesari terletak di daerah turi sleman pulesari ini biasa untuk outbond yang berhubungan dengan air seperti jembatan goyang medon kali trecking dll lumayan menguji nyali andrenalin tapi kalo untuk anak anak usia 5 8 tahun saya kira kurang aman yaa lebih diutamakan yg sudah usia 10tahun keatas untuk keseluruhan bagus banget buat pemandunya welcome dan humble bagi yang suka buah salak belanja sepuasnya disini murah banget dan buah fresh baru petik cuaca sejuk seperti dipegunungan,"Desa wisata pulesari terletak di daerah turi sleman. Pulesari ini biasa untuk outbond yang berhubungan dengan air, seperti jembatan goyang, medon kali, trecking dll.. lumayan menguji nyali andrenalin. Tapi kalo untuk anak anak usia 5 - 8 tahun saya kira kurang aman yaa.. lebih diutamakan yg sudah usia 10tahun keatas. Untuk keseluruhan bagus banget buat pemandunya welcome dan humble. Bagi yang suka buah salak.. belanja sepuasnya disini murah banget dan buah fresh baru petik. Cuaca sejuk seperti dipegunungan.",5,Christina Dewi,2025-11-16T10:04:32.423Z,Pulesari
