review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Jalanan nya penuh lubang dan becek,jalanan penuh lubang becek,jalan penuh lubang becek,Setu Babakan,DKI Jakarta
"Bagus, adem, tenang, tapi sayang jalannya becek",bagus adem tenang sayang jalannya becek,bagus adem tenang sayang jalan becek,Setu Babakan,DKI Jakarta
Keren dan Syahdu,keren syahdu,keren syahdu,Setu Babakan,DKI Jakarta
"minim informasi, jalanannya jelek, petugas songong. gak sebagus yang ada di foto.",minim informasi jalanannya jelek petugas songong sebagus foto,minim informasi jalan jelek tugas songong bagus foto,Setu Babakan,DKI Jakarta
"Petugas kurang ramah dan tidak informatif. Saya tidak mengetahui bahwa di area tersebut tidak diperbolehkan mengambil foto. Saat saya menyampaikan apa yang saya ketahui, respons yang diberikan justru ‘tahu dari siapa itu’ dengan nada dan ekspresi yang terasa mengintimidasi. Padahal, saya tidak memaksa atau berdebat, hanya menyampaikan apa yang saya pahami. Setelah diberi tahu, saya juga langsung pulang dan tidak mencoba untuk tetap masuk atau melanggar aturan. Akan lebih baik jika petugas memberikan penjelasan dengan cara yang lebih sopan dan informatif. Semoga ke depannya pelayanan dapat disampaikan dengan lebih baik dan manusiawi, agar tidak merusak momen penting pengunjung.",petugas ramah informatif area diperbolehkan mengambil foto ketahui respons nada ekspresi mengintimidasi memaksa berdebat pahami pulang mencoba melanggar aturan petugas penjelasan sopan informatif semoga depannya pelayanan manusiawi merusak momen pengunjung,tugas ramah informatif area boleh ambil foto tahu respons nada ekspresi intimidasi paksa debat paham pulang coba langgar atur tugas jelas sopan informatif moga depan layan manusiawi rusak momen unjung,Setu Babakan,DKI Jakarta
Tempat bagus bersih,bagus bersih,bagus bersih,Setu Babakan,DKI Jakarta
"Kalo lagi iseng, nongkrong di sini lumayan lah...murah meriah",kalo iseng nongkrong lumayan murah meriah,kalo iseng nongkrong lumayan murah riah,Setu Babakan,DKI Jakarta
sangat luas untuk cagar budaya,luas cagar budaya,luas cagar budaya,Setu Babakan,DKI Jakarta
"buat anak sekolah atau pengunjung yang ingin berkunjung atau melakukan tugas dari sekolah ke pusat informasi terkait Setu Babakan atau berkunjung ke museum betawi, disarankan jangan pake titik ini kalo pake ojek/taksi online, solanya titik ini letaknya jauh dari pusat informasi nya/museum nya atau tempat yang sering dijadikan pusat keramaian, titik ini tepat di bantaran setu babakan dan kalo jalan lumayan jauh. disarankan mencari titik/mengetik ""Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan atau Museum Betawi"" di google maps.",anak sekolah pengunjung berkunjung tugas sekolah pusat informasi terkait setu babakan berkunjung museum betawi disarankan pakai titik kalo pakai ojek taksi online solanya titik letaknya pusat informasi museum dijadikan pusat keramaian titik bantaran setu babakan kalo jalan lumayan disarankan mencari titik mengetik unit pengelola kawasan perkampungan budaya betawi setu babakan museum betawi,anak sekolah unjung kunjung tugas sekolah pusat informasi kait setu babakan kunjung museum betawi saran pakai titik kalo pakai ojek taksi online solanya titik letak pusat informasi museum jadi pusat ramai titik bantaran setu babakan kalo jalan lumayan saran cari titik etik unit kelola kawasan kampung budaya betawi setu babakan museum betawi,Setu Babakan,DKI Jakarta
Air nya basah,air basah,air basah,Setu Babakan,DKI Jakarta
"Tempat ini pernah rapih, pernah asyik, pernah highly recommended untuk wisata keluarga yang merakyat.
Kenapa tiga bintang, masih ada spot/tempat yang bisa dinikmati, tapi banyak yang bikin sedih/sayang kalau dilihat.",rapi asyik highly recommended wisata keluarga merakyat spot dinikmati bikin sedih sayang,rapi asyik highly recommended wisata keluarga rakyat spot nikmat bikin sedih sayang,Setu Babakan,DKI Jakarta
"Setu babakan penuh sama pengamen & pengemis,kesannya jadi kumuh.",setu babakan penuh pengamen pengemis kesannya kumuh,setu babakan penuh amen emis kesan kumuh,Setu Babakan,DKI Jakarta
Jalanannya kok sekarang jelek banget ???... berlumpur dan debel kaya jalanan jaman dulu... ampuuun,jalanannya jelek banget berlumpur debel kayak jalanan jaman ampun,jalan jelek banget lumpur debel kayak jalan jaman ampun,Setu Babakan,DKI Jakarta
Perumahan aman dan nyaman akses masuk mobil ke dalam perumahan cukup luas,perumahan aman nyaman akses mobil perumahan luas,rumah aman nyaman akses mobil rumah luas,Setu Babakan,DKI Jakarta
Mantap,mantap,mantap,Setu Babakan,DKI Jakarta
