review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Lokasi tidakbegitu jauh..hanya saja syng sekali jalan masukny msh perlu perbaikan...lokasi cukup nyaman buat wisata keluarga...,lokasi tidakbegitu sayang jalan masukny perbaikan lokasi nyaman wisata keluarga,lokasi tidakbegitu sayang jalan masukny baik lokasi nyaman wisata keluarga,Tanjung Laut,Jambi
"Sejuk, adem, dan unik",sejuk adem unik,sejuk adem unik,Tanjung Laut,Jambi
Dtang pas lagi surut,dtang pas surut,dtang pas surut,Tanjung Laut,Jambi
Bagus tp jalananny...,bagus jalananny,bagus jalananny,Tanjung Laut,Jambi
"Danaunya bagus ,saran aja enak kesana klo airnya pasang, jadi lebih indah aja,suasananya alami bnget dan tenang",danaunya bagus saran kesana kalo airnya pasang indah suasananya alami banget tenang,danau bagus saran kesana kalo air pasang indah suasana alami banget tenang,Tanjung Laut,Jambi
Cocok untuk rekreasi bersama keluarga hanya saja perlu meningkatkan fasilitas yang ada supaya lebih menarik,cocok rekreasi keluarga meningkatkan fasilitas menarik,cocok rekreasi keluarga tingkat fasilitas tarik,Tanjung Laut,Jambi
"Lokasi di ujung desa
Pengelolalan wisata air oleh desa sudah cukup baik",lokasi ujung desa pengelolalan wisata air desa,lokasi ujung desa pengelolalan wisata air desa,Tanjung Laut,Jambi
Sangat mengesankan,mengesankan,kesan,Tanjung Laut,Jambi
"Mohon maaf untuk kali ini saya kecewa sama tempat Wisata danau tangkas,Pegawai karcis nya tidak ramah,Atitudenya tidak dijagaa berbicara dengan yang lebih tua disama ratakan dengan seusia nyaa,Terima kasih",maaf kecewa wisata danau tangkas pegawai karcis ramah atitudenya dijagaa berbicara tua disama ratakan seusia terima kasih,maaf kecewa wisata danau tangkas pegawai karcis ramah atitudenya dijagaa bicara tua sama rata usia terima kasih,Tanjung Laut,Jambi
"Terakhir kesini 4tahun lalu ngecamp, keingat ke danaunya nyebrang pake skitboat ternyata sekrang enggak lg sejak ada jembatannya. Sayang bangetttt. Mana tiketnya 28rb belum termasuk apa-apa. Sewa tenda 50rb saya kira udah masuk matras full tenda ternyata cuma dapet 1gulung tikar 😭 tau gitu bawa dr rumah. Tamabah tikar 15rb, tambah kayu kabar 10rb",kesini tahun ngecamp keingat danaunya nyebrang pakai skitboat jembatannya sayang banget tiketnya ribu sewa tenda ribu matras full tenda gulung tikar tau bawa rumah tamabah tikar ribu kayu kabar ribu,kesini tahun ngecamp ingat danau nyebrang pakai skitboat jembatan sayang banget tiket ribu sewa tenda ribu matras full tenda gulung tikar tau bawa rumah tamabah tikar ribu kayu kabar ribu,Tanjung Laut,Jambi
"Petunjuk arah mohon ditambah, karena pake google maps agak menyesatkan.
Tempat nya asik & nyaman.
Harga jajanan juga standar.
Keseluruhan oke dech...👍",petunjuk arah ditambah pakai menyesatkan asik nyaman harga jajanan standar oke,tunjuk arah tambah pakai sesat asik nyaman harga jajan standar oke,Tanjung Laut,Jambi
"Cocok untung camping, kurang cocok untuk wisata keluarga bawa anak2 krna tidak ada tempat bermain anak dan kurang safety utk anak kecil.",cocok untung camping cocok wisata keluarga bawa anak bermain anak safety anak,cocok untung camping cocok wisata keluarga bawa anak main anak safety anak,Tanjung Laut,Jambi
"Tempat bagus buat healing di daerah jambi. Aman, nyaman dan asri.",bagus healing daerah jambi aman nyaman asri,bagus healing daerah jambi aman nyaman asri,Tanjung Laut,Jambi
Alhamdulillah dari jakarta tiba di jambi,alhamdulillah jakarta jambi,alhamdulillah jakarta jambi,Tanjung Laut,Jambi
"Beberapa tahun yang lalu camp disini bagus banget masih asri alamnya suasanya tenang sunyi.

Tapi skrang udah ga recomend lg sih buat camp udah ga nuansa alam, malah kayak cafe trus ada musik-musiknya ganggu banget brisik, kalo buat camp ga recomend lg",tahun camp bagus banget asri alamnya suasanya tenang sunyi recomend camp nuansa alam kayak cafe musik musiknya ganggu banget brisik kalo camp recomend,tahun camp bagus banget asri alam suasa tenang sunyi recomend camp nuansa alam kayak cafe musik musik ganggu banget brisik kalo camp recomend,Tanjung Laut,Jambi
Mantap,mantap,mantap,Tanjung Laut,Jambi
Udah kering sekarang nyesel banget,kering menyesal banget,kering sesal banget,Tanjung Laut,Jambi
"jelek banget, kaya danau buatan lo😡😡😡😡",jelek banget kayak danau buatan lo,jelek banget kayak danau buat lo,Tanjung Laut,Jambi
Tempat wisata yang cukup bagus untuk daerah pemayung,wisata bagus daerah pemayung,wisata bagus daerah mayung,Tanjung Laut,Jambi
mantap lur..promo ya untuk para alumni pelatihan bumdes,mantap lur promo alumni pelatihan bumdes,mantap lur promo alumni latih bumdes,Tanjung Laut,Jambi
Cocok untuk camp tempatnya Mash sejuk dan nyaman jauh dari keramaian kota dan polusi,cocok camp tempatnya mash sejuk nyaman keramaian kota polusi,cocok camp tempat mash sejuk nyaman ramai kota polusi,Tanjung Laut,Jambi
Foto danau tangkap,foto danau tangkap,foto danau tangkap,Tanjung Laut,Jambi
bagus sklai..sejuk..sunyi..ap lg bersama kluarga,bagus sklai sejuk sunyi keluarga,bagus sklai sejuk sunyi keluarga,Tanjung Laut,Jambi
Tempatnya bersih dan asri...cuman jalan menuju kelolasi masih banyak yg rusak...,tempatnya bersih asri cuman jalan kelolasi rusak,tempat bersih asri cuman jalan kelolasi rusak,Tanjung Laut,Jambi
Tempat Rekreasi yg bagus buat anak muda Jambi. Bisa Camping bersama teman dan keluarga. Saran saya kalo ke sini pas musim banjir agar danau nya kelihatan cantik.,rekreasi bagus anak muda jambi camping teman keluarga saran kalo pas musim banjir danau cantik,rekreasi bagus anak muda jambi camping teman keluarga saran kalo pas musim banjir danau cantik,Tanjung Laut,Jambi
"Tempat wisatanya lumayan bagus , dengan biaya masuk 28k, sewa tenda 50k. Akan tetapi agak kurang terawat untuk fasilitas MCK sudah agak rusak tapi airnya Banyak untuk mushola juga tersedia akan tetapi ada beberapa bagian yang rusak untuk danaunya menurut saya kurang bersih karena banyak sampah bertaburan Saran saya sebaiknya pengelola segera mengatasi masalah ini agar Danau tangkas bisa menjadi tempat wisata yang lebih menarik lagi terima kasih",wisatanya lumayan bagus biaya kak sewa tenda kak terawat fasilitas mck rusak airnya mushola tersedia rusak danaunya bersih sampah bertaburan saran pengelola mengatasi danau tangkas wisata menarik terima kasih,wisata lumayan bagus biaya kak sewa tenda kak awat fasilitas mck rusak air mushola sedia rusak danau bersih sampah tabur saran kelola atas danau tangkas wisata tarik terima kasih,Tanjung Laut,Jambi
"Pas kesini pas airnya surut, akses kesini juga masih jelek jalanannya, semoga kedepannya bagus",pas kesini pas airnya surut akses kesini jelek jalanannya semoga kedepannya bagus,pas kesini pas air surut akses kesini jelek jalan moga depan bagus,Tanjung Laut,Jambi
"Akses jalan ke danau lumayan bagus, hanya beberpa kilo saja jalan yg hancur.. smpai lokasi cukup menarik, menyebrang dulu gunakan boat,byk gajebo2 nya jg, cocok bawa keluarga makan2,krna dilokasi byk pohon, jdi area pulau teduh.. kalo mau ksni saran saya akhir2 tahun saat musim hujan, jd air sedang tinggi.",akses jalan danau lumayan bagus beberpa kilo jalan hancur lokasi menarik menyebrang boat gajebo cocok bawa keluarga makan dilokasi pohon area pulau teduh kalo kesini saran tahun musim hujan air tinggi,akses jalan danau lumayan bagus beberpa kilo jalan hancur lokasi tarik menyebrang boat gajebo cocok bawa keluarga makan lokasi pohon area pulau teduh kalo kesini saran tahun musim hujan air tinggi,Tanjung Laut,Jambi
"Bagus tempat ini, danau dan wisata air. Jauh dari riuh kendaraan. Nuansa alam bisa jg ngecamp disini dan menelusuri sekeliling danau menggunakan sampan kecil.",bagus danau wisata air riuh kendaraan nuansa alam ngecamp menelusuri sekeliling danau sampan,bagus danau wisata air riuh kendara nuansa alam ngecamp telusur keliling danau sampan,Tanjung Laut,Jambi
fasilitas lumayan lengkap. petunjuk arahnya yg kurang. jalannya jga perbaiki,fasilitas lumayan lengkap petunjuk arahnya jalannya perbaiki,fasilitas lumayan lengkap tunjuk arah jalan baik,Tanjung Laut,Jambi
Kurang menarik,menarik,tarik,Tanjung Laut,Jambi
Good place,good place,good place,Tanjung Laut,Jambi
Bagus banget tempatnya..t,bagus banget tempatnya,bagus banget tempat,Tanjung Laut,Jambi
"Tempatnya cantik, ada pondok2, musola, rumah pohon. Untuk wisatanya ada bebek2an dg sampan kecil. Tapi akses menuju tempatnya masih kurang, google maps nya perlu di update.",tempatnya cantik pondok musola rumah pohon wisatanya bebek an sampan akses tempatnya update,tempat cantik pondok musola rumah pohon wisata bebek an sampan akses tempat update,Tanjung Laut,Jambi
Lokasi di desa Tanjung lanjut kec.Sekernan kab.Muaro jambi,lokasi desa tanjung kec sekernan kab muaro jambi,lokasi desa tanjung kec sekernan kab muaro jambi,Tanjung Laut,Jambi
"Tempanya bersih, paling bagus kalau air lagi naik, berasa kayak ditengah laut",tempanya bersih bagus air berasa kayak ditengah laut,tempa bersih bagus air asa kayak tengah laut,Tanjung Laut,Jambi
"Tiket masuk terbaru 16.000 per orang, home stay besar 500 permalam, bagus untuk camping dan wisata keluarga, minus nya jalan menuju lokasi masih bnyak yg rusak tapi tetap bisa di lewati., saran, buat tiket bisa di permurah karna dana pemelihraan berasal dari negara juga.",tiket terbaru home stay permalam bagus camping wisata keluarga minus jalan lokasi rusak lewati saran tiket permurah dana pemelihraan berasal negara,tiket baru home stay malam bagus camping wisata keluarga minus jalan lokasi rusak lewat saran tiket murah dana pemelihraan asal negara,Tanjung Laut,Jambi
"Seru bgt bisa camping dsni. Tiket masuk 30rb/org, tenda 50rb, hammock 25rb, pendopo 80rb, homestay 300rb, main bebek 40rb, perahu 50rb. Kamar mandi bersih, ada musholla nya, air bersih, petugasnya standby terus cek air lampu. Pelayanannya oke, beli jajan di toko dsni jg gk mahal👍",seru banget camping tiket ribu tenda ribu hammock ribu pendopo ribu homestay ribu main bebek ribu perahu ribu kamar mandi bersih musholla air bersih petugasnya standby cek air lampu pelayanannya oke beli jajan toko mahal,seru banget camping tiket ribu tenda ribu hammock ribu pendopo ribu homestay ribu main bebek ribu perahu ribu kamar mandi bersih musholla air bersih tugas standby cek air lampu layan oke beli jajan toko mahal,Tanjung Laut,Jambi
Senang buat mengenang masa kecil lagi wkwkw,senang mengenang wkwkw,senang kenang wkwkw,Tanjung Laut,Jambi
"Kalau emmg ada biaya untuk masuk lokasi wisata, harusnya di pasang papan info Harga, biar ga terkesan kaya pungli, dan yg diminta uangnya Hanya Regu saya saja... Lumayan Jg 20K x 6orang, + tempatnya jg ga keurus!",emmg biaya lokasi wisata pasang papan info harga biar terkesan kayak pungli uangnya regu lumayan kak tempatnya keurus,emmg biaya lokasi wisata pasang papan info harga biar kes kayak pungli uang regu lumayan kak tempat urus,Tanjung Laut,Jambi
