review_text,rating,author,date,nama desa wisata,provinsi
"Taman rekreasi alam, khususnya tempat mudah untuk bermain dengan bodat 😁",5,Budy Zaroe,2026-03-14T09:11:10.105Z,Buluh Cina,Riau
"Seru, tempat nya dingin adem layak bgt utk pat gajah yg kluarga cemara 🥰❤",5,Puspa Larasati,2026-02-01T11:40:58.468Z,Buluh Cina,Riau
Seru,5,Winni Meysi,2026-01-31T01:43:33.576Z,Buluh Cina,Riau
Disini bisa terbangin drone gak... soal nya ada beberapa tempat wisata harus ijin dan berbayar,5,masceltra ginting,2026-01-29T06:03:58.502Z,Buluh Cina,Riau
"MasyaAllaah banget akhirnya bisa ketemu dedek Dondut 😭 Foto bareng Papa Robin dan cium Mama Tini. Makasih bapak-bapak Mahout yg udah menjaga, merawat, menyayangi mereka 🖤",5,Ade Tawalapi,2026-01-18T12:31:54.190Z,Buluh Cina,Riau
"Taman wisata alam buluhcina, sekitar 30 min dari pku. Nyebrang sungai kampar lewat jembatan gantung duo suku, hanya utk motor aj. Tiket masuk ke taman wisata ny 15rb/per orang di hari libur, hari biasa 10rb/per orang. Anak2 gratis. Bisa lihat/naik gajah jika datang pagi atau sore. Bisa naik sampan kecil dan healing sejenak. Cocok untuk keluarga dan camping.",4,mohammed mozid,2026-01-11T08:13:34.651Z,Buluh Cina,Riau
"Seruuuuu, asri, bersih, adem, suasana nya damai, cocok buat famghat, tapi saran datangnya rada pagi/ sorean biar ketemu gajah",5,MUHAMMAD FEBRIANSYAH,2025-12-18T03:53:23.083Z,Buluh Cina,Riau
JANGAN TUNGGANGI GAJAH. JANGAN TOLONG,5,Titi Pratiwi,2025-12-02T14:22:59.028Z,Buluh Cina,Riau
Kopi nya mantap,5,Herdi Yanto,2025-12-01T10:07:04.785Z,Buluh Cina,Riau
"Kos Putri Kenari Samping UNRI, Dekat STIFAR, Dekat PANAM",5,Radja Haloho,2025-11-29T13:41:00.729Z,Buluh Cina,Riau
"Gajah nya gak ada terus juga orang pengen mencari ketenangan malah ada preman² gajelas teriak² nyari sensasi,gak recomend bgt",1,Giwa Adelia,2025-11-24T07:30:50.748Z,Buluh Cina,Riau
Akhirnya jumpa dona si anak manis.,5,Ade Febriandi,2025-10-21T13:03:27.327Z,Buluh Cina,Riau
"Weekend non mahasiswa fee enterance cuma 10k, parkir 2k, oleh oleh buat gajahnya semangka. Cuma 40 menit perjalanan dr pekanbaru. Bagusnya pakai motor, biar bisa lewat jembatannya. Kalo pakai mobil, jalan kakinya lumayan. Tp pakai motor rawan kena hujan, di pku hangek bedengkang, dijalan kena hujan🤣",5,Zahratul Aini,2025-10-18T09:46:49.806Z,Buluh Cina,Riau
"Cocok buat kita yg dipku mau wisata alam sambil lihat si Dona yg lagi gemes gemes ny, jarak gak jauh dr pku kurang dr 1 jam",5,Khairani Ahmad,2025-09-15T06:10:17.325Z,Buluh Cina,Riau
The best a view,5,Fadhil Adha,2025-09-07T14:16:17.733Z,Buluh Cina,Riau
Mayan adem liat gajah soree soreee,5,Sasqia Yulita,2025-08-12T14:00:43.069Z,Buluh Cina,Riau
"Pengalaman luar biasa
Ketika scoll IG
Lihat video
Langsung cuss berangkat jam 2 siang dari Siak
Dan berbekal google maps
Berangkat dan sedikit bertanya dengan masyarakat di sana
Dan masyarakat nya pun sangat ramah
Mau menunjukkan sampai ke lokasi bahkan
Masya Allah tabarakallah
Dan akhirnya kami bertemu maskotnya
Gajah dona",5,Rangga Saputra,2025-08-07T09:02:20.926Z,Buluh Cina,Riau
"Gajah nya gak suka pisang, lebih suka tebu semangka dan jambu air.
Tiket 15rb dihari weekend utk dewasa, anak2 free",5,Winda Gunawan,2025-08-03T08:39:37.067Z,Buluh Cina,Riau
"Jalan menuju ketempat ini harus lewat kendaraan roda 2 karena terletak diseberang sungai. Jika anda naik mobil bisa diparkir disekitaran keluaraham, lalu kemudian naik ojek motor..jangan kawatir..penduduk ramah ramah...semua bahu membahu menolong kita. Saya kagum pada keramahan mereka. Semoga maju pariwisatanya.....",4,pasca tl,2025-07-27T14:35:23.698Z,Buluh Cina,Riau
Tempat yang bagus untuk mengenal hutan dan melihat  gajah dari dekat...,5,Shogi Kelana,2025-07-27T06:47:39.356Z,Buluh Cina,Riau
Mungkin butuh perawatan agar lebih rspi,5,Wawan Ilham,2025-07-21T04:56:25.128Z,Buluh Cina,Riau
Kurang menyenangkan....,4,Pardiyono Diyon,2025-07-20T11:03:59.069Z,Buluh Cina,Riau
Bisa bermain dengan gajah dona🥰,5,Cleo Vasquez,2025-07-17T17:20:33.049Z,Buluh Cina,Riau
"Asri guys, bisa lihat gajah dan ada kolam. Aga banyak nyamuk aja sih selebihnya oke",5,Muhammad Sobirin,2025-07-12T10:47:28.867Z,Buluh Cina,Riau
"Tiket masuknya Rp 10.000, fasilitasnya ada toilet, musallah, tempat² duduk disekitar danau, sampan untuk bersantai di danau, dan kadang tersedia sound sistem buat yg ingin karoke (khusus weekend). Tempatnya asri, rindang, dan masih terjaga alam nya. Terdapat 3 ekor gajah, 1 ekor induk betina (ngatini), 1 ekor induk jantan (Robin) dan 1 ekor anak gajah (Dona). Tempat parkir tersedia dan berbayar (Rp 2 rb)",5,puja ardila,2025-07-09T01:15:21.573Z,Buluh Cina,Riau
"Lumayan...harga 10000 ga murah,juga ga mahal.
Untuk keluarga bisa acara2,bisa lihat gajah 3 ekor",4,dausyoung jaq,2025-07-01T13:57:02.734Z,Buluh Cina,Riau
"Sebenarnya sangat amat bahagia datang kesini, mungkin sekedar saran tolong jauhkan speaker dari area itu, asli ganggu kali. Jedag jedug, dangdut, dll, niatnya mau dengar suara alam, malah denger musik musik kaya gini. Semoga bisa jadi pertimbangan untuk tim pengelola",5,Dwi Ramadhani,2025-06-23T04:56:59.950Z,Buluh Cina,Riau
Bapak/Ibu.. Gajah bukan kendaraan. Badan memang besar tapi struktur tulang tidak didesain untuk ditunggangi. Jangka panjang akan menyederai bahkan menyebabkan kecacatan pada gajah. Normalisasi untuk hanya melihat hewan liar dari jauh yak. Semoga pengelola bisa mempertimbangkan 🤗,4,Filmia Utami,2025-06-21T15:51:56.394Z,Buluh Cina,Riau
dona dan ngatini,5,Yuli hamdalah,2025-06-12T02:47:08.332Z,Buluh Cina,Riau
Bisa juga mancing,5,Dono Pekanbaru,2025-06-08T05:16:01.753Z,Buluh Cina,Riau
Kurang terawat,3,Purbo Ariwibowo,2025-05-15T08:57:52.537Z,Buluh Cina,Riau
"seru banget, tempatnya adem ada gajah lucuuuu",5,Putry gam,2025-05-13T05:59:41.927Z,Buluh Cina,Riau
