review_text,rating,author,date,nama desa wisata,provinsi
Indah,5,HADI SUCIPTO SINAGA,2026-04-05T12:35:12.219Z,Danau Emtofe,Papua
"Dari danau emfote  kita bisa liat pulau-pulau kecil di kejauhan. Vika bilang pengen naik perahu ke sana, tapi keburu sore. Next time pasti kita coba! * * * RAJAWIN * * * dan google rajawin""",5,billy syahputra,2026-03-18T15:53:16.835Z,Danau Emtofe,Papua
Whislist habis lebaran,5,Abdillah M Gufron,2026-03-14T19:20:30.755Z,Danau Emtofe,Papua
"Saya pernah bikin prunas di daerah sentani sana, indah banget di sana...",5,Nureen Abidin,2026-03-08T21:15:14.065Z,Danau Emtofe,Papua
"Danau emfote (love). Masih di kws jayapura hanya medannya agak terjal ditempuh dengan kenderaan roda 2 atau roda 4 (FWD). Pemandangan menakjubkan, situasi sepi.",5,Iyan Ardiyan,2026-01-01T01:32:10.705Z,Danau Emtofe,Papua
Papua memang keren,2,Ugik scooter,2025-10-02T12:18:14.810Z,Danau Emtofe,Papua
Danau untuk merasakan keheningan alam yang diliputi banyak cinta,5,Adit Taufik,2025-05-11T06:27:21.163Z,Danau Emtofe,Papua
"Perjalannya kereenn, view nya kerennn, danau nya juga keren. Cuma sayang tidak di kembangkan.",5,Obet SW,2025-04-06T12:43:01.029Z,Danau Emtofe,Papua
Beautiful scenery but the road not really good,4,Fitri Mks,2024-12-03T07:59:45.843Z,Danau Emtofe,Papua
Perjalanan kurang lebih 2jam dari kota jayapura. Tempatnya cukup panas tapi karna memang savanah so it was ok. Perjalanan ke sana sangat ok semuanya sudah mulus.,5,sakiah sirajuddin,2024-08-29T21:44:36.395Z,Danau Emtofe,Papua
Toko Sekolah Kedinasan Penerbangan Tigi Timur Deiyai Papua,5,Amandus Doo,2024-07-20T02:52:41.240Z,Danau Emtofe,Papua
"Danau Emfote atau lebih dikenal dengan sebutan Danau Love, merupakan danau yang berada di atas datarang tinggi.
Danau ini sempat ramai di kunjungi pada masanya. Namun sekarang sudah sepih pengunjung, namun keindahannya tidak rusak atau berubah lekang oleh waktu.
Akses ke lokasi sekitar 2 jam perjalanan dari kota jayapura. Oia diatas bukit ini tidak ada penjual makanan atau minuman ya, jadi bawa persiapan bekal yang banyak😅",5,umar gattang,2024-07-08T08:00:42.609Z,Danau Emtofe,Papua
Bagus,5,Echa Novell,2024-06-28T14:28:28.209Z,Danau Emtofe,Papua
"Lokasi di Atabar, Distrik Ebungfa, Kabupaten Jayapura, Papua

MARI JAGA KEBERSIHAN DAN KEASRIAN KAWASAN &
TOLONG JANGAN BUANG SAMPAH SEMBARANGAN",5,Edwin Adrian,2024-05-18T18:11:14.369Z,Danau Emtofe,Papua
Akses jelek,1,abdullah ingga Pranata,2024-02-08T01:52:43.315Z,Danau Emtofe,Papua
My home village,5,Rady Monim,2023-10-26T04:14:39.164Z,Danau Emtofe,Papua
Sangat indah,5,Dwi Dabo,2023-08-27T14:05:18.685Z,Danau Emtofe,Papua
Menikmati Sunset yg bgt indah bersama orng tersayanh..,4,Elmi Talakua,2023-07-25T12:21:31.217Z,Danau Emtofe,Papua
Lokasinya wisatanya sangat jauh namun terbayar dengan keindahannya,4,Nova,2023-07-23T14:22:33.410Z,Danau Emtofe,Papua
Sangat indah,4,Pallo arju,2023-07-17T22:33:03.668Z,Danau Emtofe,Papua
pemandangan yang ada kurang sebanding dengan effort menuju ke lokasi (ada beberapa spot jalan menuju lokasi yang rusak parah),2,Ramadhan Noor Islamy,2023-07-15T12:26:21.170Z,Danau Emtofe,Papua
keren,4,M.Naufal Fakhri,2023-02-13T03:27:48.775Z,Danau Emtofe,Papua
"Nice view, quite place, facinating and magical",5,Hendra Paul,2023-01-05T22:07:07.347Z,Danau Emtofe,Papua
Love,5,Hilya Galeri,2022-10-12T21:30:48.328Z,Danau Emtofe,Papua
Ada penghuninya  buaya putih 🦭🦭🦭🦭🦭🦭🦭🦭,4,Paulus kabey Paul,2022-10-07T23:44:28.480Z,Danau Emtofe,Papua
"Pernah nyasar sampai kesini, tapi bagus sekali disini",5,Sakidul Muksan,2022-09-06T15:21:56.031Z,Danau Emtofe,Papua
"Surga tersembunyi yang indah. Dilalui dgn  jalan yg sempit & berkelok. Sejauh mata memandang terhampar pemandangan yg indah dgn padang savana yg luas dilengkapi dgn 'danau 💗"" & danau Sentani yg menawan & romantis.
💗 Papua..",5,agung sofyan,2022-06-07T09:43:02.872Z,Danau Emtofe,Papua
"Perjalanan sekitar 3.5 jam dari kota Jayapura. Jalan yang dilalui setelah dekat lokasi, melewati area perumahan penduduk, dan setelah memasuki gerbang penjagaan Danau Imfote (nama asli Danau Love) jalannya berupa tanah, jadi ya pastinya licin sangat dikala hujan.

Tulisannya tiket masuk mobil 50ribu, motor 20ribu. Tapi pas kami datang tidak ada yang jaga. Tempatnya sepiiiii and so peaceful... cocok untuk ngobrol2 relax dengan teman dan keluarga.

Semua perlengkapan wajib bawa sendiri yaa, karena di sini tidak ada yang berjualan makanan/minuman/benda apapun, dan juga tidak ada toilet umum.",5,Jfransisca,2022-05-02T17:13:27.033Z,Danau Emtofe,Papua
Tuhan menyertai kami dgn berkat-berkatNya,5,Jerry Rafel Monim,2022-04-17T03:52:39.963Z,Danau Emtofe,Papua
"Keren, perjalanan asyik kalau naik motor",5,Roni Taner,2022-03-07T04:57:44.080Z,Danau Emtofe,Papua
"Dari atas sebenarnya tidak berbentuk love ❤️ tapi jika foto dari samping dengan angle yang tepat, danaunya seperti berbentuk love. Tempatnya masih alami dan tidak ada toilet 😅",3,--,2022-01-22T14:44:14.554Z,Danau Emtofe,Papua
ada pintu yang kosong kah,5,Everd Edy,2021-12-24T03:52:53.903Z,Danau Emtofe,Papua
Late review (berkunjung di tahun 2017). Sengaja kesini menjelang sore. Perjalanan lumayan jauh dan melewati pedalaman yang sepi. Kami masuk ke kawasan tapi ga ada yang jaga di pos masuk. Tiba di lokasi hanya ada 2 kendaraan pengunjung itu pun ga lama mereka udah kembali. Jadilah grup kami sendiri yang kuasain area ini. Bisa ngambil gambar sepuasnya. Semoga kedepannya bisa dikelola dengan baik dan banyak yang bisa berkunjung.,5,Muhammad Idrus,2021-11-30T10:30:54.962Z,Danau Emtofe,Papua
Melayani PON dari kontingen Jakarta,5,Madan Cuu,2021-10-28T05:16:31.836Z,Danau Emtofe,Papua
Keren,5,Sanusi uye,2021-03-09T10:29:18.472Z,Danau Emtofe,Papua
The Scenery is wow,5,Stephen Ruhupatty,2021-02-09T22:54:18.248Z,Danau Emtofe,Papua
Danaunya unik berbentuk love dengan padang rumput hijau,4,cresen sia,2021-01-20T01:44:46.787Z,Danau Emtofe,Papua
👍⭐⭐⭐⭐⭐🎉,5,Namaku Ihsan fajriyanto,2021-01-14T14:03:35.476Z,Danau Emtofe,Papua
Papua,5,Dinan Dibax,2021-01-11T03:50:33.470Z,Danau Emtofe,Papua
"Danaunya indah banget, 🥰 dikelilingi bukit savana, ada beberapa jalan dan  jembatan yang agak rusak tapi its ok😊 bisa terbayar dengan keindahannya.",4,Bety Lestari,2021-01-10T01:07:33.886Z,Danau Emtofe,Papua
"Tempatnya bagus enak buat santai, tapi perjalanan cukup jauh dengan rute yang menelusuri hutan",4,Morning-na Hunter,2020-11-24T22:02:40.107Z,Danau Emtofe,Papua
"Pemandangan menakjubkan ditengah kota jayapura
Tempatnya begitu tenang, asri, jauh dari keramaian kota, cocok untuk mencari ketenagan dan merilekskan badan. Saat disini rasa lelah, capek dan beban semua hilang. Yang ada hanya kagum akan keindahan danau yg biru yang dikelilingi hijaunya rumput dan pepohonan. Destinasi wajib kalau anda ke papua...

Amazing view in the middle of jayapura
It's so quiet, nice, far from the city hustle, it's good to relax and relax. It's all gone from here. All that remained was admiration for the beautiful blue lake surrounded by green grass and trees. Mandatory destination on your trip to Papua",5,Mulyo adi,2020-11-06T07:06:39.266Z,Danau Emtofe,Papua
Amazing ❤️,5,Yuni Reskiana Andi Amir,2020-10-24T12:15:42.317Z,Danau Emtofe,Papua
Jln kurang bagus msih byk yg jelek,1,Mohamad Khoderi,2020-10-05T01:34:06.073Z,Danau Emtofe,Papua
Danau imfote adalah surganya danau yg ada di papua,5,Hermank Psbonek86,2020-06-14T13:41:35.723Z,Danau Emtofe,Papua
"Tempat bagus apalagi klo pas siang langit biru bagus buat foto
Cuma sayang akses jalan menuju lokasi ada bbrp yg rusak dan tidak di perbaiki,kalau akses jalan SDH dperbaiki mgkn bisa bertambah kunjungan org ke danau love/telaga emfote",4,Rental Mobil Jayapura,2020-03-25T01:25:44.666Z,Danau Emtofe,Papua
"Ya keren tempatny,  sekaliny saya datang k papua lsg bisa lihat danu emfote",5,rina country,2020-03-05T07:49:45.545Z,Danau Emtofe,Papua
