review_text,rating,author,date,nama desa wisata,provinsi
"Tempatnya sangat majestic! Warnanya sangat jernih dan bening. Paling oke kalau pakai drone atau underwater. Sewa di tempat per baterai, pakai paddle board atau boatnya biar keren.",5,Deliana Deliana,2026-05-01T11:53:05.448Z,Danau Paisu,Sulawesi Tengah
"Amazing..
Keindahan dan kesegaran air Danau Paisu Pok, laksana potongan kolam surga yang jatuh ke bumi..

Destinasi wisata yang wajib kalian kunjungi..",5,muhammad busthomi,2026-04-29T08:17:12.220Z,Danau Paisu,Sulawesi Tengah
"Sehr schöner Ort! Glasklares Wasser. (Noch) nicht vom Tourismus überlaufen, nicht vermüllt - bitte erhaltet diese Naturperle so!

Man kann Getränke und Snacks vor Ort kaufen.",5,Michael,2026-04-28T01:39:03.207Z,Danau Paisu,Sulawesi Tengah
Still beautiful and well worth a visit. It really is crystal clear and so clean! Cold but refreshing to swim in. We came around midday on Sunday and it wasn’t too busy there was plenty of space. You can rent boats for a reasonable price and entry is also a fair price.,5,Joy Carlin,2026-04-27T05:53:03.409Z,Danau Paisu,Sulawesi Tengah
keren pokoknya,5,Dio Alif,2026-04-17T22:16:57.456Z,Danau Paisu,Sulawesi Tengah
"Las fotos y los vídeos no hacen justicia a lo que se siente en este espectacular lugar, uno de mis sitios favoritos en el mundo. He venido por segunda vez y creo que tendré que venir cada año.
Se encuentra en la pequeña aldea de Lukpanenteng, lo mejor de todo casi nunca hay nadie ni turistas de fuera.",5,Armando P,2026-04-16T07:19:36.029Z,Danau Paisu,Sulawesi Tengah
Will definitely come back again. Ohhh the lake so clear and clean,5,Elvy Citro,2026-04-15T03:59:02.195Z,Danau Paisu,Sulawesi Tengah
Top,5,noven manantuada,2026-04-11T11:02:40.633Z,Danau Paisu,Sulawesi Tengah
Indahnya nature banget,5,ANZARA Transindo,2026-04-08T14:15:06.940Z,Danau Paisu,Sulawesi Tengah
Pingin balik lagi,5,Fikry Kaidah,2026-04-07T09:23:56.478Z,Danau Paisu,Sulawesi Tengah
Majhna oaza lepote vendar prevec ljudi na tako majhnem prostoru. Priporocam obisk,5,janko kolmanko,2026-04-05T12:41:33.662Z,Danau Paisu,Sulawesi Tengah
Amazing place!,5,Armantas Kaveckas,2026-03-29T08:54:29.039Z,Danau Paisu,Sulawesi Tengah
Amazing...,5,Gustiani Hong,2026-03-25T08:23:34.874Z,Danau Paisu,Sulawesi Tengah
Beautiful place to visit,5,Martina Vajdová,2026-03-12T11:33:30.935Z,Danau Paisu,Sulawesi Tengah
"Heavenly place on earth - thanks to Boutros and his engaged team: What once was a trash dump site for locals has been restored to its divine origin. Now the government wants to claim (confiscate) whats not theirs - we would like to contribute to prevent this new form of tourism colonialism, so what's preserved by locals also stays in their favour, so they benefit from it. If you visit please honor what's been done here and don't exploit for personal interest - thank you for respecting the nature and love that's been invested to Danau Paisu Pok!",5,Jens K. Gloor,2026-03-10T02:28:59.114Z,Danau Paisu,Sulawesi Tengah
So beautiful,5,Seprimon Batekon,2026-03-03T05:22:48.517Z,Danau Paisu,Sulawesi Tengah
I have visited this place twice and I have no regrets. the most incredible place i've ever seen in my entire life,5,Rita Sudarwin,2026-02-24T23:28:03.828Z,Danau Paisu,Sulawesi Tengah
