review_text,rating,author,date,nama desa wisata,provinsi
"Tempatnya terkelola dengan bagus, makanannya enak dan murah. Cocok buat tempat nongkrong di sore hari apalagi orang yang suka sunset spot terbaik untuk lihat sunset. Orang - orangnya juga ramah dan baik.",5,Mii Mine,2026-03-29T05:42:12.441Z,Desa Wisata Budo,Sulawesi Utara
Good place for relaxing and enjoing sea vibes,5,Raldhy Petra,2026-03-28T23:29:52.223Z,Desa Wisata Budo,Sulawesi Utara
Apa di sini selain bili makanan yg di jual boleh mo bawah makanan dari luar.? 🙏🏻,5,Revangga Nalang,2026-03-25T08:07:42.203Z,Desa Wisata Budo,Sulawesi Utara
For taking sunset photos,5,Debora Assa,2026-02-14T11:21:37.720Z,Desa Wisata Budo,Sulawesi Utara
Bgs,5,Mr Armenia,2025-12-04T06:50:29.914Z,Desa Wisata Budo,Sulawesi Utara
desa begitu indah untuk di kunjungi dan lihat keindahannya yang begitu luar biasa.,5,Jenika Metusala,2025-09-30T11:51:12.871Z,Desa Wisata Budo,Sulawesi Utara
Ngoni yakin mau melewatkan sunset seindah ini?,5,Surya Wicaksana (surgum),2025-09-28T13:48:21.966Z,Desa Wisata Budo,Sulawesi Utara
"Desa wisata yg beneran wisata.... Semoga selalu terjaga nilai2 wisatanya.

Masukan : utk parkir agar disediakan informasi yg lebih jelas: lokasi dan tarif",5,himawan d' mbambesh,2025-09-27T14:02:15.432Z,Desa Wisata Budo,Sulawesi Utara
🤩🤩,5,Sarah Matoneng,2025-09-22T06:01:25.750Z,Desa Wisata Budo,Sulawesi Utara
Tempat yg bagus bersantai bareng keluarga,5,paul siwy,2025-08-18T00:07:28.515Z,Desa Wisata Budo,Sulawesi Utara
"Beautiful sunset views, and friendly prices 👍",5,rifan kakomboti,2025-07-31T13:06:37.817Z,Desa Wisata Budo,Sulawesi Utara
"Bagus tempatnya, dan juga trjangkau harga kamarnya untuk menginap.",3,N A D 112,2025-07-27T08:19:47.232Z,Desa Wisata Budo,Sulawesi Utara
Kopinya Enak,5,Angelidia 17,2025-07-13T02:00:14.601Z,Desa Wisata Budo,Sulawesi Utara
"Tempat yg cocok untuk penikmat senja, tiket masuk 10K per orang. Tersedia aneka makanan dan Minuman.",5,Yussa Rochman,2025-06-08T13:53:08.740Z,Desa Wisata Budo,Sulawesi Utara
"vibes di sana pas di jembatan kayak di villa"" pokoknya baguss i like it👍🏻",4,Iman L,2025-05-27T17:28:49.267Z,Desa Wisata Budo,Sulawesi Utara
Beatifull...,5,Gladdy Tuwo,2025-04-07T09:48:11.712Z,Desa Wisata Budo,Sulawesi Utara
Tempat yang menarik. Tiket masuk murah,5,Frisky Tandaju,2025-04-03T00:39:04.657Z,Desa Wisata Budo,Sulawesi Utara
Best,5,Preter Preter (UG),2025-04-02T03:34:39.363Z,Desa Wisata Budo,Sulawesi Utara
tempatnya bagus cuma nunggu makannya hampir sejam,3,credo Jhoselino,2025-01-12T10:41:21.319Z,Desa Wisata Budo,Sulawesi Utara
"Suasanya lumayan untuk sekedar nyari suasana pantai, jalan masuknya hanya cukup 1 mobil. Untuk rating tempat wisata yg dikelola desa termasuk sdh cukup lumayan dan kelihatan dikelola dengan baik",5,Hiero_81,2025-01-01T11:12:49.773Z,Desa Wisata Budo,Sulawesi Utara
Mantap,5,Anderson Pudapa,2024-11-26T09:04:14.370Z,Desa Wisata Budo,Sulawesi Utara
Bagus,5,Fredrik Siahaya,2024-11-21T04:36:32.428Z,Desa Wisata Budo,Sulawesi Utara
"Tempatnya bagus, nyaman,makanannya jga enak. Akan tetapi masih perlu di tingkatkan lg fasilitasnya biar lebih maju lg dan menjadi objek wisata populer.",5,J J,2024-11-12T12:38:56.513Z,Desa Wisata Budo,Sulawesi Utara
Harga langit makanan nda ena. Kopi rasa Aer cma,1,Dimas Euaggelion,2024-11-02T11:13:39.812Z,Desa Wisata Budo,Sulawesi Utara
