review_text,rating,author,date,nama desa wisata,provinsi
Супер снорклинг,5,Юлия Федорцова,2026-04-21T14:42:10.870Z,Desa Wisata Olele,Gorontalo
Sangat indah,5,Widyastuti Anjani,2026-04-20T09:47:19.985Z,Desa Wisata Olele,Gorontalo
"Des fonds extraordinaires, très peu fréquenté, accès facile pour snorkling.",5,philippe di spigno,2026-03-12T12:29:00.289Z,Desa Wisata Olele,Gorontalo
View bagus..lautan luas sekalii.. untuk snorkeling kurang luas coverage areanya..tapi lumayan kalau sekalian ke whale shark botubarani,5,diajeng wiji,2026-01-03T12:06:36.904Z,Desa Wisata Olele,Gorontalo
"Baguuuuuuus banget terumbu karangnya. Banyak ikan warna warni jg. Lokasi snorkeling di pinggir pantai. Bisa saja kalau tidak sewa perahu. Tapi lebih baik jika sewa perahu karena sepaket dengan pemandu dan dokumentasi foto video bawah laut. Harga paket 600 ribu untuk max 10 orang.
Ada 2 spot. Spot pertama di pinggir pantai. Bisa foto dengan anemon+ikan nemo/ clown fish dan foto dengan terumbu karang+banyak ikan. Spot kedua perjalanan kapal sekitar 5 menit. Bisa foto di tepi palung. Di spot ini jg bisa melihat karang salvador dali, tapi harus menyelam/diving. Hati2 kalau snorkeling di spot ini karena banyak karang api yg bisa membuat kulit luka kalau tersentuh, jadi lebih baik berenang di tempat yg agak dalam.
Amat sangat recommended buat dikunjungi. Nice. Bisa menghubungi nomer yg tercantum untuk reservasi.",5,Risang Galih Bhaktiaji,2025-12-20T16:22:18.733Z,Desa Wisata Olele,Gorontalo
"Buat yang suka diving, tempat ini bisa menjadi salah satu rekomendasi selama di Gorontalo",5,Fahmi Amin,2025-12-14T00:55:21.005Z,Desa Wisata Olele,Gorontalo
Laut dan biotanya luar biasa. Cuma masih ada sedikit sampah.,5,Faris A.W,2025-12-09T04:23:27.385Z,Desa Wisata Olele,Gorontalo
Snorklingnya dekat dari bibir pantai,5,uchwatul faizah,2025-11-05T10:52:46.855Z,Desa Wisata Olele,Gorontalo
benar benar tempat terbaik untuk snorkeling dan bersenang senang bersama dengan teman kamu.,5,Pantouw Mantiri,2025-10-01T06:08:05.836Z,Desa Wisata Olele,Gorontalo
"Wir sind von hier gestartet, um per Boot zu einem schönen Steilwand Tauchgang gebracht zu werden.

Alles sehr einfach, aber die Leute vor Ort sind sehr freundlich und hilfsbereit.

Abseits der Touristenmassen.",4,Olaf Manthey,2025-08-24T07:17:17.947Z,Desa Wisata Olele,Gorontalo
Taman laut yg indah,5,Ramlah 649,2025-08-24T06:32:20.890Z,Desa Wisata Olele,Gorontalo
"Tempat yang nyaman untuk snorkeling, tidak jauh dari daratan. Terumbu karang dengan banyak variasi ikan. Nyaman dan aman untuk yang tidak bisa berenang",5,Made Hendra,2025-08-20T10:04:41.290Z,Desa Wisata Olele,Gorontalo
"Perjalanan darat sekitar 1 jam dari pusat kota Gorontalo dengan mobil sewa (tidak ada transportasi umum langsung dari Gorontalo yang menuju pantai Olele). Tiba di Olele bisa minta untuk snorkeling ke salah satu provider di pantai. 500ribu sudah ditemani pemandu dengan dokumentasi foto dan video. Terumbu karangnya sangat bagus, bervariasi dan terawat",5,agtifa primadani,2025-06-09T02:16:43.185Z,Desa Wisata Olele,Gorontalo
"Tempat ini mudah dijangkau, wisata bawah laut,",5,Idris Nauko (Abu Idi),2025-04-22T10:51:14.939Z,Desa Wisata Olele,Gorontalo
A beautiful snorkeling (and diving) site! There are so many beautiful and cute fish swimming above corals. You can rent gopro to take picture underwater. The service is satisfying!,5,Richelle Marvela,2025-03-29T22:53:03.312Z,Desa Wisata Olele,Gorontalo
"Mantap, dijaga kelestarian terumbu karangnya",5,Varian Saputra,2025-02-24T12:20:03.827Z,Desa Wisata Olele,Gorontalo
Mohon infonya kontak mau snorkeling bisa menghubungi siapa 🙏,5,fonly poppy,2024-12-03T06:39:56.063Z,Desa Wisata Olele,Gorontalo
Ga banyak orang yang tau bahwa disinilah tempat snorkeling terbaik di Gorontalo. Ikannya banyak warna warni. Warga sangat ramah dengan pendatang luar. ✨✨👍,5,Fajar Agung Suprapto,2024-11-27T04:35:27.793Z,Desa Wisata Olele,Gorontalo
"Crystal clear water , beautiful underwater scenary",5,Ervan Ismail,2024-11-22T00:01:36.118Z,Desa Wisata Olele,Gorontalo
Wajib dikunjungi kalau datang ke Gorontalo,5,subehi achmad,2024-10-19T23:43:08.411Z,Desa Wisata Olele,Gorontalo
"Darmowy trip. Świetne korale, rybki itp. Bardzo spektakularne zejście w deep blue. Wąski dojazd. Lepiej zostawić auto na początku mimo nakazu lokalnego szeryfa parkingowego.",4,tomasz stankiewicz,2024-09-06T08:56:25.240Z,Desa Wisata Olele,Gorontalo
"Cakep karangnya, banyak sama variatif juga ikan ikannya, jernih airnya, asin banget rasa air lautnya 🤪. Deket sama daratan, loncat aja udah sampe. Naik yg susah karena ga dibangun fasilitasnya. Jadi, ke spotnya sewa semacam perahu, harga sudah include perlengkapan snorkeling dan plampung. Sekitar 600 rb bisa bwt kapasitas 8 orang.",5,SP,2024-08-14T09:24:17.198Z,Desa Wisata Olele,Gorontalo
