review_text,rating,author,date,nama desa wisata,provinsi
"Mau kenal keberagaman suku Dayak di Pulau Kalimantan, khususnya di Kalimantan Timur? Ke Desa Pampang salah satunya. Tempatnya unik dan kaya akan budaya suku Dayak. Selain pertunjukan budaya berupa tari-tarian, berfoto dan mengobrol dengan warga aslinya, disini juga menjual berbagai macam pernak-pernik khas Dayak yang bisa dijadikan oleh-oleh. Pertunjukannya hanya ada di hari minggu jam 2 siang yaa. Jadi klo hari biasa tidak ada pertunjukan",5,Vita Erwin,2026-05-02T11:20:59.448Z,Desa Wisata Pampang,Kalimantan Timur
"kalau mau liat tarian di hari minggu, jam 2 siang
mending reservasi dulu sih daripada udah sampai penuh 🫣

Bisa poto dengan sewa kostum, ada nenek telinga panjang dan sesepuh adat",5,Endah Ndo,2026-05-01T04:01:09.428Z,Desa Wisata Pampang,Kalimantan Timur
Berbagai macam pertunjukan tarian Adat Budaya Desa Pampang,5,syukur taqwa,2026-04-26T07:17:58.994Z,Desa Wisata Pampang,Kalimantan Timur
"Diberi kesempatan untuk berkunjung, ada pertunjukan tari tradisional dan toko souvenir",5,rei soran,2026-04-16T13:53:23.863Z,Desa Wisata Pampang,Kalimantan Timur
Naturaly,5,alwi,2026-04-14T04:27:42.448Z,Desa Wisata Pampang,Kalimantan Timur
"A wonderful place to learn about Dayak culture, featuring stunning traditional dances, costumes, and accessories. The performers were highly skilled and gave a great performance. However, I have a few suggestions for improvement: the hospitality of some senior performers could be warmer to make guests feel more welcome. Additionally, the cleanliness of the toilets needs urgent attention, especially considering there is an entrance fee. I hope to see better organization in the future, as this place has incredible potential for cultural tourism.

Tempat yang sangat luar biasa untuk mengenal lebih dekat kebudayaan Dayak, mulai dari tarian, pakaian adat, hingga aksesorinya yang memukau. Penampilan para penari sangat bagus dan enerjik. Namun, ada sedikit catatan untuk kedepannya: keramahan beberapa staf/penampil senior mungkin bisa lebih ditingkatkan agar pengunjung merasa lebih disambut. Selain itu, kebersihan toilet perlu mendapat perhatian serius, terutama karena pengunjung sudah membayar tiket masuk. Semoga kedepannya bisa lebih terorganisir dengan baik karena tempat ini memiliki potensi wisata budaya yang sangat besar.",5,Maisha Zyva,2026-04-13T15:07:31.342Z,Desa Wisata Pampang,Kalimantan Timur
Budaya asli Kalimantan.,5,Hendry Kesuma,2026-04-12T07:06:48.256Z,Desa Wisata Pampang,Kalimantan Timur
Seru dan menambah wawasan baru. Kalau ke kalimantan timur harus ke sini.,5,fanny tresha,2026-04-02T01:03:50.936Z,Desa Wisata Pampang,Kalimantan Timur
"Kalo untuk hari kerja, senin - sabtu kerasa rugi bayar tiket masuk. Ga ada atraksi atau spot menarik yang bisa dilihat, tari2an cuman ada di hari minggu. Kalo hari biasa cuman bisa lihat 1 bangunan rumah adat dan kios2 yang jual souvenir.
Tiket masuk bisa dibilang murah.
Mobil 10rb, orang 15rb. Tapi kesana 4 orang, bayar tiket masuk 4 orang, tiket yang dikasih cuman 3 lembar sama tiket mobil.... tolong dong budaya nyatut, korupsi dll, jangan di jadikan kebiasaan. Lama kelamaan ga ada orang yang mau datang kesini.",1,Robert RID,2026-03-24T08:18:33.709Z,Desa Wisata Pampang,Kalimantan Timur
"Ke samarinda, wajib ke wisata budaya Pampang👍👍",5,Ratna Kartiani,2026-03-04T02:02:19.924Z,Desa Wisata Pampang,Kalimantan Timur
Wisata budaya yg keren,5,Reborn Innova,2026-02-20T09:21:55.757Z,Desa Wisata Pampang,Kalimantan Timur
Bagus,5,Sedotan Biru,2026-02-17T13:40:51.065Z,Desa Wisata Pampang,Kalimantan Timur
Orang orangnya ramah semua,4,Zahra ghina anggraini,2026-02-17T13:14:10.331Z,Desa Wisata Pampang,Kalimantan Timur
"Tempatnya luas, banyak orang jualan makanan dan souvernir,,
Kamar mandi bersih,,
Pas ke sini karena ada acara sekolah anak, jadi ad pertunjukan tarian dan di jelaskan juga macam2 tariannya
Jdi ad nilai edukasinya

Tapi.. bnyak anjing..",4,Lentara Maisutaa,2026-02-16T10:40:54.373Z,Desa Wisata Pampang,Kalimantan Timur
"Cultural heritage, is our culture treasury. Deserve to get more appreciation",5,Daniswara Ryan,2026-02-15T07:11:24.961Z,Desa Wisata Pampang,Kalimantan Timur
Wisata budaya pampang,5,Bella asyia Alwi,2026-02-03T18:39:15.206Z,Desa Wisata Pampang,Kalimantan Timur
"Tempat terlalu jauh dari Samarinda.
Kalau bisa di tambah bangunan yg mau di lihat",3,Nuraidah Sitepu,2026-01-21T06:22:08.675Z,Desa Wisata Pampang,Kalimantan Timur
"Ziana penari paling cantik di Pampang, saya suka pada Ziana, saya ingin Ziana menerima saya dan menikah 🌹❤️",5,arif herlambang,2026-01-12T22:06:07.660Z,Desa Wisata Pampang,Kalimantan Timur
Tempat yg ramah pada pengunjung yang mempelajari kebudayaan suku Dayak kenyah,5,Muhammad Dafiq,2026-01-05T11:05:15.456Z,Desa Wisata Pampang,Kalimantan Timur
"Desa Pampang, Desa yang masih menjaga adat budayanya..👍",5,Yuti Iban,2026-01-04T22:32:13.830Z,Desa Wisata Pampang,Kalimantan Timur
Tempat yg bagus untuk dikunjungi di samarinda. Acara terbaik hanya di hari minggu jam 14 ada tarian adat. Banyak suvenir dgn harga relatif murah. Lokasi tidak jauh dari kota samarinda. Kaloke kaltim samarinda swmpatkan mampir,5,Mahargono Kobarsih,2026-01-04T05:57:26.737Z,Desa Wisata Pampang,Kalimantan Timur
nice place to learn new culture,5,muhammad alfian,2026-01-03T12:15:59.167Z,Desa Wisata Pampang,Kalimantan Timur
"Tempatnya bagus.. ada rumah adat dayak, kerajinan khas dayak dan bisa melihat tarian dayak. Cuma sayang... saat berkunjung pertunjukannya belum mulai, baru mulai jam 14.00.",5,ika Nuriyana Fauziah,2025-12-28T10:36:33.668Z,Desa Wisata Pampang,Kalimantan Timur
"Came on sunday to see their dance performance at the main hall (Lamin). The show starts at 2pm, to get the best seats you must get there earlier, around 1 hour to 30 minutes before. Ticket price for one adult is @Rp40.000. You can also buy some dayak craft and souvenirs from the stalls there. Its quite hot in the afternoon, bring your small fan would help",4,Suryananda Mahtakusuma,2025-12-28T09:32:59.554Z,Desa Wisata Pampang,Kalimantan Timur
Amazing culture atraction,5,Yusup Hendriyanto,2025-12-26T01:57:22.731Z,Desa Wisata Pampang,Kalimantan Timur
"Bagus banget pertunjukannya tapi sayang, lumayan jauh kalo dari kota dan arah sebrang 🤧🥺",5,Muhammad Taufikur Rohman,2025-12-19T13:50:51.852Z,Desa Wisata Pampang,Kalimantan Timur
"Wajib kesini kalau liburan di Kalimantan Timur, budayanya sangat bagus karena masih sangat kental. Modernisasi juga sudah ada untuk penjualan souvenirnya.",5,Yunianta Suwastika,2025-12-16T01:25:49.264Z,Desa Wisata Pampang,Kalimantan Timur
"Kunjungan di hari Sabtu tidak ada kegiatan dari kota Samarinda sekitar satu jam perjalanan, kalo mau lihat tari-tarian di hari Minggu mulai jam 14:00 datang harus lebih awall",4,Rangga Adiputra,2025-12-14T11:03:43.382Z,Desa Wisata Pampang,Kalimantan Timur
"Ke Samarinda, sangat sayang bila tidak mampir ke wisata budaya Pampang. Kenali adat budaya Dayak Kenyah, coba pakaian adat dan foto bareng dengan Kakek Simson dan Mba Um.",5,Iskandar Ali,2025-12-12T13:43:04.772Z,Desa Wisata Pampang,Kalimantan Timur
"Untuk pertama kalinya ke wisata Budaya Pampang,..  dari Jakarta",4,BoIm Ky (Boym),2025-12-10T08:03:31.248Z,Desa Wisata Pampang,Kalimantan Timur
"Dayak -> iban - near Kuching
Dayak - kenya - near Samarinda",5,Kostia Bazrov-WORK (JavaScript),2025-12-05T05:49:31.924Z,Desa Wisata Pampang,Kalimantan Timur
mantap,5,Yulisapta,2025-11-26T07:42:15.272Z,Desa Wisata Pampang,Kalimantan Timur
Bagusss,5,Yunita Puspita Sari,2025-11-21T09:41:54.298Z,Desa Wisata Pampang,Kalimantan Timur
"Pelayanan sangat baik, bisa sewa kostum. Disambut tarian untuk setiap hari minggu",5,Dea Santika Rahayu,2025-11-19T16:56:26.147Z,Desa Wisata Pampang,Kalimantan Timur
"Ini tempat yang WAJIB kunjung ketika Anda berlibur ke Samarinda. Setiap ada keluarga yang baru pertama kali ke kaltim pasti sa ajak ke sini. Jaraknya sekitar 45 menit dari kota samarinda. Datang di hari Minggu sekitar jam 13:30, ada tarian tradisional yang akan ditampilkan. Tarian dibawakan mulai dari pemuda dan pemudi nya, ibu ibu nya sampai kakek.

Di lapangan nya juga ada kios kios yang menjual kerajinan tangan khas Dayak.

Soal parkir? Tenang parkiran luas.",5,Fox In The Snow,2025-11-16T07:42:12.812Z,Desa Wisata Pampang,Kalimantan Timur
"Sepertinya bangunan perlu pemugaran lebih lanjut. Untuk akses jalan menuju desa wisata, ada beberapa titik yang perlu perbaikan.",3,Nanang Wahyudi (NW),2025-11-06T04:59:31.600Z,Desa Wisata Pampang,Kalimantan Timur
Pengalaman menyenangkan bisa menari bersama warga disana dan terdapat pilihan souvenir untuk oleh-oleh,5,Randy Pramudana,2025-11-02T04:45:58.291Z,Desa Wisata Pampang,Kalimantan Timur
Staffnya ramah dan detail menjelaskan . nenek penjual souvenir juga ramah dan masih cekatan meladenin para pembeli,4,Ceritanya Fandi,2025-11-02T04:26:58.624Z,Desa Wisata Pampang,Kalimantan Timur
aku pernah ke sanaa seru banget belajar banyak budaya,5,Gustiayu Korompis,2025-10-24T04:30:54.209Z,Desa Wisata Pampang,Kalimantan Timur
Loksi tidak jaauh dari bandara APT. Pranoto samarinda. Sangat bagus untuk edukasi yang mau mengenal budaya suku dayak,5,bambang budi santoso,2025-10-23T21:24:48.980Z,Desa Wisata Pampang,Kalimantan Timur
"Jika ingin melihat pertunjukan tarinya datang ketika weekend. Kebetulan waktu berkunjung ke sini di hari kerja karena ada keperluan kunjungan jadi saya tidak melihat pertunjukkannnya, namun desa budaya ini patut untuk terus dijaga dan dilestarikan. Jaya selalu warga Pampang!",5,Nova Widiastuti,2025-10-22T06:31:45.594Z,Desa Wisata Pampang,Kalimantan Timur
🔥,5,Ten dri,2025-10-22T06:00:44.370Z,Desa Wisata Pampang,Kalimantan Timur
Trill to join the lost Dayak tribes of Borneo ...,5,Zynl dgreat,2025-10-12T12:44:30.418Z,Desa Wisata Pampang,Kalimantan Timur
"sesuai namanya: desa budaya. begitu masuk gerbang utama saja sudah 'kental' sekali budaya suku dayak nya. jika berkunjung, lebih baik di hari minggu karena ada pertunjukan tari di setiap jam 2 siang. banyak yang berjualan souvenir dan makanan. pedagangnya juga ramah-ramah. toilet cukup bersih.",4,Yasmin,2025-10-09T01:23:32.399Z,Desa Wisata Pampang,Kalimantan Timur
Tempat nya bersih kami cinta budaya lokal,5,syarif hidayat,2025-10-05T06:04:06.056Z,Desa Wisata Pampang,Kalimantan Timur
