review_text,rating,author,date,nama desa wisata,provinsi
Desa wisata yang komplit,1,Jhon Bozzo,2026-04-29T08:03:52.157Z,Desa Wisata Setulang,Kalimantan Utara
Sangat Indah♥️♥️ disarankan bagi teman-teman yang mau berwisata kesini untuk memakai provider Telkomsel supaya bisa tetap terhubung ke internet seperti yang saya lakukan saat berkunjung kesini♥️,5,Dheniel Saputra,2026-02-14T06:25:48.725Z,Desa Wisata Setulang,Kalimantan Utara
Recommended bingiiiits,5,AS NEON BOX,2025-11-04T13:05:24.079Z,Desa Wisata Setulang,Kalimantan Utara
So beautiful place and they people’s from here so humble 🥰😍🥰😍,5,Orpa Selutan2112,2025-10-28T10:38:35.443Z,Desa Wisata Setulang,Kalimantan Utara
"Desa Wisata Setulang, spot foto dan ngadem yg sangat Indah di Malinau",4,Wahyu Yun Santoso,2025-08-10T03:01:23.672Z,Desa Wisata Setulang,Kalimantan Utara
Istimewa,5,Kim Jordy,2025-07-25T10:02:25.291Z,Desa Wisata Setulang,Kalimantan Utara
Keren Banget.. cocok buat liburan..,5,ardhy jupiter,2025-07-02T01:00:52.779Z,Desa Wisata Setulang,Kalimantan Utara
"I stayed here in 2023 with a uni field trip. It was the most amazing experience I have had. The village is beautiful, the people amazing and kind, welcomed us with warm open arms and I am still in contact with a lot of them now",5,Lauren McGregor,2025-06-16T09:09:26.915Z,Desa Wisata Setulang,Kalimantan Utara
Bagus banget,4,Iman nugroho,2025-02-03T17:34:01.650Z,Desa Wisata Setulang,Kalimantan Utara
"Excellent place for escaping from routinize life especially for rich people who always think that money is every things. Here ..min Tane Ulen of Setulang, you could have a very simple life, close unborderly with nature and jungle...experiencing the way of dayaks life who apreciate a lot of the jungle with Its  extraordinary amazing biodiversity including its unique animals you could see wildly in pure forest...You could also learn the dayaks survival way in real nature...",4,Aji Iskandar Ahmad,2024-12-10T12:42:29.834Z,Desa Wisata Setulang,Kalimantan Utara
Bagus,5,Pamuji Raharjo,2024-01-02T11:26:41.858Z,Desa Wisata Setulang,Kalimantan Utara
Ramah dan welcome,5,Dedy Suprayitno,2023-09-23T00:44:02.634Z,Desa Wisata Setulang,Kalimantan Utara
"Penduduknya ramah, lingkungan nyaman dan aman, getring closer with nature and culture for self healing",5,Eki Devung,2023-09-21T08:11:56.219Z,Desa Wisata Setulang,Kalimantan Utara
good place to gain more positive energy from nature^^,5,Roselina,2023-08-22T13:29:12.748Z,Desa Wisata Setulang,Kalimantan Utara
Desa yg Damai,4,M. MUJIONO,2023-08-16T13:24:55.435Z,Desa Wisata Setulang,Kalimantan Utara
"Desa wisata di Kabupaten Malinau yang didiami oleh Suku Kenyah Ma'lung. Yang dapat dikunjungi adalah Lamin Adat Adjang Liden, Kelupi (Pemeras Tebu Tradisional), Lomba Sumpit, dan wisata lainnya",5,Evazahra syifa,2023-07-09T13:18:42.009Z,Desa Wisata Setulang,Kalimantan Utara
Desa yang unik dan menarik untuk di kunjungi,4,iwan jonifa,2023-06-25T08:00:36.509Z,Desa Wisata Setulang,Kalimantan Utara
"Rumah adatnya mantap dan lapangannya bersih yaa...

Tapi sayang...jalan menuju ke desa wisata setulang harus agak bersabar...kRena jalannya banyak yg berlubang...",4,yayat pria,2023-06-21T12:13:42.864Z,Desa Wisata Setulang,Kalimantan Utara
Sangat menyenangkan,1,Ida Irwan,2023-06-07T14:45:02.345Z,Desa Wisata Setulang,Kalimantan Utara
"After my spectacular trip at Long Peso Village, Setulang and Tana Olen are equally awesome adventures. Love the places, the people and the experiences. Amazing! Speechless! Must-see tourist destinations in North Kalimantan. Nice guides! Pak Ran, Pak Lofi, Pak Edom, Pak Asang, Pak Jefri, and Mbak Septi. See you again! Keep in touch.",5,Nehemia Gurusinga,2023-05-26T14:09:00.251Z,Desa Wisata Setulang,Kalimantan Utara
Tana olen tempat rekreasi bersama keluarga,5,Rich Heart 070717,2023-05-02T01:45:21.075Z,Desa Wisata Setulang,Kalimantan Utara
Semoga flora dan fauna hutan Tanah Olen terjaga dari orang orang yg tdk bertanggung jawab.ayo saudaraku putra putri Borneo kita jg warisan buat anak cucu kelak...,5,Mukhtar Tar,2023-03-08T10:24:08.405Z,Desa Wisata Setulang,Kalimantan Utara
"Salam dari Kalimantan Selatan, menyempatkan waktu untuk berkunjung kesini.",5,Rahmadi,2023-03-03T10:41:32.964Z,Desa Wisata Setulang,Kalimantan Utara
"Desa wisata yg sangat indah, menarik, asri dan wajib dikunjungi saat singgah di malinau",5,Dwi Arianto,2023-01-28T09:37:43.846Z,Desa Wisata Setulang,Kalimantan Utara
Suasana menyatu dengan alam dengan kearifan lokal...air yang jernih dan tempat yang bersih  menenangan pikiran. pulang2 freeesss dech👍,5,Enricho Lekawael,2023-01-05T04:02:33.149Z,Desa Wisata Setulang,Kalimantan Utara
Desa yang menampilkan budaya etnis Dayak Kenyah,3,wandin,2023-01-03T23:30:27.611Z,Desa Wisata Setulang,Kalimantan Utara
Memberikan kesan adat budaya yang masih kental,5,Ulya Saida tazkiah,2022-12-04T09:10:59.400Z,Desa Wisata Setulang,Kalimantan Utara
Nice view,5,fendi asrian,2022-11-10T04:56:40.357Z,Desa Wisata Setulang,Kalimantan Utara
Badaahh leh,5,Jos Jos bus,2022-08-05T04:22:33.077Z,Desa Wisata Setulang,Kalimantan Utara
Kembangkan lebih baik lagi👍,5,Martin Adam,2022-05-06T06:51:57.477Z,Desa Wisata Setulang,Kalimantan Utara
"Wisata alam dan petualang yg murah meriah, bisa camping, renang dll. Airnya jernih alami.",3,agung sutrisno,2022-04-27T00:24:18.853Z,Desa Wisata Setulang,Kalimantan Utara
"Sungainya sebening kaca, sangat bening, jernih, bebas polusi dan sangat nyaman untuk mandi mandi baik untuk healing maupun camping.",4,Agung Sutrisno,2022-04-17T06:59:52.780Z,Desa Wisata Setulang,Kalimantan Utara
desanya bersih masyarakatnya ramah,5,Mahdi Hafiz,2022-03-11T11:53:22.806Z,Desa Wisata Setulang,Kalimantan Utara
Tempat yang indah untuk dikunjungi,5,Paulus Cahyatama Y.A.P (Rico),2022-03-11T05:59:15.306Z,Desa Wisata Setulang,Kalimantan Utara
Lumayan bagus dan asri,4,Alexa chanel,2022-02-16T11:56:53.540Z,Desa Wisata Setulang,Kalimantan Utara
Desa dengan kearifan lokal yg luar biasa.,4,Anggitmas Dwindana G.J,2022-02-14T03:12:54.378Z,Desa Wisata Setulang,Kalimantan Utara
"Desa yang asri dan rindang.

Untuk perjalanan ke desa ini membutuhkan waktu sekitar 1 jam dari kota Malinau.",5,Antonius Wibowo,2022-02-11T23:14:08.400Z,Desa Wisata Setulang,Kalimantan Utara
Kereen dan bersih.... sayang infomasi wisatanya kurang. Dan sulit mencari makanan lokal ......,5,BIBONG W,2022-01-16T23:53:56.566Z,Desa Wisata Setulang,Kalimantan Utara
suasana nya Tenang,5,Frangky Lenggu,2021-12-26T23:26:50.098Z,Desa Wisata Setulang,Kalimantan Utara
Sangat recomended sebagai tempat wisata budaya,5,Syahril Mangoundow,2021-12-25T03:07:56.983Z,Desa Wisata Setulang,Kalimantan Utara
Oke banget,5,Barnabas Philius,2021-06-25T00:25:52.293Z,Desa Wisata Setulang,Kalimantan Utara
Mantap gan,3,Wendi Juwendi,2021-06-24T16:47:08.779Z,Desa Wisata Setulang,Kalimantan Utara
Saya akan kembali lagi ☺,5,AkunKedua,2021-06-06T14:31:09.827Z,Desa Wisata Setulang,Kalimantan Utara
"Kami ke sungai tane olen dan cukup bagus. Ada yg berjualan makanan, penyewaan perahu karet buat anak2 dll.",5,djemi ferdinandus,2021-06-05T01:30:37.574Z,Desa Wisata Setulang,Kalimantan Utara
desa wisata setulang (tanah olen),5,tidak di ketahui,2021-06-02T19:08:03.423Z,Desa Wisata Setulang,Kalimantan Utara
"desa wisata bgt
cocok buat wisatawan lokal atau asing",5,apipid,2021-04-23T06:40:15.865Z,Desa Wisata Setulang,Kalimantan Utara
Wow wow wow,4,Erna Indarwati,2021-04-14T02:21:31.344Z,Desa Wisata Setulang,Kalimantan Utara
💚,5,AGATHA LEONA SEHAN,2021-02-14T03:54:02.368Z,Desa Wisata Setulang,Kalimantan Utara
"Desa yg indah.
Memiliki budaya lokal yg masih kental,budaya turun temurun dari nenek moyang terdahulu.
Juga memiliki hutan yg masih alami.",5,Lofu Sufi,2021-02-02T11:31:36.019Z,Desa Wisata Setulang,Kalimantan Utara
"""Desa Wisata Setulang"" Destinasi Wisata Budaya dan Wisata Alam di Kecamatan Malinau Selatan Hilir, Kabupaten Malinau, Kalimantan Utara",5,Udau Hansicov,2021-01-19T10:17:17.556Z,Desa Wisata Setulang,Kalimantan Utara
Sangat menarik,5,Dalltil juwest,2020-12-28T22:04:51.171Z,Desa Wisata Setulang,Kalimantan Utara
"Tempat wisata, dari anak sampai orangtua maupun dari luar negeri untuk berkunjung melihat air terjun di desa wisata setulang, pohon besar dihutan lindung Tane Olen dan banyak lagi keunikan di Desa Wisata Setulang",5,PARK ESON,2020-12-27T11:16:38.979Z,Desa Wisata Setulang,Kalimantan Utara
Kunjungan setelah rakor Kepsek dan WakaKur SMK SeKaltara,5,Suheriyanto,2020-11-28T09:40:42.755Z,Desa Wisata Setulang,Kalimantan Utara
Alami dan baik untuk wisata permandian  keluarga,3,Christ Sniper,2020-11-28T09:40:08.438Z,Desa Wisata Setulang,Kalimantan Utara
Tempat wisata paling asik dan seru. Mari kunjungilah tempat ini saat liburan. Tks.,5,Pdt. ALFIUS THOMAS D'JURUN,2020-11-17T12:48:25.230Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata yg masih asri dgn hutan lindung yang masih terjaga dgn baik,5,Jerry efendi,2020-10-18T01:14:20.151Z,Desa Wisata Setulang,Kalimantan Utara
Merasa Bangga telah menyinggahi dan silaturahmi dengan kepala desa yang ramah... Tempat yg sangat penuh nilai budaya. Rekomendasi penuh bagi penikmat budaya untuk datang kesini... Semoga apa yg telah di upayakan selama ini menjadi desa wisata semakin dikenal se nusantara dan manca negara...,5,Ipan Setiawan,2020-10-11T03:34:14.040Z,Desa Wisata Setulang,Kalimantan Utara
Love,5,Merlin Benyamer,2020-09-15T00:43:53.377Z,Desa Wisata Setulang,Kalimantan Utara
Tempatnya bagus. Rumah kayu dengan ukiran khas Kalimantan. Kalo siang lumayan terik.😁,5,Setia R,2020-09-05T15:25:05.604Z,Desa Wisata Setulang,Kalimantan Utara
"Desa Adat Dayak Kenyah Oma'lung yang masih melestarikan nilai-nilai Kebudayaannya. Tetaplah menjadi Desa Wisata setulang yang Aman,Nyaman & Damai.",5,Loren Nyo,2020-03-19T23:37:12.279Z,Desa Wisata Setulang,Kalimantan Utara
"Rapi, bersih, rumahnya dihiasi ukiran2.",4,yulia agnis,2020-03-18T04:53:55.142Z,Desa Wisata Setulang,Kalimantan Utara
I'm bias because my parents are from here so yeah,5,Epocalypse,2020-01-12T11:22:45.941Z,Desa Wisata Setulang,Kalimantan Utara
"Balai Adat Dayak Kennya di desa Setulang-Malinau, Kalimantan Utara",5,Johnny Lagawurin,2020-01-11T08:43:24.681Z,Desa Wisata Setulang,Kalimantan Utara
