review_text,rating,author,date,nama desa wisata,provinsi
Butuh perhatian,5,sang Jendral810,2026-04-25T14:26:13.077Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Sebenarnya lokasi bagus cuma kurang perawatan,5,ROFIK ROFIK,2026-04-22T06:48:39.046Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Mantp,1,Amin Bulian,2026-04-19T17:39:06.393Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Very beautiful place and there are many orangutans 🦧 being rehabilitated and rescued. Peaceful and one of place to visit in Indonesia.,5,Zoe Bali,2026-03-22T09:28:56.562Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
River boat parking spot,5,Rachel,2026-01-26T20:53:21.690Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Seperti kembali ke masa kecil di desa transmigrasi,3,Erni Sujanto,2025-12-27T08:47:59.699Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
"Desa wisata, bukan puncak musim liburan jadi agak Kurang terawat..",4,ali masruf,2025-10-26T00:57:55.168Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
"Es ist sehr beeindruckend, Orang Utans in ihrem Lebensraum zu beobachten. Sie werden zwar angefüttert, dafür bekommt man sie zu sehen...",5,Thomas Wittig,2025-09-18T11:57:05.124Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Sangat menyenangkan 😊 dimana bisa melihat orang utan secara langsung dan banyak lagi,5,RATNA SARI,2025-09-09T04:42:53.755Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Great spotting feeding station. A bit massified,4,Xavier Esparrich,2025-08-09T10:19:10.467Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
"Pengalaman yg seru dan menakjubkan. Menyusuri Sungai Sekonyer seperti berada di Amazone, suara hutan dan alam yg menenangkan. Bikin betah",5,Amalia Hashem,2025-07-18T04:08:05.228Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Bona experiència,4,Maurici Ananos,2025-07-18T01:12:49.025Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
I cannot describe how wonderful this place is and what an amazing time we had! We saw lots of wildlife and of course the orangutans.,5,Alexandra Bailey,2025-04-27T23:55:46.528Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
Sya blm pernah ksni.....pngen seskli nyoba....😁😁,5,Dhani JR,2024-12-28T16:16:17.829Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
"What can I say?
A truly amazing experience.
Loved it.",5,Jack Dyer,2024-12-04T12:18:45.352Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
a cultural destination in Tanjung Puting National Park. friendly locals and nice culture also nature. recommended to visit here 👍,5,TesaLo Siregar,2024-09-22T03:48:59.796Z,Desa Wisata Sungai Sekonyer,Kalimantan Tengah
