review_text,rating,author,date,nama desa wisata,provinsi
2 malam bersama teman dan kolega dari Sarawak di Sungai Utik yang luarbiasa,5,Frido,2026-04-24T04:29:41.357Z,Desa Wisata Sungai Utik,Kalimantan Barat
Sangat bagus tempat wisatanya,5,Supriyanto Manendtri,2026-03-22T23:16:23.950Z,Desa Wisata Sungai Utik,Kalimantan Barat
A very interesting place and filled with natural beauty.. Hope to travel to Sungai Utik again. I miss my family who are in Sungai Utik. I Love Sungai Utik.,5,Darren Fletcher,2026-01-04T07:30:05.819Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Menyenangkan, belajar banyak dan ingin kembali lagi",5,Zul Tiw,2025-10-28T06:30:07.860Z,Desa Wisata Sungai Utik,Kalimantan Barat
Amazing 👌🏻🤟🏻🥰,5,Khairul Abdi,2025-07-27T01:19:23.645Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Terdapat komunitas adat Dayak Iban yang memiliki beragam budaya, ada dan tradisi yang turun temurun.
Gawai adalah salah satu perayaan adat bagi suku Dayak yang memiliki tujuan untuk bersyulur atas hasil yang diberikan bumi kepada manusia.
Biasanya Gawai dilakukan pasca panen, serta memiliki tujuan yang erat kaitannya dengan kekeluargaan",5,Tandean,2025-07-04T16:46:26.399Z,Desa Wisata Sungai Utik,Kalimantan Barat
Great culture and friendly local people,5,Anton Chandra,2025-04-08T04:25:38.635Z,Desa Wisata Sungai Utik,Kalimantan Barat
Tempat yang nyaman untuk menginap. Suasana pegunungan sejuk,5,nilam sakti,2025-01-31T12:43:10.297Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Desember 2022, saya sedang melakukan touring motor Temajuk - Ngabang - Kapuas Hulu - Nanga Badau terus menyusur jalan paralel perbatasan yang baru dibangun hingga Entikong, Jagoi, Aruk dan kembali ke Temajuk.

Selain pengalaman offroad di jalan paralel yg masih 90% tanah dan sepi, singgah dan menginap selama 5 hari di Sungai Utik adalah salah satu pengalaman hidup yang sangat membekas dan menghangatkan hati.

Saya datang tanpa ada kenalan sama sekali sebelumnya di Utik, hanya bermodal cerita dan ketertarikan akan komunitas ini serta hubungan mereka dengan adat dan alam. Saya kemudian disiapkan bilik di rumah pak Kades Raymandus, serta mendapat banyak kearifan dari cerita-cerita langsung oleh Apay Janggut. Apay adalah tokoh yang konsisten menjaga hutan dan adat selama puluhan tahun, hingga komunitas Utik mendapat penghargaan dari UN di New York pada 2019.

Saya dilibatkan juga dan dianggap seperti saudara sendiri saat perayaan malam tahun baru yang berlangsung semalam suntuk di rumah betang. Berbagai makanan dan minuman disajikan, bergoyang bersama dan ditutup dengan mandi di sungai pada dini hari.

Sungguh pengalaman hidup amat manis. Saya belajar banyak disini.",4,Azhari Fauzi,2025-01-11T00:12:03.888Z,Desa Wisata Sungai Utik,Kalimantan Barat
Sip,5,Candra Prayitno,2024-10-30T14:01:53.806Z,Desa Wisata Sungai Utik,Kalimantan Barat
Sungai Utik offers an unforgettable experience! The traditional longhouse (Rumah Betang) is a true cultural treasure. The community is incredibly warm and welcoming. The home-cooked food and drinks are delicious. We can buy handcrafted items directly from the artisans and even get a unique traditional tattoo.,5,Firena I.,2024-10-05T02:42:06.670Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Best place to learn about sustainable life, art,  culture, and many more",5,Rigel Setyadi,2024-10-05T02:37:20.595Z,Desa Wisata Sungai Utik,Kalimantan Barat
Luarbiasa dan unik kebudayaan di sini. Rumah panjang sangat asli. Orang Dayak Iban menjaga hutan mereka.,5,Peter Schaadt,2024-09-03T07:42:13.698Z,Desa Wisata Sungai Utik,Kalimantan Barat
Keren banget,5,Arie Forester,2024-08-08T12:53:04.795Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Nice view of paradise aka dayak long house ethics especially iban tribes. will get there one day, I promise to myself.",5,Felix Jubang,2024-08-03T12:33:17.325Z,Desa Wisata Sungai Utik,Kalimantan Barat
Keren,5,"Muhammad Edwin, S. Hut",2024-07-19T11:22:11.504Z,Desa Wisata Sungai Utik,Kalimantan Barat
"Keren lah pokoknya, udah 2 kali kesini...nggak.nyesel",5,Kalimantan Tour Guide (Nila Warti),2024-06-16T11:37:57.399Z,Desa Wisata Sungai Utik,Kalimantan Barat
terima kasih google,3,Nafa Naya,2024-05-28T14:26:37.891Z,Desa Wisata Sungai Utik,Kalimantan Barat
