review_text,rating,author,date,nama desa wisata,provinsi
"Malheureusement des hommes nous obligés à déposer notre scooter pour nous faire payer un trajet de 100000 idr par personne pour rejoindre le début de la randonnée.
C’est 20minutes de marche donc tout à fait faisable sans avoir à faire à un taxi scooter.

Pour ce qui est du village, la balade en forêt est magnifique, et l’arrivée au village même dans la brume était spectaculaire.
Il est important de savoir qu’il faut venir avec une tenue « correcte » pour les femmes c’est à dire longueur genoux et les épaules couvertes de preference.
Il est bon aussi de savoir qu’il n’est pas recommandé de prendre des photos avant d’avoir l’approbation du chef du village.

On a fait une partie d’échecs avec les ados et joué au foot un petit instant et c’est ce qui a rendu ce moment particulièrement spécial (ou plutôt spécialement normal).

Si vous avez la possibilité de leur amener un jeu d’échecs ils en seront ravis 🤩

N’oublier pas d’acheter une petite bouteille de vin à la cannelle avant de repartir :)",5,Marine Vignal,2026-05-06T12:30:10.764Z,Desa Wisata Waerebo,Nusa Tenggara Timur
An UNESCO's heritage. They are welcoming people in the village and very challenging access to go there. It has been paid after we pointed tp the village.,5,Rizki Primanto,2026-05-04T09:57:28.894Z,Desa Wisata Waerebo,Nusa Tenggara Timur
超美的星空，自然分环境。值得推荐,5,苑展赫,2026-04-24T18:41:17.352Z,Desa Wisata Waerebo,Nusa Tenggara Timur
😄,5,Hamz NUR,2026-04-24T10:28:08.585Z,Desa Wisata Waerebo,Nusa Tenggara Timur
"An impressive experience !

The trek was no joke though... tough but with many stop points and amazing views.

Once you arrive you are greeted by the village elder who welcomes you in his home.  You are then sent to your sleeping hut with about 30 other people.  Hopefully you don't have anyone who snores!!

Dinner is served around 7pm so if you get up there early you just chill or take pictures.  There are dogs who are friendly as they are your protectors in the night from wild animals.

Breakfast is served at 7am, but if you're lickly get up early and catch the sunrise.",5,Tracey Wong,2026-04-15T00:24:21.949Z,Desa Wisata Waerebo,Nusa Tenggara Timur
"Trekkingnya kisaran 2 jam lebih sedikit
Namun walaupun benges tetep happy karena seruuu banget dan dinginnn suhu nya 🥹
Rasanya kebayar banget setelah jalan ngos ngosan ampai ke sana, bener² salah satu list desa tercantik di dunia ❤️
Meskipun gak ada sinyal di sana tapi kerasa banget hangat dengan orang² disana",5,Tifany Huang,2026-04-07T09:26:51.730Z,Desa Wisata Waerebo,Nusa Tenggara Timur
"Pengelolanya gak ramah, kami sampai desa jam 8 malah diomelin karena alasan “ini” “itu” padahal bisa bicara baik-baik.
Bayar 325k/person, menurut aku overprice ya.
Makanan dari dulu juga gak upgrade, gak ada ayam.
Cuma sayur sama telur, sarapannya nasi goreng dan telur.
Bonus desanya dan pemandangannya emang cantik.",3,natalie,2026-04-06T05:06:22.611Z,Desa Wisata Waerebo,Nusa Tenggara Timur
Bangladesh too Malaysia,5,BD Najim Gaming,2026-04-01T12:44:23.079Z,Desa Wisata Waerebo,Nusa Tenggara Timur
sebuah surga tersembunyi di Pulau Flores,5,Nurkholip _,2026-04-01T01:05:32.525Z,Desa Wisata Waerebo,Nusa Tenggara Timur
"Wonderful place
Luar biasa bisa datang ke tempat ini. Dengan jarak trekking yang lumayan panjang. Ada 7 post yang kita lalui sehingga sampai di kampung adat ini. Harus butuh stamina yang kuat sih untuk mencapai tempat yang indah dan cantik ini.
Wae Rebo yang dikenal dengan desa terindah ke-2 di dunia ini merupakan Kampung adat yang tetap terjaga keaslian akan adat dan kebudayaanya. Dengan warga kampung yang luar biasa ramah sehingga merasa betah seperti di rumah sendiri.
Aseli...... Liburan kali ini paling paling berkesan dan bersyukur bisa ke surga yang tersembunyi ini🥰🥰",5,Fyy serfianti,2026-03-31T09:01:54.807Z,Desa Wisata Waerebo,Nusa Tenggara Timur
