review_text,rating,author,date,nama desa wisata,provinsi
View lumayan bagus dan restoran seafood nya harga terjangkau,5,Muriani Satriawan,2026-03-23T14:22:35.403Z,Kampung Terih,Kepulauan Riau
"Cantik banget pas sore! Cocok buat foto-foto sambil lihat sunset,
gue juga main di RAJAWIN ternyata dapet untung

langsung aja buka googe RAJAWIN, gampang.
RAJAWIN * * *",5,Lisa Mariana,2026-03-18T15:40:16.911Z,Kampung Terih,Kepulauan Riau
Mantapp,5,Wella Afriana,2026-03-10T14:47:59.367Z,Kampung Terih,Kepulauan Riau
Kampung yg hidden gem 😍,5,anang joko pramono,2026-03-07T12:53:57.899Z,Kampung Terih,Kepulauan Riau
"Tempat ini cocok dikunjungi,selain kuliner seafood disini juga ada tempat bermain paintball",5,Prasetya Dayu,2026-01-27T08:33:36.993Z,Kampung Terih,Kepulauan Riau
Seafood enak harga merakyat,5,Ahmadi Ahmadi,2026-01-14T08:03:43.403Z,Kampung Terih,Kepulauan Riau
Mantap,5,Bahrullah Shadiq,2026-01-05T08:09:47.237Z,Kampung Terih,Kepulauan Riau
Makanan seafood enak,4,Tech Ind,2026-01-01T08:16:49.818Z,Kampung Terih,Kepulauan Riau
"Ada tempat makan seafood enak, ada coffeshop kekinian dan punya view mantap , bagusnya kesini sore hari",5,Ridwan Arief Nur,2025-12-02T19:04:47.504Z,Kampung Terih,Kepulauan Riau
Ga diragukan lagi lah kalo kesini. Semuanya the best,5,nia amelia,2025-11-23T22:43:57.603Z,Kampung Terih,Kepulauan Riau
Tempat yang bagus untuk wisata air dan adventure di wilayah Batam,5,CHOEBAY RACING 11,2025-11-19T13:51:33.400Z,Kampung Terih,Kepulauan Riau
Good place for taking pictures but facilities need to be more as people have to queue up to use the facilities.,4,Dedak Merah,2025-11-14T01:40:05.177Z,Kampung Terih,Kepulauan Riau
"A very beautiful seaside village with seafood eating place atop the sea, with stunning rustic view.",5,Sam Abdullah,2025-09-18T12:12:13.807Z,Kampung Terih,Kepulauan Riau
Tempat makan sea food enak di lidah,5,Wiko Afrianto,2025-09-16T07:35:14.751Z,Kampung Terih,Kepulauan Riau
"Suasana tenang,ada caffe dan permainan paintball,ada beberapa rumah makan seafood diatas laut,cocok buat yg tidak suka tempat yang tidak terlalu ramai.akses jalan bagus,melewati area pemakaman.",5,rihan vieri,2025-07-31T00:01:55.726Z,Kampung Terih,Kepulauan Riau
Lumayan bagus veewnya...,4,goesdex idris,2025-04-08T07:50:10.220Z,Kampung Terih,Kepulauan Riau
Nice view and place to enjoy the sunset,5,mang saman,2025-03-26T21:06:35.708Z,Kampung Terih,Kepulauan Riau
Mantap,5,Ibnu Part,2025-03-10T06:36:18.732Z,Kampung Terih,Kepulauan Riau
Desa yg bersih...,3,dody hidayat,2025-02-27T01:38:59.857Z,Kampung Terih,Kepulauan Riau
Beughhh,5,Yudi Oktaveri,2025-01-29T04:32:01.090Z,Kampung Terih,Kepulauan Riau
Masuknya gratis.  Sayang kurang dirawat. Padahal punya potensi yang cukuo bagus sebagai destinasi wisata kuliner.,4,Brahmantia Muda,2024-11-15T01:22:53.946Z,Kampung Terih,Kepulauan Riau
Pemandangnya bagus,5,Oleh oleh batam Batik dan accesories Zahra akrilik,2024-09-20T12:34:04.670Z,Kampung Terih,Kepulauan Riau
"Kota Batam memiliki  beberapa destinasi wisata yang menarik wisatawan mancanegara maupun domestik, Kota Batam dinilai sebagai penyumbang wisatawan peringkat kedua setelah Bali. Kawasan Nongsa merupakan bagian dari kecamatan Nongsa yang dalam rencana tata ruang wilayah pembangunan Pulau Batam, ditetapkan peruntukkannya bagi pengembangan wisata. Kawasan Nongsa saat ini telah dikembangkan secara terbatas sebagai kawasan wisata/ resort dengan daya tarik wisata pantai dan lapangan golf. Pengembangan Desa Wisata Kampung Terih, Kelurahan Sambau, Kecamatan Nongsa, Kota Batam merupakan upaya memberikan alternatif tujuan wisata di Kawasan Nongsa. Pengembangan desa wisata dapat memberikan manfaat ekonomi dan pendapatan bagi masyarakat desa, serta meningkatkan partisipasi masyarakat dalam pembangunan desa.  Desa Wisata Kampung Terih memiliki peluang cukup besar untuk meningkatkan kesejahteraan masyarakat setempat. Potensi alam, budaya, dan masyarakat setempat dapat dimanfaatkan untuk mengembangkan berbagai produk dan jasa wisata yang menarik bagi wisatawan.
Desa yang lolos masuk ke 300 besar desa wisata pada nominasi Anugerah Desa Wisata (ADWI) tahun 2022 yang diselenggarakan oleh Kementrian Pariwisata dan Ekonomi Kreatif (Kemenparekraf), yang ternyata  pada tahun 2021 masuk ke 100 besar. Bahkan pada tahun 2018, Desa ini menyabet Juara 1 Anugerah Pesona Indonesia kategori Tujuan Wisata Baru terpopuler. Desa ini bernama Kampung Terih. Dan pada 10 Desember 2017 predikat Desa Wisata untuk Kampung Terih resmi diluncurkan.",5,acep ranal,2024-09-19T23:18:17.319Z,Kampung Terih,Kepulauan Riau
"Salah satu kampung tua di Batam. Tidak terlalu luas, tapi merupakan salah satu sudut terbaik menikmati cakrawala kota Batam.",4,Khalfian Rhapsody,2024-08-30T06:27:57.895Z,Kampung Terih,Kepulauan Riau
Makanann disana enak ... Pantai nya asri banget .. recommended,5,Ratna Ina,2024-08-18T03:56:29.191Z,Kampung Terih,Kepulauan Riau
Kurang menarik,1,Mauludin Imam,2024-08-18T00:46:36.714Z,Kampung Terih,Kepulauan Riau
"Ada beberapa restoran seafood di dekat sini tapi yang biasa kami datangi Resto Seafood Anak Nelayan karena tempatnya enak di tepi laut, harganya bersahabat, rasa masakannya enak (rekomen gonggong sama ikan asam pedas) terus juga beberapa kali minta antar ke rumah kelong tengah lautnya buat mancing seharian (bayar 60k sudah diantar jemput). Benar-benar mantap buat healing 👍💛",5,Septi Minarni,2024-08-09T12:57:09.771Z,Kampung Terih,Kepulauan Riau
Ada tempat seafood yg enak. Harga terjangkau,5,Bang Jeff,2024-08-03T12:21:36.955Z,Kampung Terih,Kepulauan Riau
Bagus untuk dikunjungi,2,Junaidi 00782,2024-07-01T06:53:58.576Z,Kampung Terih,Kepulauan Riau
"Kampung tua di sambau batam, bersih kampungnya, menuju kampung ini melewati perkuburan muslim dan cina",5,SM MM 88,2024-06-29T11:30:55.287Z,Kampung Terih,Kepulauan Riau
Bagus,5,Renaldo,2024-06-19T10:14:06.102Z,Kampung Terih,Kepulauan Riau
Pemandangan yang indah,5,Cepeklimpul,2024-06-08T21:25:46.736Z,Kampung Terih,Kepulauan Riau
"Tempat kurang bersih,,,,dan kurang terawat,,,gk sesuai dengan fhoto.",5,Ahmad Toba Napitupulu,2024-06-02T08:32:56.394Z,Kampung Terih,Kepulauan Riau
"Lumayan tempat bersih,rasa sesuai lidah",5,Irpan Urut asli batam,2024-05-09T08:00:00.676Z,Kampung Terih,Kepulauan Riau
bagus,5,ELPIAN RAHMAD HIDAYAT,2024-03-22T12:57:00.387Z,Kampung Terih,Kepulauan Riau
