review_text,rating,author,date,nama desa wisata,provinsi
Desa yg terkena dampak stunami.kini sudah mulai pulih.,4,Andy Dy,2026-05-01T12:04:00.374Z,Kunjir,Lampung
Tempat yg cocok untuk bersantai bersama keluarga..,4,Asep Lely A,2026-02-15T09:39:14.156Z,Kunjir,Lampung
"Pemandangannya lumayan, bisa lihat hamparan laut luas
Tapi sayang dan sedih kalo bandingin jaman dahulu sebelum kena bencana...",5,Bro Traveler,2026-02-08T14:27:18.926Z,Kunjir,Lampung
Keren,1,Saftuni Saf,2025-12-29T13:26:23.140Z,Kunjir,Lampung
Tempatnya nyaman asri langsung menghadap kelaut banyak gazebo untuk santai cocok untuk keluarga atau sama pasangan.,5,IZati Nabila,2025-06-12T07:24:34.295Z,Kunjir,Lampung
"Yang mau mampir kesini apalagi dr luar daerah mau mampir ke pesisir pantai ini mau berteduh, saya saran kan harus bawa uang karna ini daerah wisata bukan gratisan harus bayar..
Tolong pengelola buat plang atau Baner untuk tarif wisata nya untuk
Atau juga sewa gazebo dll, biar jlz' dan pengunjung puas",1,Paragos,2025-04-19T03:29:42.397Z,Kunjir,Lampung
"Spot mancing di pinggir pantai &  ikannya banyak, tidak terlalu panas. Ada warung warga, dan penduduk yg ramah. Cocoklah wisata transit jika melintas di jalur lampung selatan.",5,Rudi Cenesce,2025-04-05T08:18:13.488Z,Kunjir,Lampung
Pesona Kunjir Oke,5,RIYAN WICAKSONO,2025-01-20T23:17:20.803Z,Kunjir,Lampung
Laut nyee bener bener cakep,5,Stefanus Febrian,2025-01-15T05:16:03.885Z,Kunjir,Lampung
"Bisa makan bakso pinggir pantai di gazebo, ada ayunan anak dan dewasa",5,Nur Lailatul Syafaq,2024-11-13T11:57:23.804Z,Kunjir,Lampung
Pondok pesantren Miftahul Huda Al Haq,5,mustofa ahmad,2024-10-08T13:58:37.934Z,Kunjir,Lampung
Puas,5,Rudy Anvaro,2024-02-05T10:40:46.493Z,Kunjir,Lampung
"Lokasi wisata di pantai ini menarik untuk dikunjungi, konon lokasi ini pernah terkena dampak kenaikan air laut karena dampak dari meningkatnya aktifitas anak gunung krakatau, sehingga daera pesisir ini dibangun tembok di sepanjang pantai oleh pemkab Lampung Selatan #lampung #wisata #wisatapantai #lampungselatan",5,Reno Delison Bakkara,2024-01-31T06:13:04.754Z,Kunjir,Lampung
Tempatnya baru di renovasi setelah tsunami 2018 lalu. Semoga bisa bangkit lagi,4,Vivit,2023-12-22T12:52:47.833Z,Kunjir,Lampung
mantap. . cuma waktu kesana mendung,5,Ndro CTB,2023-12-12T07:56:42.847Z,Kunjir,Lampung
"Pemandangannya pantainya cantik, ada gubuk / saung dipesisir pantainya, bisa melihat dengan jelas hamparan laut dari pinggir jalan. Cuma saat datang kesini jalanannya ancur, berdebu padahal selepas kunjir ke arah gayam (memutari gunung rajabasa dari arah kalianda) aspalnya baik mulus dan pemandangan lereng pegunungan sejuk dipandang mata.",4,Heri Hidayat,2023-10-19T10:54:05.705Z,Kunjir,Lampung
Tempat nya nyaman untuk anak - anak yang bermandian di sana air nya juga bersih dan indah untuk berfoto..,5,Zazkia Feli,2023-08-27T04:40:39.943Z,Kunjir,Lampung
Warna air laut di sini tidak biru seperti kebanyakan laut di tempat lain. Tapi hijau bening. Coba buktikan dech,5,Siti Mulyani,2023-07-23T06:50:54.569Z,Kunjir,Lampung
Lumayan,4,M M,2023-07-18T10:55:29.213Z,Kunjir,Lampung
Nyaman tenang,5,Adhe,2023-06-19T05:50:15.538Z,Kunjir,Lampung
Sangat membantu,5,Abay Rahmatullah,2023-06-09T16:38:07.719Z,Kunjir,Lampung
🖒,3,Saprol Gores,2023-05-16T15:04:37.046Z,Kunjir,Lampung
"Tempat nya sangat indah, orang nya pun ramah²",5,Novendi Vendi,2023-05-01T13:32:27.236Z,Kunjir,Lampung
Pantai yg indah dan nyaman 👍👍👍,5,Yantoni Fadlan,2023-04-25T13:53:04.878Z,Kunjir,Lampung
"Sekarang jelek,semenjak ada proyek pembendungan pinggir pesisir,,jalan jelek tidak di perbaiki",2,Ilham Azza,2023-02-21T00:18:23.182Z,Kunjir,Lampung
Pantai nya indah n bersih. Toilet umumnya aja yg ga ke urus sudah rusak.,5,Yuli Yanadewi,2023-02-12T04:51:22.827Z,Kunjir,Lampung
Bagus,2,Rupiani Ani,2023-01-12T22:53:50.657Z,Kunjir,Lampung
Pandangan smpe ke tengah .... Krakatau.....,5,izal Faizal,2023-01-02T11:35:38.702Z,Kunjir,Lampung
"Kunjir, lagi macet banyak truk angkutan baru buat reklamasi tanggul penahan gelombang laut",5,wahid yusuf,2022-09-11T06:48:50.979Z,Kunjir,Lampung
Tempat nya bagus...masih asli,5,MR. gamers,2022-09-05T05:15:37.555Z,Kunjir,Lampung
"Potensial berkembang, asal jangan asalan mengembangkannya...ekosistem terumbu karang hanya berjaran beberapa puluh meter dr pantai..

Rehabilitasi terumbu karang menggunakan sistem modul beton atau menggunakan rubble shg ke depannya terlihat alami",5,Ahmad Ghozali,2022-08-22T14:00:04.522Z,Kunjir,Lampung
"Kebersihannya tolong ditingkatkan lagi, kasihan pantainya 😔",4,Nelpi Sariana Hutasoit,2022-08-22T09:35:16.647Z,Kunjir,Lampung
"Suasana pantai kurang, terkesan kumuh tdk terurus.",3,Hafiz Ahmar (aa),2022-08-19T21:51:53.499Z,Kunjir,Lampung
Viewnya sangat bagus..,3,Arief Ahmad,2022-08-16T12:52:53.603Z,Kunjir,Lampung
Bagus,5,Anga Ayu,2022-07-06T00:47:18.918Z,Kunjir,Lampung
"Tempatnya indah, dan ada satu warung bakso mie ayam yg menurut saya terbaik disitu.
Tapi sekarang jadi berdebu karna sedang proyek pengedaman sepanjang pesisir",4,Eva Lidiawati,2022-07-05T06:13:16.503Z,Kunjir,Lampung
"Tempat bagus tapi sayang sedang ada pembangunan penahan ombak..
Mau istirat di cancel karena jalanan berdebu akibat lalu lalang mobil truck pembawa material proyek...
Setelah selesai masih tetap akan jadi Tempat yang bagus dengan view krakatau.
Next akan datang lagi",5,Muhamad Yusuf,2022-06-19T05:59:27.000Z,Kunjir,Lampung
Jalannya banyak lumpur merah tmpt wisata jga ga terawat  tidak ada kuliner pokoknya nyesel ksitu.,1,Mustafa Mustafa,2022-06-16T12:44:11.443Z,Kunjir,Lampung
Ok,4,Saströ Idris,2022-05-27T14:06:37.672Z,Kunjir,Lampung
Pengalaman yang tak pernah terlupakan,5,Ali Project,2022-05-24T22:56:31.561Z,Kunjir,Lampung
"Masyaa Allah , suka banget ke desa ini , sepanjang jalan disuguhi pantai yang bagus bagus , selain itu juga terlihat gunung dan bukit bukit hijau yang memanjakan mata ,  ga nyesel kalo jalan jalan ke sini padahal udah berkali kali dan ga ada bosan . The best deh pokoknya",5,Alfiyah Koesmadji,2022-05-22T13:13:09.601Z,Kunjir,Lampung
Pemandangannya indah,5,Umar Darmadi,2022-05-20T06:07:26.722Z,Kunjir,Lampung
"Lumayan bagus tempatnya, dan bersih, biaya parkir dan kebersihan 10.000/mobil kalau mtor 5000/mtor, jd tidak dihitung jumlah orang,",4,Erik Fidhi Marwoko,2022-05-14T01:42:10.368Z,Kunjir,Lampung
"Pantainya bagus, dan sepi, cuma kalau sore sdh pasang, jd pasirnya hampir ketutup semua. Mungkin dtg pagi lebih bagus",4,Bunga Badzlina,2022-05-10T12:41:30.303Z,Kunjir,Lampung
Toppp,5,nur faizal lisanto,2022-05-06T12:13:03.005Z,Kunjir,Lampung
Pemandangannya bagus,5,Saifullah,2022-05-05T10:53:25.905Z,Kunjir,Lampung
