review_text,rating,author,date,nama desa wisata,provinsi
Perlu penataan yg lebih bagus lagi dan kebersihan,4,Isra Wahyudi,2026-04-24T11:04:12.895Z,Mamuju City,Sulawesi Barat
"Tempatnya bagus, memiliki view indah seluruh Mamuju. Namun agak risih dengan bocah2 kang parkir liar di sekitar situ, mungkin yg membuat pengunjung malas datang.",4,Rildik Syah,2026-04-07T00:41:13.538Z,Mamuju City,Sulawesi Barat
"Udaranya panas poool maklum kotanya persis pinggir pantai, soal makanan sudah pasti ikan favoritnya, masih segar dgn harga cukup terjangkau, lingkungannya pun aman, nyimpan motor atau mobil depan rumah atau digarasi sangat aman, semalaman tanpa pagar /gerbang yg tertutup atau terkunci tanpa khawatir berpindah tangan berpindah tempat alias dicuri
Disisi lain ada yg membuat sy kecewa yaitu masalah sampah, sampah bekas minuman kemasan atau makanan terlihat dimana mana, selokan depan rumah yg mampet dgn airnya yg hitam dipenuhi sampah, terutama sampah botol
Plastik,
Pelataran pantai manakarra kondisinya jadi kumuh keasriannya hilang tanpa ada perawatan /pemeliharaan yg baik, brrtahun tahun lantai keramiknya lepas masih dibiarkan, dan juga semakin banyaknya lapak pedagang n penyewaan  permainan anak anak, semakin  nampak kekumuhannya, sayang banget lokasi seindah itu diabaikan tanpa perawatan n penjagaan, knp para pedagangnya tidak direlokasi ya, agar keindahan pantainya dapat dinikmati,",5,Hadijahrochman2789 Hadijah,2025-11-28T00:19:42.723Z,Mamuju City,Sulawesi Barat
Cantik pemandangannya,5,Rudin_rahim 91,2025-11-26T15:54:37.680Z,Mamuju City,Sulawesi Barat
Tempatnya bagus cocok untuk menikmati pemandangan kota Mamuju mau lihat sunset juga bisa tempat wajib kalau ke mamuju,4,Nasir,2025-09-08T17:01:56.385Z,Mamuju City,Sulawesi Barat
beautiful place,5,Hyashintha Gia,2025-09-04T14:08:32.658Z,Mamuju City,Sulawesi Barat
Seru,5,Axel Yf,2025-09-03T15:06:32.655Z,Mamuju City,Sulawesi Barat
Tempat yang luar biasa tetapi tidak terawat,3,Hermawan w p,2025-08-03T07:34:50.813Z,Mamuju City,Sulawesi Barat
Spot melihat kota Mamuju dari bukit,5,Rahman acil,2025-07-01T01:14:07.181Z,Mamuju City,Sulawesi Barat
"Kurang terawat, dan minim penerangan serta petunjuk jalan jika berkunjung di malam hari",2,indramawan putut,2025-06-21T04:34:39.115Z,Mamuju City,Sulawesi Barat
Sudah rusak tulisan Mamujunya. Sayang banget nggak dijaga.,3,Nabila,2025-06-11T21:24:09.696Z,Mamuju City,Sulawesi Barat
Best Sunset view in Mamuju City.,5,Rachman Atariku,2025-03-11T05:07:11.148Z,Mamuju City,Sulawesi Barat
Pamandangannya bagus sayang tulisan Mamuju city belum diperbaiki... sdh lama rusaknya,4,cak suroboyo,2024-12-13T10:57:35.256Z,Mamuju City,Sulawesi Barat
