review_text,rating,author,date,nama desa wisata,provinsi
Subhanalloh,5,Dien Saef,2026-05-06T09:47:55.404Z,Nagari Pariangan,Sumatera Barat
"If you want to visit west sumatra, you got to go to this place. Period",5,"Moch Faisal Karim, PhD",2026-04-07T06:58:29.131Z,Nagari Pariangan,Sumatera Barat
Bagus,5,Azman Hadi,2026-04-01T05:06:58.906Z,Nagari Pariangan,Sumatera Barat
"Suasana desa yang indah pemandangannya, mampir di salah satu cafe, meminum daun kawa jahe merah, menyenangkan",5,gege gege,2026-03-31T03:00:01.102Z,Nagari Pariangan,Sumatera Barat
Healing your mind and soul,5,Muhammad Usmar Arif,2026-03-28T09:44:26.916Z,Nagari Pariangan,Sumatera Barat
"Beautiful views, calm vibes, and perfect weather",5,Aviva Dalimi,2026-03-28T07:44:45.116Z,Nagari Pariangan,Sumatera Barat
desa diatas awan,5,Hariza arrvviie,2026-03-26T09:43:08.734Z,Nagari Pariangan,Sumatera Barat
Desa dengan view persawahan yang sangat cantik. Dengan udara yabg masih sangat segar di sertai kabut yang menambah syahdu,5,Triaintan Sari,2026-03-26T06:28:08.454Z,Nagari Pariangan,Sumatera Barat
Great,4,Wina Junita Fitria,2026-03-25T09:51:49.660Z,Nagari Pariangan,Sumatera Barat
Recommended,5,Deby Antony,2026-02-23T04:34:13.961Z,Nagari Pariangan,Sumatera Barat
"Desa indah, cocok untuk yang mau healing, dengan view pemandangan yang cantik memanjakan mata, dan udara segar yang menggelitik hidung. Untuk yang suka perjalanan dengan view indah, cocok untuk pergi ke desa ini.",5,nisa smngt,2026-02-18T10:50:20.277Z,Nagari Pariangan,Sumatera Barat
pengen nginap d desa ini,5,ryp bin emzi bin ahmad,2026-01-18T23:14:23.906Z,Nagari Pariangan,Sumatera Barat
gercep,5,Hardi Saputra,2026-01-16T05:05:26.871Z,Nagari Pariangan,Sumatera Barat
Sangat indah..jgn lp minum kawa dgn gorengan menambah syahdu..,5,Amelia M S,2026-01-16T03:04:38.177Z,Nagari Pariangan,Sumatera Barat
