review_text,rating,author,date,nama desa wisata,provinsi
Pantai batu kuda adalah pilihan tepat untuk bersantai bersama keluarga. Kita dapat menikmati indahnya pantai dan air panas alami saat air pantai surut tanpa biaya yang mahal..,5,Laila_Laila MN,2026-01-13T08:08:01.451Z,Pantai Batu Kuda,Maluku
batu kuda adalah salah satu tempat wisata yg sangat bagus dan indah😍,5,Fara Lestaluhu,2025-10-20T05:43:34.739Z,Pantai Batu Kuda,Maluku
"Pantai Batu Kuda, Negeri Tulehu adalah destinasi indah dengan air laut jernih dan suasana tenang. Dinamai dari batu besar berbentuk kuda di tepi pantai, tempat ini cocok untuk bersantai, berenang, atau menikmati matahari terbenam. Keindahan alam yang alami dan keramahan warga setempat menjadikannya salah satu pantai terbaik di Maluku Tengah.",5,ifdiarahma 2005,2025-10-18T23:39:44.243Z,Pantai Batu Kuda,Maluku
"Pantai Batu Kuda menawarkan banyak eksplorasi biologi
Di pantai, terdapat retakan-retakan air panas mini melalui batu-batu karang",5,Aji Soko Santoso,2025-07-21T22:34:45.009Z,Pantai Batu Kuda,Maluku
Mantap,5,Hamzah Tuhulele,2025-07-09T14:28:07.502Z,Pantai Batu Kuda,Maluku
"Bagus hanya di kamar mandi perlu di perbaiki & di lestarikan, bak mandi perlu di bersihkan krn gelap ketika di senter ada sempak 😩",4,Theewiq,2025-06-01T03:51:11.630Z,Pantai Batu Kuda,Maluku
"Masya Allah bagus banget..

Cuma memang musholla nya gak terurus.. gak ada tempat wudhu terpisah..",5,Galuh Retno,2025-02-16T14:30:05.672Z,Pantai Batu Kuda,Maluku
"Pantai yang indah..
Pantai dengan bebatuan dan karang..dari pantai ini terlihat pulau haruku dan pulau seram..lumayan berombak..banyak ikan warna warni..terdapat sumber air panas..
Banyak tempat duduk yg sediakan serta teduh..
Pisang gorengnya enak dan manis..disajikan tanpa sambal..
Mantab..",5,M Syafii,2024-12-28T02:58:34.766Z,Pantai Batu Kuda,Maluku
"Keren berasa private beach, karang2 bagus, ada pantai ratanya juga, unik ada sumur air panasnya, minum air kelapa langsung dipetik, pemilik ramah",5,Maz Dewa,2024-11-02T07:02:30.555Z,Pantai Batu Kuda,Maluku
"Pantainya berkarang, tapi indah dan bagus",5,Aji Soko Santoso,2024-09-14T01:26:39.523Z,Pantai Batu Kuda,Maluku
"Tiket masuk 5k/orang.
Ada air panasnya juga di sekitaran bibir pantainya",5,Harry Fadly Umamit,2024-07-11T03:18:39.105Z,Pantai Batu Kuda,Maluku
"Bagus,,,tp harus dbenahi",5,Fintje sahureka Faen,2024-06-22T06:41:20.416Z,Pantai Batu Kuda,Maluku
"Pemandangan Indah, namun tipe pantai berkarang,",5,Atiqah Waliulu,2024-05-24T04:51:54.571Z,Pantai Batu Kuda,Maluku
Airnya jernih untuk diving... Terbaik,5,D. Agung Nugroho SH MH CLA,2024-03-23T04:46:49.114Z,Pantai Batu Kuda,Maluku
"tempatnya keren, jauh dari permukiman dan saranya semoga diperhatikan untuk toilet pengunjungnya terima kasih",4,Gloria Pirsouw,2024-02-11T04:54:24.598Z,Pantai Batu Kuda,Maluku
Sayang spor untuk mandinya kurang bagus karena pantainya banyak karang nya,4,Daenk Lee,2024-01-16T07:41:22.778Z,Pantai Batu Kuda,Maluku
Menyelam dsana keren,5,ABeLRaf ___,2023-12-27T12:41:14.361Z,Pantai Batu Kuda,Maluku
"Tiket masuk gratis, hanya bayar parkir. Tersedia mushola, warung makan, tempat pertemuan.
Terdapat mata air panas, tapi belum dimanfaatkan. Bisa di bangun kolam air panas agar menarik pengunjung",5,rohmad adi siaman,2023-09-24T07:28:50.044Z,Pantai Batu Kuda,Maluku
"Airnya bersih, pemandangan nya juga indah",5,Ita Pelu,2023-06-08T00:40:01.691Z,Pantai Batu Kuda,Maluku
Nice,5,Alrasyid Holle,2023-04-07T08:30:31.727Z,Pantai Batu Kuda,Maluku
"Tempatnya indah,namun butuh investor untuk mengelola pantai",5,Raghib Fakhar Rahman,2023-03-03T22:26:36.723Z,Pantai Batu Kuda,Maluku
Bisa lah,5,yhanie achmad,2023-01-27T14:20:06.067Z,Pantai Batu Kuda,Maluku
Tempat healing terdekat,5,muh. nur cholish,2022-11-26T02:15:07.807Z,Pantai Batu Kuda,Maluku
Bagus buat camping dan acara👍👍👍,5,natanael suryadarmawan,2022-10-24T01:20:23.726Z,Pantai Batu Kuda,Maluku
pemandangan bangus,5,Cindy Yudiarti,2022-09-30T07:12:43.818Z,Pantai Batu Kuda,Maluku
"Masih sepi pengunjung, mungkin karena saya datang di hari kerja. Kebersihan bisa ditingkatkan lagi, karena masih ada sampah plastik di sana sini.",5,Kezia Ayu,2022-09-24T09:17:29.098Z,Pantai Batu Kuda,Maluku
Pemandangannya indah sekali. Dengan biaya Rp. 5.000/orang.,5,Edho Binter,2022-09-17T05:04:46.731Z,Pantai Batu Kuda,Maluku
"One of my most favorite beaches in Ambon. Nice coral, but not incredible. The hot spring are amazing. And I love all the air bubbles out in the ocean while snorkeling! This beach is usually not too busy and has some nice shady places under the trees.",5,David Moore,2022-09-15T04:06:59.516Z,Pantai Batu Kuda,Maluku
Prospek tempat pariwisata masa depan,5,Samad Umarella,2022-08-17T16:34:51.730Z,Pantai Batu Kuda,Maluku
"Pantai batu kuda memiliki pemandangan yang indah dengan batu karang yang menyerupai kuda sehingga membuat pengunjung tertarik untuk berfoto di pantai ini, tempatnya sangat nyaman dan sangat indah di jadikan tempat rekreasi.",5,Maulidya Lestaluhu,2022-05-31T12:48:50.319Z,Pantai Batu Kuda,Maluku
easy road access relatively clean,4,Jack “JR” Weer,2022-05-06T05:13:24.092Z,Pantai Batu Kuda,Maluku
"Tempatnya tenang, cocok untuk weekend bersama keluarga, areal luas bisa d pakai untuk acara keluarga..",5,Amanda Umaji,2022-03-27T23:15:10.743Z,Pantai Batu Kuda,Maluku
Terlalu banyak ayam berkeliaran,2,Grizly Toto,2022-01-17T06:08:22.711Z,Pantai Batu Kuda,Maluku
Pemandangan bagus.. air beniiing... Tapi sayangnya fasilitas tidak memadai. Toilet sangat kotor dan bau..... bak air juga sangat kotor...,3,Tatik Hastanto,2022-01-14T06:09:22.596Z,Pantai Batu Kuda,Maluku
"Tempatnya Adem Bersih dan nyaman
Orngny Ramah dan Baik..",5,Piere Kailola,2021-08-02T01:00:09.177Z,Pantai Batu Kuda,Maluku
"Pantai yang cocok untuk kumpul keluarga dan salah satu spot diving. Ada kamar mandi dan kamar ganti, ada tempat parkir luas, ada tempat duduk dan pendopo.",5,Chandra Suryatmaja,2021-06-21T12:52:05.464Z,Pantai Batu Kuda,Maluku
Pantainya indah,5,Hanafi Hanafi,2021-06-13T12:36:45.687Z,Pantai Batu Kuda,Maluku
Kerennn,5,ilham akbar,2021-05-31T02:17:51.176Z,Pantai Batu Kuda,Maluku
Produk asli dan terpercaya,5,Versehese 07 (khaisar),2021-05-03T14:37:58.880Z,Pantai Batu Kuda,Maluku
Klo,5,Abdullah Tuhulele,2021-04-20T05:59:57.896Z,Pantai Batu Kuda,Maluku
Tempat yang sangat asyik dan nyaman,5,"ARA Chan Real video , No editing",2021-04-14T00:26:20.122Z,Pantai Batu Kuda,Maluku
Bagis sih...cm srpi d hati biasa..belum d kelola dengan baik...retribusi terlalu mahal menurut saya,3,Nursyamsi Junus,2021-03-30T08:46:24.391Z,Pantai Batu Kuda,Maluku
Kotor sih,2,Ismail Radcliffe,2021-03-30T05:19:35.066Z,Pantai Batu Kuda,Maluku
"Bagus, view simple
Ada spot berenang",5,Sunan Abdaz,2021-03-22T07:21:49.380Z,Pantai Batu Kuda,Maluku
tempat yang indah untuk di kunjungi..,3,sardi teapon,2021-03-15T10:22:00.345Z,Pantai Batu Kuda,Maluku
"Tempatnya nyaman, jauh dari keramaian, pemandangannya bagus.Ada musholla.",5,Gentrifil Chan,2021-03-11T06:16:30.950Z,Pantai Batu Kuda,Maluku
"Pantai Batu Kuda merupakan salah tempat wisata yang terletak Tulehu, Ambon Provinsi Maluku. Konon Batu Kuda ini merupakan kuda kesayangan Sapati Bhaaluwu waktu berkunjung di Kepulauan Maluku. Namun kuda itu telah membatu. Disekitar pantai terdapat Sumur Air Panas. Bahkan di tepian sekitar sumur memancar semburan air panas. Konon air tersebut terbentuk saat Sapati Bhaaluwu kehausan di tempat ini. Kemudian beliau menancapkan tongkatnya di lokasi ini. Saat itulah air keluar dari dalam tanah.",4,La Asri,2021-03-11T06:15:08.652Z,Pantai Batu Kuda,Maluku
Tempat yang indah. Poin plus ada mussolah yg bisa di pake. ☺️,5,Sanra Dewi,2021-03-07T04:36:30.806Z,Pantai Batu Kuda,Maluku
Tempatnya bagus cocok untuk buat kegiatan outdoor,4,Nadira Djufri,2021-01-26T02:19:26.692Z,Pantai Batu Kuda,Maluku
💐💐💐🌹🌹❤❤,5,Maria Tahitu,2020-12-19T13:51:57.044Z,Pantai Batu Kuda,Maluku
Good place to have some relaxing time with family.. they said that there is a rock resembling a horse somewhere in this beach but I didn't find it yet..,4,sandra elsafitri,2020-08-14T02:38:28.518Z,Pantai Batu Kuda,Maluku
Ada bulir bulir air panas yg menjadikan air tidak dingin,3,sumartono,2020-08-13T07:21:30.558Z,Pantai Batu Kuda,Maluku
Tempatnya sejuk,3,Burhan Arifin99,2020-08-02T11:15:41.849Z,Pantai Batu Kuda,Maluku
Nyaman dan indah,5,Meliand ChongQ,2020-03-22T08:01:09.666Z,Pantai Batu Kuda,Maluku
Indah,5,nasir nahumarury,2020-03-08T14:46:21.580Z,Pantai Batu Kuda,Maluku
Tempat ini adalah camp mrt swans/ team esport,3,Dendie Alsa Gatra Lestaluhu,2020-02-26T00:40:46.916Z,Pantai Batu Kuda,Maluku
Tempat belajar vulkanologi dan geothermal yang bagus dan menyenangkan...,4,Erfin Elly,2020-02-23T23:28:16.742Z,Pantai Batu Kuda,Maluku
Nice beach to do a little bit of geology. Hotsprings are everywhere.,5,Alfend R,2020-02-01T01:17:47.581Z,Pantai Batu Kuda,Maluku
Tempat yg aman dan nyaman,3,Jufri Said,2020-01-12T22:17:00.565Z,Pantai Batu Kuda,Maluku
Pantai ini milik pribadi dan dibuka secara umum.. Tempat ini menyuguhkan pemandangan laut dan pulau sekitar kota ambon.. Indah dipandang mata,5,Muis Riadi,2020-01-06T14:10:50.086Z,Pantai Batu Kuda,Maluku
Tempat yg nyaman untuk berlibur,5,NT 29,2019-12-31T04:35:31.706Z,Pantai Batu Kuda,Maluku
Nice,5,Pujiman Bin Martowijoyo,2019-12-21T06:04:27.676Z,Pantai Batu Kuda,Maluku
"Sangat indah pemandangan pantaix,yg sangat memanjakan mata",5,Stenly eten,2019-12-19T22:42:08.724Z,Pantai Batu Kuda,Maluku
Tempat waisata yg indah di sudut pulau ambon,5,moh Marssy,2019-11-29T02:10:53.119Z,Pantai Batu Kuda,Maluku
"Tempat wisata lokal yg penuh sejarah, view bagus dan nyaman, ada musholah, ada cafe, bisa ngopi2 juga 👍🤩",5,Nurhanna Novi,2019-11-27T10:16:38.923Z,Pantai Batu Kuda,Maluku
Tenang.. semilir.. buat camping ringan oke.. buat main air juga oke,5,virloka360,2019-11-07T02:37:30.845Z,Pantai Batu Kuda,Maluku
Nice beach,5,pendi tri sutrisno,2019-10-31T07:56:33.876Z,Pantai Batu Kuda,Maluku
Tempat wisata pantai...banyak batu karang nya,1,GIC CHANEL,2019-10-27T09:36:05.965Z,Pantai Batu Kuda,Maluku
Ok,5,M57K 23,2019-10-03T01:19:05.705Z,Pantai Batu Kuda,Maluku
Bagus...,4,Billy Alisandre,2019-07-30T23:10:49.136Z,Pantai Batu Kuda,Maluku
Good destination,5,Rajawali Fast,2019-07-22T09:40:53.005Z,Pantai Batu Kuda,Maluku
