review_text,rating,author,date,nama desa wisata,provinsi
"increíble snorkel y linda playa de arena para disfrutar de las vistas, muy recomendable",5,valentin orcaizaguirre,2026-04-23T23:13:39.731Z,Sauwandarek,Papua Barat
"Wisata group Raja Ampat bersama teman-teman, salah satunya ke kampung wisata Sauwandarek. Di sini kita dapat melakukan diving atau snorkeling, banyak ikan dan karang laut yang cantik dan masih alami.
Di sini juga terdapat perkampungan nelayan yang cukup ramai, terdapat beberapa tempat ibadah dan juga di sini terdapat Kantor Pelayanan PLN.",5,Muhlison R,2026-04-11T13:08:23.757Z,Sauwandarek,Papua Barat
"Escale bien sympathique dans ce petit village coloré. Les fonds devant sont très beaux, nombreuses grosses tortues. Spot très fréquenté par les plongeurs toutefois.",5,Michel Richard,2026-03-17T02:10:02.372Z,Sauwandarek,Papua Barat
"Magnifique site de plongée,  eau claire,  poissons à gogo",5,Alain Pech-gourg,2026-01-27T05:17:55.265Z,Sauwandarek,Papua Barat
"Snorkling di sini pakai paket raja ampat.
Ikan2nya banyak, ga takut manusia hehehe",5,Rina Rusdiana,2025-12-21T05:34:06.562Z,Sauwandarek,Papua Barat
Tempat snorkeling bagus,5,M. Wahyu Arya Putra,2025-11-14T09:15:53.687Z,Sauwandarek,Papua Barat
"Snorkeling de fou avec tortues et requins, petit village mignon mais les locaux jettent leurs déchets derrière le village dans la forêt ou près du cimetière sur la droite …",4,Clément Jolly,2025-10-15T04:30:33.053Z,Sauwandarek,Papua Barat
Best snorkeling spot in raja ampat. Many fishes/sharks/turtles,5,Patrick Calati,2025-09-30T04:47:02.291Z,Sauwandarek,Papua Barat
Spot snorkling dan diving yang bagus.,5,Auditha Sugara,2025-09-07T09:31:24.878Z,Sauwandarek,Papua Barat
"Villaggio caratteristico, lo snorkling intorno al molo è stupendo. Pieno di pesci grandi e piccoli che ti circonderanno, enormi tartarughe, squaletti, pesci palla e pagliaccio. Consiglio di passarci. È raggiungibile via mare oppure tramite un sentiero interno che lo collega con l'altro lato dell'isola che tuttavia è malmesso e abbastanza pericoloso.",5,Gilberto Ridi,2025-08-22T04:23:22.283Z,Sauwandarek,Papua Barat
"Salah satu destinasi pariwisata paling menarik di Raja Ampat dengan menari² bersama ikan² di laut, pokoknya puas deh ❤",5,Jeine Mokalu,2025-08-01T04:41:05.971Z,Sauwandarek,Papua Barat
"Desa wisata yang berbeda dari kesan wisata karena benar-benar tenang dan sederhana. Ada gereja adven, beberapa guesthouse yang start dari 500/malam. Kalau stay di desa ini plis banyak interaksi ssma warga ya, berbagi ilmu dan kalau bisa bawa beberapa hal yang akan berguna. Ini lokasi strategis buat diving dan snorkeling-",5,claudya elleossa,2025-07-30T09:01:04.268Z,Sauwandarek,Papua Barat
"Untuk snorkling bagus..ikan n terumbu karangnya masih oke...
Fasilitas toilet lengkap..kurang warung tuk makan ikan bakar aja disitu...",4,maya kurniawati,2025-06-28T05:17:56.061Z,Sauwandarek,Papua Barat
Tempat berenang dan menyelam yang menyenangkan,5,Benedictus Roembiak,2025-05-23T07:10:11.416Z,Sauwandarek,Papua Barat
Papuánská vesnička s možností nákupu  občerstvení a parádního šnorchlování. Zajímavá je návštěva místní školy.,5,Jiri Zajicek,2025-03-08T06:16:58.052Z,Sauwandarek,Papua Barat
"Wir waren gestern hier und das Riff samt Unterwasserbewohnern ist wundervoll! Hier leben derzeit noch zwei gigsntische Grünschildkröten. Leider sind die Fische hier nicht scheu gegenüber dem Menschen, da vor kurzem noch Anfütterung stattgefunden hat. Der Tauchspot braucht unbedingt ein Booking-System. Viel zu viele Taucher, die respektvoll mit Fisch und Korallen umgehen! Deswegen ein Punkt Abzug. Die Regierung muss dringend auf die Unterwasserwelt von Raja Ampat acht geben, bevor zu spät ist. Der Tauchspot ist auf jeden Fall ein Must Do.",4,Kerstin Kreuzfeld,2025-03-04T05:19:42.063Z,Sauwandarek,Papua Barat
wunderschöner Ort zum Tauchen.....,5,Thomas Fahrmeier,2025-02-23T09:35:42.841Z,Sauwandarek,Papua Barat
Amazing,5,just uday,2025-02-20T16:51:26.039Z,Sauwandarek,Papua Barat
"Хороший снорклинг из-за количества рыбы, но пирс грязный , много ссора на дне и ощущение хаоса.

Дети плавают в пенопластовых коробках.",5,KateRina Aleks,2025-01-26T12:58:27.116Z,Sauwandarek,Papua Barat
"Kampung yang bersih, penduduknya ramah, dermaganya bagus untuk snorkling atau diving.",5,Mohamad Farouk Riza,2025-01-23T12:49:02.828Z,Sauwandarek,Papua Barat
Sehr schönes Dorf. Als Taucher oder Schnorchler ein guter Platz um große Meeresschildkröten zu beobachten.,4,Heinz Trommershäuser,2024-12-11T11:27:25.752Z,Sauwandarek,Papua Barat
beautiful places,5,Ibenk Lesmana,2024-11-25T11:02:22.580Z,Sauwandarek,Papua Barat
😍,5,ricky rianto,2024-11-18T02:18:26.658Z,Sauwandarek,Papua Barat
"Disini akan ditemukan keramahan penduduk lokal. Disini juga ditemukan Sukun terenak di dunia, tidak akan bikin batuk setelah makan berapapun karena menggunakan minyak kelapa asli.",5,April O'Neil,2024-10-29T09:24:52.056Z,Sauwandarek,Papua Barat
"One of the stops in our tour on Raja Ampat. We did snorkeling, and some people saw a turtle. Many fish and many corals",5,Matheus Bender,2024-10-15T10:50:14.677Z,Sauwandarek,Papua Barat
Snorkling splendide !,5,cathy maillet,2024-10-07T08:06:25.671Z,Sauwandarek,Papua Barat
Pas buat healing,5,Doni Hernandi,2024-10-01T09:15:54.509Z,Sauwandarek,Papua Barat
"Spot snorkeling yang bagus banget, masih diatas boat saja ikannya sudah kelihatan, biaya masuk dihitung per boat",5,Fida Rahmadani,2024-08-23T21:51:23.920Z,Sauwandarek,Papua Barat
Untuk Snorkling dan wisata kasih makan ikan,4,Surya Eka,2024-08-15T01:55:05.993Z,Sauwandarek,Papua Barat
THE BEST OFCOURSE~,5,septiana cuy,2024-06-26T08:00:11.787Z,Sauwandarek,Papua Barat
"Airnya jernih, ikannya banyak banget",5,HE HE,2024-05-31T06:36:46.605Z,Sauwandarek,Papua Barat
"just snorkling at that area, Dont to depth for looking many fish. Wow.... But you must be attention for visiting. spring will be better because the water is clear.",5,alex prastyawan,2024-05-11T23:30:15.261Z,Sauwandarek,Papua Barat
Spot snorkeling terbaik di raja ampat. Memiliki keanekaragaman biota laut yang luar biasa. Wisata ini dikeola dengan baik dsn dijaga dengan baik.,5,Vincensius Surya,2024-05-09T09:54:06.670Z,Sauwandarek,Papua Barat
Salah satu kamapung yg sangat nyaman dan masih asri di raja ampat,5,Dive Driver,2024-04-11T03:20:09.308Z,Sauwandarek,Papua Barat
Famous for Indonesian Sakura!,5,yongsin yang,2024-04-04T14:08:46.976Z,Sauwandarek,Papua Barat
out of the world...,5,Urs Dreyer,2024-01-20T09:26:22.415Z,Sauwandarek,Papua Barat
Sangat bagus tempat nya.,5,Sebastian Suebu,2024-01-10T00:34:53.763Z,Sauwandarek,Papua Barat
diving and snorkel disini spot nya,5,Bagus Pekik,2023-12-31T08:15:34.871Z,Sauwandarek,Papua Barat
Posto incantevole.,5,Gianluca Ballini,2023-12-30T09:51:49.563Z,Sauwandarek,Papua Barat
