review_text,rating,author,date,nama desa wisata,provinsi
Jalanan nya penuh lubang dan becek,3,Robett Ofloco,2026-05-05T14:26:00.844Z,Setu Babakan,DKI Jakarta
"Bagus, adem, tenang, tapi sayang jalannya becek",3,Agus Rizal,2026-05-03T10:36:30.697Z,Setu Babakan,DKI Jakarta
Keren dan Syahdu,5,Helmi Djamanie,2026-05-03T01:35:43.440Z,Setu Babakan,DKI Jakarta
"minim informasi, jalanannya jelek, petugas songong. gak sebagus yang ada di foto.",1,thisloeyland,2026-05-01T11:51:22.167Z,Setu Babakan,DKI Jakarta
"Petugas kurang ramah dan tidak informatif. Saya tidak mengetahui bahwa di area tersebut tidak diperbolehkan mengambil foto. Saat saya menyampaikan apa yang saya ketahui, respons yang diberikan justru ‘tahu dari siapa itu’ dengan nada dan ekspresi yang terasa mengintimidasi. Padahal, saya tidak memaksa atau berdebat, hanya menyampaikan apa yang saya pahami. Setelah diberi tahu, saya juga langsung pulang dan tidak mencoba untuk tetap masuk atau melanggar aturan. Akan lebih baik jika petugas memberikan penjelasan dengan cara yang lebih sopan dan informatif. Semoga ke depannya pelayanan dapat disampaikan dengan lebih baik dan manusiawi, agar tidak merusak momen penting pengunjung.",1,Milk Tea,2026-05-01T11:42:46.011Z,Setu Babakan,DKI Jakarta
Tempat bagus bersih,5,Sudarnanto Nanto,2026-04-29T11:50:58.976Z,Setu Babakan,DKI Jakarta
"Kalo lagi iseng, nongkrong di sini lumayan lah...murah meriah",5,MuGi pRaYitnO,2026-04-25T06:20:05.809Z,Setu Babakan,DKI Jakarta
sangat luas untuk cagar budaya,5,Muhammad Soleh,2026-04-20T12:46:07.947Z,Setu Babakan,DKI Jakarta
"buat anak sekolah atau pengunjung yang ingin berkunjung atau melakukan tugas dari sekolah ke pusat informasi terkait Setu Babakan atau berkunjung ke museum betawi, disarankan jangan pake titik ini kalo pake ojek/taksi online, solanya titik ini letaknya jauh dari pusat informasi nya/museum nya atau tempat yang sering dijadikan pusat keramaian, titik ini tepat di bantaran setu babakan dan kalo jalan lumayan jauh. disarankan mencari titik/mengetik ""Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan atau Museum Betawi"" di google maps.",3,bobby oioi,2026-04-20T10:05:42.144Z,Setu Babakan,DKI Jakarta
"DANAUNYA BANYAK SAMPAH JALANAN BECEK, HARGA MAKANAN DAN MINUMAN MAHAL RASA GK ENAK SAMSEK",1,Abiyasa Yasa,2026-04-07T08:48:14.786Z,Setu Babakan,DKI Jakarta
Air nya basah,5,MANDIRI BATTERY,2026-04-07T04:14:40.492Z,Setu Babakan,DKI Jakarta
"Tempat ini pernah rapih, pernah asyik, pernah highly recommended untuk wisata keluarga yang merakyat.
Kenapa tiga bintang, masih ada spot/tempat yang bisa dinikmati, tapi banyak yang bikin sedih/sayang kalau dilihat.",3,resandi sasmita,2026-04-02T05:26:44.835Z,Setu Babakan,DKI Jakarta
"Setu babakan penuh sama pengamen & pengemis,kesannya jadi kumuh.",1,Rajawali Malam,2026-03-31T10:58:45.313Z,Setu Babakan,DKI Jakarta
Jalanannya kok sekarang jelek banget ???... berlumpur dan debel kaya jalanan jaman dulu... ampuuun,2,H J,2026-03-30T08:27:17.991Z,Setu Babakan,DKI Jakarta
Perumahan aman dan nyaman akses masuk mobil ke dalam perumahan cukup luas,5,David Ray,2026-03-26T10:04:17.031Z,Setu Babakan,DKI Jakarta
Mantap,5,Dede achiri Dede achiri,2026-03-18T19:21:42.737Z,Setu Babakan,DKI Jakarta
"Tempatnya cukup nyaman
jaga kebersihan",4,Askara Nawasena,2026-03-16T12:27:06.594Z,Setu Babakan,DKI Jakarta
Jalannya skrng kaya jalanan dijajah sama pasukan gajah🙏,5,Mutiara Taskia,2026-03-12T22:45:01.367Z,Setu Babakan,DKI Jakarta
Bagus buat nongkrong,5,Cindar tyas Norita,2026-03-12T13:17:24.841Z,Setu Babakan,DKI Jakarta
"Suasana cukup asri lupakan penat tengah kota, lokasi dekat ragunan zoo",5,Deddy Heriyanto,2026-02-27T19:10:24.010Z,Setu Babakan,DKI Jakarta
keren,5,abcryin,2026-02-18T05:27:22.213Z,Setu Babakan,DKI Jakarta
Datang pas lagi sepi,3,Achmad Nuriyansa,2026-02-15T03:59:59.830Z,Setu Babakan,DKI Jakarta
Ada perahu kayuh bebek-bebekan,5,Aloysius Haryadi,2026-02-01T05:54:00.676Z,Setu Babakan,DKI Jakarta
"6-8-25,",5,Rike Mutiara putri,2026-01-26T17:59:56.217Z,Setu Babakan,DKI Jakarta
Mantap,5,Kopral Sumber Agung,2026-01-24T02:24:46.632Z,Setu Babakan,DKI Jakarta
