review_text,rating,author,date,nama desa wisata,provinsi
Lokasi tidakbegitu jauh..hanya saja syng sekali jalan masukny msh perlu perbaikan...lokasi cukup nyaman buat wisata keluarga...,5,desi armiliyati,2026-03-28T01:11:11.996Z,Tanjung Laut,Jambi
"Sejuk, adem, dan unik",4,Rian Andika,2025-10-13T04:28:37.712Z,Tanjung Laut,Jambi
Dtang pas lagi surut,4,Ardiansyah,2025-06-29T12:48:07.984Z,Tanjung Laut,Jambi
Bagus tp jalananny...,5,Andeys,2024-07-17T12:45:29.489Z,Tanjung Laut,Jambi
"Danaunya bagus ,saran aja enak kesana klo airnya pasang, jadi lebih indah aja,suasananya alami bnget dan tenang",5,Abdullah Rival,2024-07-17T05:40:25.545Z,Tanjung Laut,Jambi
Cocok untuk rekreasi bersama keluarga hanya saja perlu meningkatkan fasilitas yang ada supaya lebih menarik,3,Reza DP,2024-06-05T03:49:27.132Z,Tanjung Laut,Jambi
"Lokasi di ujung desa
Pengelolalan wisata air oleh desa sudah cukup baik",3,yusuf zen,2024-05-28T11:42:09.299Z,Tanjung Laut,Jambi
Sangat mengesankan,1,Ishep Evimaryani,2024-05-05T16:10:10.714Z,Tanjung Laut,Jambi
"Mohon maaf untuk kali ini saya kecewa sama tempat Wisata danau tangkas,Pegawai karcis nya tidak ramah,Atitudenya tidak dijagaa berbicara dengan yang lebih tua disama ratakan dengan seusia nyaa,Terima kasih",1,RahayuNovitasari,2024-04-16T13:22:30.073Z,Tanjung Laut,Jambi
"Terakhir kesini 4tahun lalu ngecamp, keingat ke danaunya nyebrang pake skitboat ternyata sekrang enggak lg sejak ada jembatannya. Sayang bangetttt. Mana tiketnya 28rb belum termasuk apa-apa. Sewa tenda 50rb saya kira udah masuk matras full tenda ternyata cuma dapet 1gulung tikar 😭 tau gitu bawa dr rumah. Tamabah tikar 15rb, tambah kayu kabar 10rb",5,Yuli Susanti,2024-04-16T09:22:08.663Z,Tanjung Laut,Jambi
"Petunjuk arah mohon ditambah, karena pake google maps agak menyesatkan.
Tempat nya asik & nyaman.
Harga jajanan juga standar.
Keseluruhan oke dech...👍",3,Nuril Mustofa,2024-01-11T04:00:10.740Z,Tanjung Laut,Jambi
"Cocok untung camping, kurang cocok untuk wisata keluarga bawa anak2 krna tidak ada tempat bermain anak dan kurang safety utk anak kecil.",4,Kiki Novita,2023-12-31T16:01:25.692Z,Tanjung Laut,Jambi
"Tempat bagus buat healing di daerah jambi. Aman, nyaman dan asri.",5,robi fikra,2023-11-23T09:57:34.011Z,Tanjung Laut,Jambi
