review_text,rating,author,date,nama desa wisata,provinsi
Nice view,5,Yow Peng Ng,2026-04-18T02:58:40.091Z,Tanjung Rappa Pelangi,Maluku Utara
Villa /Rappa pelangi di kota TernateFAST RESPON  CEPAT H.U.B   PEMILIK (𖫩ꖉЗI- ЗꕃЧ𝟗- ꕃЧЗꖉ),4,Sri lestari,2026-03-15T13:50:45.534Z,Tanjung Rappa Pelangi,Maluku Utara
"Sangat cocok untuk sejenak beristirahat ditengah alam yang begitu indah. Pemandangan luar biasa, mudah dijangkau dari pelabuhan penyebarangan Jailolo.",5,Miftah bae,2025-12-29T00:39:25.753Z,Tanjung Rappa Pelangi,Maluku Utara
Indah,5,Y K,2025-11-16T13:04:40.643Z,Tanjung Rappa Pelangi,Maluku Utara
"Cocok menikmati sunset dan mencari ketenangan. Tiket terjangkau, kalo mau nginap juga tersedia homestay.",5,hafsah eliya farah,2025-11-03T09:17:46.219Z,Tanjung Rappa Pelangi,Maluku Utara
"Tempatnya bagus, rapi dan bersih, hanya saja di beberapa bagian butuh perbaikan. Lalu sepertinya pada saat ke sana sedang ada pembangunan cottage baru. Suasananya syahdu, pas untuk melihat matahari terbit dari depan cottage. Akses untuk menuju kota agak sulit jika tidak memakai kendaraan darat (pribadi). Karena kami datang menggunakan boat, jadi kami cukup kesulitan untuk memesan makan karrna harus menuju kota. Sebab agak sulit menghubungi pihak pengelola untuk memesan makanan. 🙏
Jadi mungkin bisa mempersiapkan makanan cepat saji/snack/mie instan.",5,Deriani,2025-10-23T11:12:14.985Z,Tanjung Rappa Pelangi,Maluku Utara
Teluk Rappa Pelangi Bobanehena,5,Risqiyanto Hassan,2025-09-12T00:46:35.333Z,Tanjung Rappa Pelangi,Maluku Utara
"Dekat dengan ternate, fasilitas cukup lengkap. Enak buat berenang, suasananya jg tenang",5,Rahmat Hidayatullah,2025-07-22T08:43:57.603Z,Tanjung Rappa Pelangi,Maluku Utara
Mantap cuman pasilitas renang boleh tambah lah,5,gezekgesek,2025-07-09T14:00:05.150Z,Tanjung Rappa Pelangi,Maluku Utara
Lokasinya bagus.. ada tempat menginap juga..  harga per hari 600.000 fasilitasnya.. memuaskan..dengan view laut luas.. bisa sambil mancing depan pintu juga...,5,Syahrul Sky,2025-05-08T23:06:17.968Z,Tanjung Rappa Pelangi,Maluku Utara
"Suasananya tenang, bisa dijadikan tempat diving, penginapannya apung di pantai, ada ac, kulkas, water heater, dll... Ok bgt buat liburan keluarga/honeymoon",5,Aulia Suci Wardina,2025-02-11T12:35:13.565Z,Tanjung Rappa Pelangi,Maluku Utara
"Tempat wisata yg inda View nya☺
Patut dikunjungi untuk menghilangkan lela pekerjaan",5,s sadaro,2025-01-20T08:12:42.821Z,Tanjung Rappa Pelangi,Maluku Utara
"Pemandangan bagus, ruangan bersih, air mandi punya air panas Dan makanan restaurant harganya wajar serta penyewaan ban Dan perahu juga terjangkau harganya",5,fiko ligianto,2025-01-02T01:39:01.540Z,Tanjung Rappa Pelangi,Maluku Utara
"Tempat yg nyaman dan tenang,
Sewa harga terjangkau 200an ribu semalam, dalam pusat kota jadi untuk akses sangat dekat",5,Venna Khn,2024-12-12T07:07:10.558Z,Tanjung Rappa Pelangi,Maluku Utara
"Mantap. Untuk kelas kota kecil the best hotel view dah ini. Dikelola oleh pemkot, cm perlu bnyk perawatan, krn bnyk dari kayu jd pasti akan lapuk. Fasiltas kamar untuk yg murah ada air panas,kopi teh. Pas kebetulan bln ini banyak pemadaman listrik jd genset ga bs cover smua kamar. Tidak dpt breakfast.",5,Hendra Wi,2024-10-12T02:06:22.239Z,Tanjung Rappa Pelangi,Maluku Utara
"Tempatnya tidak terawat
Tidak ada tempat membeli makanan",1,Cahya A.W,2024-09-28T04:38:24.798Z,Tanjung Rappa Pelangi,Maluku Utara
Tempatnya nyaman.. Ok bgt buat santai dan mencari ketenangan,5,Ade Ilman Afghani,2024-09-25T23:47:37.206Z,Tanjung Rappa Pelangi,Maluku Utara
Sekolah Rahma anak,3,Alif Wasileo,2024-09-10T01:29:57.112Z,Tanjung Rappa Pelangi,Maluku Utara
Speed carter dari Ternate bisa langsung bersandar ke penginapan,4,Bang Ramdhani,2024-08-19T10:53:18.504Z,Tanjung Rappa Pelangi,Maluku Utara
Bagus dg pemandangannya,4,Ali Kisaran,2024-06-11T01:47:41.573Z,Tanjung Rappa Pelangi,Maluku Utara
"Bagus, cocok buat liburan",5,Maz Jo,2024-06-09T06:52:48.706Z,Tanjung Rappa Pelangi,Maluku Utara
"Tempat wisata dengan pemandangan pantai yg indah, serta memiliki kamar-kamar yg berada tepat di atas air yg bisa di sewa pengunjung untuk bermalan",5,Dedy Kasiang,2024-06-08T23:16:16.168Z,Tanjung Rappa Pelangi,Maluku Utara
"Di kelola oleh warga kampung kelompok sadar wisata view keren di teluk, dan tenang sekali disini, dari pelabuhan jailolo sekitar 10 menit nyampe",5,MotoJelajah,2024-06-02T02:43:22.897Z,Tanjung Rappa Pelangi,Maluku Utara
One of the best places in North Maluku to take a time with nature..,5,Mirza Rahmat,2024-05-11T09:33:44.356Z,Tanjung Rappa Pelangi,Maluku Utara
sangat keren tempatnya,5,sabia sablon,2024-03-05T12:35:53.718Z,Tanjung Rappa Pelangi,Maluku Utara
acar nikah adat Rio & Cristina,5,Fiktor Maba,2024-03-04T20:21:58.356Z,Tanjung Rappa Pelangi,Maluku Utara
Minus di air bersih dan kebersihan kamar,2,Stanly Ravel,2024-02-07T16:44:34.682Z,Tanjung Rappa Pelangi,Maluku Utara
bagusss,3,Arg imanuel1323,2024-01-27T12:23:35.112Z,Tanjung Rappa Pelangi,Maluku Utara
Mantap,5,Taufik Algifari,2024-01-27T01:28:38.851Z,Tanjung Rappa Pelangi,Maluku Utara
Mantap tempat vavorit batobo😁😎,5,Rahmat,2024-01-02T14:39:31.650Z,Tanjung Rappa Pelangi,Maluku Utara
