review_text,rating,author,date,nama desa wisata,provinsi
"Another traditional Batak village. The main things here seems to be the traditional Ruma houses, the royal graves including King Sidabutar and cultural shows. There was no show when I visited and TBH the place wasn't all that interesting. There were a lot of souvenir shops",3,ChungH,2026-04-12T11:23:41.980Z,Tomok,Sumatera Utara
Mantap,5,Jeli Manogu Tua Tinambunan,2026-03-19T17:17:25.449Z,Tomok,Sumatera Utara
"Great place to buy souvenirs from Samosir Island...
Many shirts, clothes, souvenirs, and affordable prices also..

And here, we can see Patung Sigale-gale also...",5,Eddy Setiawan,2026-02-18T15:36:07.462Z,Tomok,Sumatera Utara
"Biaya terjangkau
Kapal fery 35k pulang pergi dan 1 jam di desa tomok
Tiket masuk 5k

Sayang tempat kurang dipelihara
Penduduk ramah

Sepanjang jalan kiri dan kanan banyak yang jualan
Jangan malu nawar tapi kalau beli di kios paling atas harganya paling murah",4,Jujuh Sopian,2025-12-07T13:29:24.519Z,Tomok,Sumatera Utara
"Hy wisatawan/wisatawatiii. Kuylah ke Desa Tomok Parsaorannn. Transfortasi pastinya naik kapal ya, dengan tiket yang murah. Kalau ramai-ramai, 35k bisa nego. Sampai di sana, kita disuguhi pasar langsung dengan dagangan² khas Tomok.
@samosir
#Kabupatensamosir",5,Nur Aisyah,2025-06-29T02:24:05.682Z,Tomok,Sumatera Utara
"Menarik bila ikut berpartisasi menari Sigalegale. Kalau tidak, tidak ada arti apa2.",4,Hendri Hidayat,2025-06-27T09:15:43.218Z,Tomok,Sumatera Utara
"Lokasi berada di Pusat perbelanjaan. Minim petunjuk untuk rute perjalanan dan situs yang bisa dikunjungi. Rata-rata tiket masuk tidak ada rate, cukup memberi seikhlasnya.
Di sekitar sini ada museum batak, komplek makam, dan rumah adat. Bisa mencoba tari batak di sini.",4,S Hardiyanti,2025-05-29T08:21:01.743Z,Tomok,Sumatera Utara
"Desa Wisata Tomok Parsaoran is like stepping into a Batak time capsule, but with souvenir stalls. It’s where ancient traditions meet modern bargaining skills, and where you can learn about centuries of culture right before haggling over fridge magnets shaped like buffalo horns.

The village is full of charm, traditional houses with dramatic rooftops, locals who smile like they know something you don’t, and enough carved wooden figures to populate a small army. Don’t be surprised if you accidentally walk into a dance performance, a historical site, and a shop selling Toba Lake keychains, all within 10 steps.

The pace is slow, the vibes are strong, and the ancestral energy is real. Just remember to be respectful, especially near sacred spots. You never know when a statue might be judging your fashion choices.",3,The Compass Guy,2025-05-04T16:51:14.269Z,Tomok,Sumatera Utara
"Bernuasa magis tp lebih kepada histori.
Menyenangkan dan tempat juga tertata walau sedikit sempit karena bagian jalan terisi jualan ole2 khas samosir",5,awal udin,2025-03-05T14:33:20.004Z,Tomok,Sumatera Utara
"Desa Wisata Tomok Parsaoran adalah sebuah objek wisata di Pulau Samosir yang lokasinya tidak terlalu jauh dari Pelabuhan Tomok. Di tempat ini, terdapat sejumlah toko yang menjual oleh-oleh mulai dari kain Batak, ornamen Batak, kerajinan tangan, kaos, pakaian, mainan, dan sebagainya. Untuk harga, pembeli perlu tawar menawar dengan penjual. Pembayaran hanya menggunakan uang tunai.

Di tengah-tengah Desa Wisata ini, ada pertunjukkan Sigale gale, kubur Raja Sidabutar, dan Museum Batak. Untuk masuk ke Desa Wisata Tomok Parsaoran, pengunjung tidak dikemakan biaya. Namun, untuk masuk ke pertunjukan dan museum, ada biaya masuk yang dikenakan.

Parkir kendaraan tersedia di dekat kawasan pasar. Di Desa Wisata ini, juga terdapat sejumlah warung, rumah makan, hingga cafe.",3,Edwin Petrus,2025-01-07T10:30:27.293Z,Tomok,Sumatera Utara
Terdapat kegiatan kebudayaan Batak serta souvenir khas Samosir.,5,Suhardin Djalal,2025-01-06T07:01:25.361Z,Tomok,Sumatera Utara
Berkunjung pada 2016,5,Utha Rosalita,2024-12-20T15:46:27.644Z,Tomok,Sumatera Utara
"Pintu masuk kek samosir..

Ticket kapal kecil dari pelabuhan ajibata hanya 15.000",4,Jun Loi Bong,2024-10-27T02:51:11.011Z,Tomok,Sumatera Utara
Pertujukan sigale gale nya mantab. Pemandu pak Silalahi juga sangat informatif,5,Rudolf Wungkana,2024-09-25T10:46:29.213Z,Tomok,Sumatera Utara
"Really good for healing and learning the ancient culture Batak Tribe

I really enjoy knowing how the batak tribe lifestyle in the past is amazing

Enjoy the travelling and unrevealing new knowledge of Batak Tribe part of Indonesia culture country

Cheers guys",5,arif rahmanto,2024-08-25T04:50:11.952Z,Tomok,Sumatera Utara
Bagus. Cukup tertata dan pertunjukan diatur dengan baik.,5,Rachmat Willy,2024-06-29T06:59:32.647Z,Tomok,Sumatera Utara
Kesini untuk melihat rumah adat tomok dan tarian sigale gale. Banyak toko souvenir. Petugas ramah namun kurang informatif.,4,Galuh Ichi,2024-06-04T15:11:29.229Z,Tomok,Sumatera Utara
Mengenalkan sejarah dan bisa menortor,4,rahmat siregar,2024-05-30T07:27:34.211Z,Tomok,Sumatera Utara
"Ini merupakan jalan masuk menuju Pertunjukan tari sigale-gale, makam raja sidabutar dan batak museum. Di dalam terdapat banyak sekali yang menjual baju dan aksesoris khas pulau samosir cocok untuk tempat beli oleh2 dari samosir. Minus parkiran yang dikenakan tarif 10rb untuk 1 mobil. Mohon pengelola tempat wisata bisa lebih memperhatikannya.",4,Edy Susanto,2024-03-18T23:55:25.518Z,Tomok,Sumatera Utara
Tempat yang bagus untuk mengetahui salah satu budaya batak toba. Yaitu sejarah sigale-gale. Parkir mobil 5.000 sudah bisa berfoto dengan patungnya. Kalau mau nortor dengan sigale-gale bayar 150.000 pershow,5,Lisari Yohana,2024-01-23T14:29:09.184Z,Tomok,Sumatera Utara
