review,cleaned_review,label,sentiment,label_source,conf_score,nama desa wisata,aspects_str
"sebaiknya kampung blekok perbaiki seperti dulu lagi, kondisi rusak seperti sekarang ini tidak layak di tiket, jembatan kayu rusak membahayakan pengunjung terutama anak-anak, pengunjung meski membeli tiket tidak ada jaminan asuransi keselamatan segera perbaiki manajemen tata kelolanya karena pernah meraih adwi skrg malah seperti tempat angker","sebaiknya kampung blekok perbaiki seperti dulu lagi , kondisi rusak seperti sekarang ini tidak layak di tiket , jembatan kayu rusak membahayakan pengunjung terutama anak - anak , pengunjung meski membeli tiket tidak ada jaminan asuransi keselamatan segera perbaiki manajemen tata kelolanya karena pernah meraih adwi sekarang malah seperti tempat angker",2,Netral,manual,1.0,kampung blekok,Fasilitas|Harga & Tiket
sangat serru bermain dg anak2 sambil liat burung telkok yg banyak,sangat seru bermain dengan anak - anak sambil melihat burung telkok yang banyak,1,Positif,manual,1.0,kampung blekok,Lainnya
alam yg sejuk dan menyenang kan,alam yang sejuk dan menyenangkan,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Suasana
sangat menarik,sangat menarik,1,Positif,manual,1.0,kampung blekok,Lainnya
bagus,bagus,1,Positif,manual,1.0,kampung blekok,Lainnya
tempat wisata memukau di pedesaan,tempat wisata memukau di pedesaan,1,Positif,manual,1.0,kampung blekok,Lainnya
perlu pemeliharaan sarpras yang mulai rusak dan meningkatkan semangat warganya untuk mempertahankan sebagai objek wisata yang dampaknya positif untuk kelestarian alam dan peningkatan ekonomi warga.,perlu pemeliharaan sarpras yang mulai rusak dan meningkatkan semangat warganya untuk mempertahankan sebagai objek wisata yang dampaknya positif untuk kelestarian alam dan peningkatan ekonomi warga .,2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Pelayanan|Budaya & Tradisi
semoga selalu diparingi pemandangan yang indah dan banyak pengunjung yang terobati. amiiiiiin,semoga selalu diberi pemandangan yang indah dan banyak pengunjung yang terobati . amiiiiiin,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
cukup menghibur dan penat hilang,cukup menghibur dan penat hilang,1,Positif,manual,1.0,kampung blekok,Lainnya
"pemandangan alamnya bagus sih, cuman sayang tmpatnya g terawat, serba kropos, hampir jatuh. . . mudah²an ad perbaikan / peremajaan sarana kembali. . .","pemandangan alamnya bagus sih , cuma sayang tempatnya tidak terawat , serba kropos , hampir jatuh . mudah - mudahan ada perbaikan / peremajaan sarana kembali .",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan
