review,cleaned_review,cleaned_review_stemmed,label,sentiment,label_source,conf_score,nama desa wisata,aspects_str,aspect_sentiments_str
"sebaiknya kampung blekok perbaiki seperti dulu lagi, kondisi rusak seperti sekarang ini tidak layak di tiket, jembatan kayu rusak membahayakan pengunjung terutama anak-anak, pengunjung meski membeli tiket tidak ada jaminan asuransi keselamatan segera perbaiki manajemen tata kelolanya karena pernah meraih adwi skrg malah seperti tempat angker",kampung blekok perbaiki kondisi rusak layak tiket jembatan kayu rusak membahayakan pengunjung anak anak pengunjung membeli tiket jaminan asuransi keselamatan perbaiki manajemen tata kelolanya meraih adwi angker,kampung blekok baik kondisi rusak layak tiket jembatan kayu rusak bahaya unjung anak anak unjung beli tiket jamin asuransi selamat baik manajemen tata kelola raih adwi angker,0,Negatif,mtl_only,1.0,kampung blekok,Fasilitas|Harga & Tiket,Negatif|Negatif
alam yg sejuk dan menyenang kan,alam sejuk menyenang,alam sejuk senang,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
semoga selalu diparingi pemandangan yang indah dan banyak pengunjung yang terobati. amiiiiiin,semoga diparingi pemandangan indah pengunjung terobati amiiiiiin,moga paring pandang indah unjung obat amiiiiiin,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"pemandangan alamnya bagus sih, cuman sayang tmpatnya g terawat, serba kropos, hampir jatuh. . . mudah²an ad perbaikan / peremajaan sarana kembali. . .",pemandangan alamnya bagus cuman sayang tmpatnya terawat serba kropos jatuh mudah an perbaikan peremajaan sarana,pandang alam bagus cuman sayang tmpatnya awat serba kropos jatuh mudah an baik remaja sarana,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"bagus tempatnya, cuma masuk kedalemnya memang agak jauh apalagi jalan kaki. mangrovenya rimbun, setiap jalanannya ada keterangan informasi2 tentang konservasi disana. ada yang jual souvernir, tp sepertinya tdk ada yg jual makanan. tp tidak tahu sekarang bagaimana karena terakhir kesana februari 2022 waktu masih baru atau tahap renovasi & keadaan cuaca mendadak hujan, jd ada bagian yg blm bisa dilewati. semoga lain waktu bisa kesana lagi",bagus tempatnya kedalemnya jalan kaki mangrovenya rimbun jalanannya keterangan informasi konservasi disana jual souvernir jual makanan kesana februari waktu tahap renovasi cuaca mendadak hujan dilewati semoga waktu kesana,bagus tempat dalem jalan kaki mangrovenya rimbun jalan terang informasi konservasi sana jual souvernir jual makan kesana februari waktu tahap renovasi cuaca dadak hujan lewat moga waktu kesana,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Positif|Positif
"sebenarnya bagus, untuk melihat sunrise view bagus sejuk juga. cuman sudah mulai sedikit kurang terawat. sayang sekali kalo sampai terbengkalai",bagus sunrise view bagus sejuk cuman terawat sayang kalo terbengkalai,bagus sunrise view bagus sejuk cuman awat sayang kalo bengkalai,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
salah satu konsevasi mangrove yg baik. bbrp sarana yg sdh usang membahayakan pengunjung,salah konsevasi mangrove sarana usang membahayakan pengunjung,salah konsevasi mangrove sarana usang bahaya unjung,0,Negatif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Negatif
"lokasinya ada di daerah pinggir pantura, tapi sayangnya pintu masuk ke area pantainya harus lewat rumah warga. parkir susah, apalagi yang bawa mobil. kemaren bawa mobil harus parkir di halaman sekolah sd, yang menurutku ga aman banget karna pas itu juga lagi ada anak anak main sepak bola. pas masuk ke dalam juga mengecewakan. spotnya banyak yang harus dievaluasi lagi, karna sepi banget.",lokasinya daerah pinggir pantura sayangnya pintu area pantainya rumah warga parkir susah bawa mobil kemarin bawa mobil parkir halaman sekolah sd menurutku aman banget pas anak anak main sepak bola pas mengecewakan spotnya dievaluasi sepi banget,lokasi daerah pinggir pantura sayang pintu area pantai rumah warga parkir susah bawa mobil kemarin bawa mobil parkir halaman sekolah sd turut aman banget pas anak anak main sepak bola pas kecewa spotnya evaluasi sepi banget,0,Negatif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Netral|Negatif
"jalan kaki ±500m untuk ke area mangrove, tempat kurang terawat, waktu berkunjung saat hari kerja dan hanya berdua jadi terasa menakutkan karena denyitan suara papan kayu, beberapa tempat yg terbengkalai. mungkin perlu berbenah lagi untuk menarik wisatawan.",jalan kaki area mangrove terawat waktu berkunjung berdua menakutkan denyitan suara papan kayu terbengkalai berbenah menarik wisatawan,jalan kaki area mangrove awat waktu kunjung dua takut denyit suara papan kayu bengkalai benah tarik wisatawan,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
bagi yg suka suasana pemandangan alam bisa berkunjung ke blekok karna menawarkan suasana alam khas pesisir yg indah,suka suasana pemandangan alam berkunjung blekok menawarkan suasana alam khas pesisir indah,suka suasana pandang alam kunjung blekok tawar suasana alam khas pesisir indah,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
