review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Indah,indah,indah,Indah,5,HADI SUCIPTO SINAGA,2026-04-05T12:35:12.219Z,Danau Emtofe,Papua
"Dari danau emfote  kita bisa liat pulau-pulau kecil di kejauhan. Vika bilang pengen naik perahu ke sana, tapi keburu sore. Next time pasti kita coba! * * * RAJAWIN * * * dan google rajawin""",danau emfote pulau pulau kejauhan vika bilang pengin perahu keburu sore next time coba rajawin rajawin,danau emfote pulau pulau jauh vika bilang pengin perahu keburu sore next time coba rajawin rajawin,"Dari danau emfote  kita bisa liat pulau-pulau kecil di kejauhan. Vika bilang pengen naik perahu ke sana, tapi keburu sore. Next time pasti kita coba! * * * RAJAWIN * * * dan google rajawin""",5,billy syahputra,2026-03-18T15:53:16.835Z,Danau Emtofe,Papua
Whislist habis lebaran,whislist habis lebaran,whislist habis lebaran,Whislist habis lebaran,5,Abdillah M Gufron,2026-03-14T19:20:30.755Z,Danau Emtofe,Papua
"Saya pernah bikin prunas di daerah sentani sana, indah banget di sana...",bikin prunas daerah sentani indah banget,bikin prunas daerah sentani indah banget,"Saya pernah bikin prunas di daerah sentani sana, indah banget di sana...",5,Nureen Abidin,2026-03-08T21:15:14.065Z,Danau Emtofe,Papua
"Danau emfote (love). Masih di kws jayapura hanya medannya agak terjal ditempuh dengan kenderaan roda 2 atau roda 4 (FWD). Pemandangan menakjubkan, situasi sepi.",danau emfote love kws jayapura medannya terjal ditempuh kenderaan roda roda fwd pemandangan menakjubkan situasi sepi,danau emfote love kws jayapura medan terjal tempuh kenderaan roda roda fwd pandang takjub situasi sepi,"Danau emfote (love). Masih di kws jayapura hanya medannya agak terjal ditempuh dengan kenderaan roda 2 atau roda 4 (FWD). Pemandangan menakjubkan, situasi sepi.",5,Iyan Ardiyan,2026-01-01T01:32:10.705Z,Danau Emtofe,Papua
Papua memang keren,papua keren,papua keren,Papua memang keren,2,Ugik scooter,2025-10-02T12:18:14.810Z,Danau Emtofe,Papua
Danau untuk merasakan keheningan alam yang diliputi banyak cinta,danau merasakan keheningan alam diliputi cinta,danau rasa hening alam liput cinta,Danau untuk merasakan keheningan alam yang diliputi banyak cinta,5,Adit Taufik,2025-05-11T06:27:21.163Z,Danau Emtofe,Papua
"Perjalannya kereenn, view nya kerennn, danau nya juga keren. Cuma sayang tidak di kembangkan.",perjalannya keren view keren danau keren sayang kembangkan,jalan keren view keren danau keren sayang kembang,"Perjalannya kereenn, view nya kerennn, danau nya juga keren. Cuma sayang tidak di kembangkan.",5,Obet SW,2025-04-06T12:43:01.029Z,Danau Emtofe,Papua
Perjalanan kurang lebih 2jam dari kota jayapura. Tempatnya cukup panas tapi karna memang savanah so it was ok. Perjalanan ke sana sangat ok semuanya sudah mulus.,perjalanan jam kota jayapura tempatnya panas savanah sok was ok perjalanan ok mulus,jalan jam kota jayapura tempat panas savanah sok was ok jalan ok mulus,Perjalanan kurang lebih 2jam dari kota jayapura. Tempatnya cukup panas tapi karna memang savanah so it was ok. Perjalanan ke sana sangat ok semuanya sudah mulus.,5,sakiah sirajuddin,2024-08-29T21:44:36.395Z,Danau Emtofe,Papua
Toko Sekolah Kedinasan Penerbangan Tigi Timur Deiyai Papua,toko sekolah kedinasan penerbangan tigi timur deiyai papua,toko sekolah dinas terbang tigi timur deiyai papua,Toko Sekolah Kedinasan Penerbangan Tigi Timur Deiyai Papua,5,Amandus Doo,2024-07-20T02:52:41.240Z,Danau Emtofe,Papua
"Danau Emfote atau lebih dikenal dengan sebutan Danau Love, merupakan danau yang berada di atas datarang tinggi.
Danau ini sempat ramai di kunjungi pada masanya. Namun sekarang sudah sepih pengunjung, namun keindahannya tidak rusak atau berubah lekang oleh waktu.
Akses ke lokasi sekitar 2 jam perjalanan dari kota jayapura. Oia diatas bukit ini tidak ada penjual makanan atau minuman ya, jadi bawa persiapan bekal yang banyak😅",danau emfote dikenal sebutan danau love danau datarang tinggi danau ramai kunjungi masanya sepih pengunjung keindahannya rusak berubah lekang waktu akses lokasi jam perjalanan kota jayapura oia diatas bukit penjual makanan minuman bawa persiapan bekal,danau emfote kenal sebut danau love danau datarang tinggi danau ramai kunjung masa sepih unjung indah rusak ubah lekang waktu akses lokasi jam jalan kota jayapura oia atas bukit jual makan minum bawa siap bekal,"Danau Emfote atau lebih dikenal dengan sebutan Danau Love, merupakan danau yang berada di atas datarang tinggi.
Danau ini sempat ramai di kunjungi pada masanya. Namun sekarang sudah sepih pengunjung, namun keindahannya tidak rusak atau berubah lekang oleh waktu.
Akses ke lokasi sekitar 2 jam perjalanan dari kota jayapura. Oia diatas bukit ini tidak ada penjual makanan atau minuman ya, jadi bawa persiapan bekal yang banyak😅",5,umar gattang,2024-07-08T08:00:42.609Z,Danau Emtofe,Papua
Bagus,bagus,bagus,Bagus,5,Echa Novell,2024-06-28T14:28:28.209Z,Danau Emtofe,Papua
"Lokasi di Atabar, Distrik Ebungfa, Kabupaten Jayapura, Papua

MARI JAGA KEBERSIHAN DAN KEASRIAN KAWASAN &
TOLONG JANGAN BUANG SAMPAH SEMBARANGAN",lokasi atabar distrik ebungfa kabupaten jayapura papua mari jaga kebersihan keasrian kawasan tolong buang sampah sembarangan,lokasi atabar distrik ebungfa kabupaten jayapura papua mari jaga bersih asri kawasan tolong buang sampah sembarang,"Lokasi di Atabar, Distrik Ebungfa, Kabupaten Jayapura, Papua

MARI JAGA KEBERSIHAN DAN KEASRIAN KAWASAN &
TOLONG JANGAN BUANG SAMPAH SEMBARANGAN",5,Edwin Adrian,2024-05-18T18:11:14.369Z,Danau Emtofe,Papua
Akses jelek,akses jelek,akses jelek,Akses jelek,1,abdullah ingga Pranata,2024-02-08T01:52:43.315Z,Danau Emtofe,Papua
My home village,my home village,my home village,My home village,5,Rady Monim,2023-10-26T04:14:39.164Z,Danau Emtofe,Papua
Sangat indah,indah,indah,Sangat indah,5,Dwi Dabo,2023-08-27T14:05:18.685Z,Danau Emtofe,Papua
Menikmati Sunset yg bgt indah bersama orng tersayanh..,menikmati sunset banget indah tersayanh,nikmat sunset banget indah tersayanh,Menikmati Sunset yg bgt indah bersama orng tersayanh..,4,Elmi Talakua,2023-07-25T12:21:31.217Z,Danau Emtofe,Papua
Lokasinya wisatanya sangat jauh namun terbayar dengan keindahannya,lokasinya wisatanya terbayar keindahannya,lokasi wisata bayar indah,Lokasinya wisatanya sangat jauh namun terbayar dengan keindahannya,4,Nova,2023-07-23T14:22:33.410Z,Danau Emtofe,Papua
pemandangan yang ada kurang sebanding dengan effort menuju ke lokasi (ada beberapa spot jalan menuju lokasi yang rusak parah),pemandangan sebanding effort lokasi spot jalan lokasi rusak parah,pandang banding effort lokasi spot jalan lokasi rusak parah,pemandangan yang ada kurang sebanding dengan effort menuju ke lokasi (ada beberapa spot jalan menuju lokasi yang rusak parah),2,Ramadhan Noor Islamy,2023-07-15T12:26:21.170Z,Danau Emtofe,Papua
keren,keren,keren,keren,4,M.Naufal Fakhri,2023-02-13T03:27:48.775Z,Danau Emtofe,Papua
Love,love,love,Love,5,Hilya Galeri,2022-10-12T21:30:48.328Z,Danau Emtofe,Papua
